depth (m),age (BP),temperature (degC),temperature (degC),planktic.d18O (permil),Uk37 (missing),planktic.MgCa (mmol_mol)
3.69,11468,27.5,NA,-2.23,0.93,NA
3.73,11663,27.5,NA,-1.47,0.93,NA
3.79,11955,27.5,NA,-1.65,0.931,NA
3.83,12150,27.6,NA,-1.18,0.933,NA
3.89,12443,26.9,NA,-1.31,0.919,NA
3.93,12638,27.1,NA,-2.13,0.922,NA
3.99,12930,27.8,NA,-1.82,0.936,NA
4.03,13125,27.1,NA,-1.68,0.922,NA
4.09,13420,26.7,NA,-1.6,0.916,NA
4.11,13522,26.5,NA,-1.52,0.911,NA
4.14,13674,NA,NA,-1.6,NA,NA
4.19,13927,26.4,NA,-1.55,0.91,NA
4.23,14129,26.3,NA,-1.69,0.908,NA
4.29,14433,26.2,NA,-1.97,0.905,NA
4.33,14635,26.3,NA,-1.87,0.907,NA
4.39,14939,26.5,NA,-1.72,0.912,NA
4.43,15141,26.5,NA,-1.54,0.912,NA
4.49,15445,26.4,NA,-1.16,0.91,NA
4.53,15648,26.6,NA,-1.04,0.913,NA
4.55,15749,NA,NA,-1.22,NA,NA
4.59,15951,26.1,NA,-1.25,0.903,NA
4.63,16154,26,NA,-0.82,0.902,NA
4.65,16255,NA,NA,-0.78,NA,NA
4.69,16457,25.9,NA,-0.96,0.9,NA
4.73,16681,26,27.2,-1.34,0.902,3.65
4.75,16796,NA,NA,-0.84,NA,NA
4.79,17027,26.2,NA,-0.99,0.905,NA
4.83,17258,26.1,NA,-1.28,0.903,NA
4.85,17373,NA,NA,-0.81,NA,NA
4.89,17604,26.1,NA,-0.74,0.903,NA
4.93,17835,26.1,NA,-1.06,0.903,NA
4.95,17950,NA,NA,-1,NA,NA
4.99,18181,25.9,25.2,-0.96,0.901,3.05
5.03,18412,25.6,25.1,-1.28,0.894,3.02
5.05,18527,NA,NA,-0.9,NA,NA
5.09,18758,25.1,NA,-1.49,0.884,NA
5.13,18989,25.3,NA,-1.43,0.888,NA
5.15,19104,NA,NA,-1.13,NA,NA
5.19,19342,25.6,NA,-1.35,0.895,NA
5.23,19601,25.4,NA,-1.24,0.891,NA
5.25,19731,NA,NA,-0.38,NA,NA
5.29,19990,26.3,NA,-0.79,0.908,NA
5.33,20249,26.2,NA,-1.23,0.906,NA
5.34,20314,NA,27.1,NA,NA,3.62
5.35,20379,NA,NA,-1.24,NA,NA
5.39,20638,26.5,24.4,-1.17,0.911,2.82
5.43,20897,25.7,NA,-1.41,0.896,NA
5.45,21027,NA,NA,-0.9,NA,NA
5.49,21286,26.4,24.6,-1.53,0.909,2.88
5.53,21545,26.2,NA,-1.14,0.905,NA
5.55,21675,NA,NA,-1.43,NA,NA
5.59,21934,26.5,NA,-1.5,0.912,NA
5.61,22063,26.1,NA,-0.6,0.903,NA
5.64,22258,26.2,24.3,-0.41,0.905,2.8
5.65,22322,26.2,NA,-0.56,0.906,NA
5.69,22582,NA,NA,-0.83,NA,NA
5.73,22841,25.9,NA,-1.02,0.901,NA
5.75,22970,NA,NA,-0.96,NA,NA
5.79,23229,25.9,NA,-1.45,0.9,NA
5.83,23489,26,23.3,-1.58,0.902,2.56
5.85,23618,NA,NA,-1.13,NA,NA
5.89,23877,26.2,NA,-1.22,0.905,NA
5.93,24152,25.6,NA,-1.18,0.895,NA
5.95,24294,NA,NA,-0.96,NA,NA
5.99,24577,25.6,NA,-0.86,0.894,NA
6.03,24861,25.4,25.4,-0.87,0.891,3.12
6.05,25003,NA,NA,-1.15,NA,NA
6.09,25286,25.2,25.5,-1.23,0.886,3.14
6.13,25570,24.9,25.2,-1.11,0.882,3.04
6.14,25641,NA,25.9,NA,NA,3.25
6.15,25711,NA,NA,-1.37,NA,NA
6.19,25995,24.6,25.4,-1.18,0.875,3.11
6.23,26279,25.6,25.7,-1.42,0.895,3.2
6.25,26420,NA,NA,-1.04,NA,NA
6.29,26704,25.5,25.3,-1.18,0.892,3.07
6.33,26988,25.7,NA,-1.2,0.896,NA
6.35,27129,NA,NA,-0.94,NA,NA
6.39,27413,24.8,NA,-1.25,0.879,NA
6.43,27697,25.2,NA,-1.12,0.886,NA
6.45,27838,NA,NA,-0.89,NA,NA
6.49,28122,25.4,NA,-1.38,0.89,NA
6.53,28406,25.4,NA,-1.12,0.891,NA
6.55,28547,NA,NA,-1.57,NA,NA
6.59,28831,25.4,NA,-1.62,0.891,NA
6.63,29115,25.9,NA,-1.26,0.901,NA
6.65,29256,NA,NA,-1.03,NA,NA
6.69,29540,26.1,NA,-0.71,0.904,NA
6.73,29823,26.2,NA,-1.55,0.906,NA
6.75,29965,NA,NA,-0.84,NA,NA
6.79,30249,25.2,NA,-1.11,0.886,NA
6.83,30546,25,NA,-1.25,0.883,NA
6.85,30697,NA,NA,-0.44,NA,NA
6.88,30923,NA,24.9,NA,NA,2.97
6.89,30999,25.2,NA,-1.11,0.886,NA
6.93,31300,25.2,NA,-1.21,0.887,NA
6.95,31450,NA,NA,-1.3,NA,NA
6.99,31751,25.1,25.1,-1.18,0.884,3.01
7.03,32053,NA,NA,-1.58,NA,NA
7.05,32203,NA,NA,-1.34,NA,NA
7.09,32504,24.7,NA,-1.99,0.878,NA
7.11,32655,25.2,NA,-1.48,0.887,NA
7.15,32956,25.4,NA,-1.34,0.89,NA
7.19,33257,25.3,26.2,-0.89,0.888,3.33
7.23,33558,25.5,NA,-1.41,0.893,NA
7.25,33708,NA,NA,-1.6,NA,NA
7.29,34009,25.3,NA,-1.14,0.888,NA
7.33,34310,26.2,NA,-1.38,0.905,NA
7.35,34461,NA,NA,-1.01,NA,NA
7.39,34762,26.1,NA,-1.51,0.904,NA
7.43,35063,NA,26.8,-1.92,NA,3.53
7.45,35213,NA,NA,-1.75,NA,NA
7.49,35515,26.2,NA,-1.7,0.906,NA
7.53,35816,26.2,NA,-1.94,0.905,NA
7.55,35966,NA,NA,-1.16,NA,NA
7.59,36267,26.1,NA,-1.51,0.903,NA
7.63,36568,25.8,NA,-1.41,0.899,NA
7.65,36719,NA,NA,-0.92,NA,NA
7.69,37020,26,NA,-1.27,0.902,NA
7.73,37321,26.4,NA,-1,0.91,NA
7.75,37471,NA,NA,-1.1,NA,NA
7.79,37772,26.6,NA,-1.25,0.913,NA
7.83,38073,26.9,27.8,-1.56,0.919,3.87
7.85,38224,NA,NA,-1.38,NA,NA
7.89,38525,26.8,NA,-1.94,0.917,NA
7.93,38799,27.2,NA,-1.62,0.924,NA
7.95,38927,NA,NA,-1.86,NA,NA
7.99,39184,27.2,27.5,-0.75,0.924,3.77
8.03,39442,26.8,NA,-1,0.918,NA
8.05,39570,NA,NA,-1.13,NA,NA
8.09,39827,26.6,NA,-0.99,0.914,NA
8.13,40085,26.2,NA,-1.16,0.906,NA
8.15,40213,NA,NA,-1.31,NA,NA
8.19,40470,26.1,NA,-1.65,0.903,NA
8.23,40728,25.9,NA,-1.4,0.9,NA
8.25,40856,NA,NA,-1.29,NA,NA
8.29,41113,25.4,NA,-1.34,0.89,NA
8.3,41178,25.8,25.2,-1.35,0.898,3.04
8.34,41435,26.3,NA,-1.16,0.908,NA
8.35,41499,NA,NA,-1.41,NA,NA
8.39,41756,25.7,NA,-1.7,0.896,NA
8.43,42014,25.9,NA,-1.49,0.9,NA
8.45,42142,NA,NA,-1.33,NA,NA
8.49,42399,25.7,NA,-1.47,0.897,NA
8.53,42656,26,NA,-1.25,0.902,NA
8.55,42785,NA,NA,-1.56,NA,NA
8.59,43042,25.5,NA,-1.42,0.892,NA
8.63,43299,25.4,NA,-1.23,0.891,NA
8.65,43428,NA,NA,-1.26,NA,NA
8.69,43685,24.5,NA,-1.62,0.874,NA
8.73,43942,24.6,NA,-1.21,0.875,NA
8.75,44071,NA,NA,-1.17,NA,NA
8.79,44328,24.5,NA,-1.67,0.873,NA
8.83,44585,24.5,24.2,-1.43,0.873,2.79
8.85,44714,NA,NA,-1.56,NA,NA
8.89,44971,24.4,NA,-1.39,0.871,NA
8.93,45228,24.5,NA,-1.66,0.873,NA
8.95,45357,NA,NA,-1.46,NA,NA
8.99,45614,24.2,NA,-1.84,0.868,NA
9.03,45871,25.2,25.7,-1.79,0.887,3.19
9.05,46000,NA,NA,-1.52,NA,NA
9.09,46311,24.9,NA,-1.22,0.882,NA
9.13,46622,25.1,NA,-1.06,0.885,NA
9.15,46778,NA,NA,-0.93,NA,NA
9.19,47089,25.6,NA,-1.63,0.894,NA
9.23,47400,25.6,NA,-1.16,0.895,NA
9.25,47556,NA,NA,-1.51,NA,NA
9.29,47867,25.8,NA,NA,0.899,NA
9.33,48178,25.8,NA,-1.36,0.898,NA
9.35,48333,NA,NA,-1.52,NA,NA
9.39,48644,25.9,NA,-1.58,0.901,NA
9.43,48956,25.8,NA,-1.32,0.898,NA
9.45,49111,NA,NA,-1.27,NA,NA
9.49,49422,25.7,NA,-1.66,0.896,NA
9.53,49733,25.4,NA,-1.67,0.891,NA
9.55,49889,NA,NA,-1.51,NA,NA
9.59,50200,26,NA,-1.91,0.902,NA
9.63,50511,26.3,NA,-1.54,0.908,NA
9.65,50667,NA,NA,-1.96,NA,NA
9.69,50978,26.3,NA,-1.99,0.908,NA
9.73,51289,26.3,NA,-1.69,0.907,NA
9.75,51444,NA,NA,-1.82,NA,NA
9.79,51756,26.3,26.9,-1.9,0.907,3.57
9.84,52144,26.2,26.4,-2.06,0.906,3.4
9.89,52533,26.1,NA,-2.15,0.903,NA
9.93,52844,26.1,27.7,-1.97,0.904,3.84
9.95,53000,NA,NA,-2,NA,NA
9.99,53333,26,NA,-1.89,0.902,NA
10.03,53667,26,NA,-1.65,0.902,NA
10.05,53833,NA,NA,-1.62,NA,NA
10.09,54167,26,NA,-1.73,0.902,NA
10.13,54500,26.2,26.5,-1.43,0.905,3.43
10.15,54667,NA,NA,-1.58,NA,NA
10.19,55000,26.6,NA,-1.82,0.913,NA
10.23,55333,26.5,NA,-1.54,0.911,NA
10.25,55500,NA,NA,-1.31,NA,NA
10.29,55833,26.7,NA,-0.91,0.916,NA
10.33,56167,26.8,NA,-1.62,0.917,NA
10.35,56333,NA,NA,-1.87,NA,NA
10.39,56667,27.4,NA,-1.74,0.928,NA
10.43,57000,27.3,NA,-1.54,0.926,NA
10.45,57167,NA,NA,-1.79,NA,NA
10.49,57500,27.2,NA,-1.86,0.925,NA
10.51,57667,NA,NA,-1.78,NA,NA
10.53,57833,27.3,26.9,-0.83,0.927,3.56
10.55,58000,NA,NA,-0.8,NA,NA
10.59,58269,27.1,NA,-1.06,0.923,NA
10.63,58538,26.7,27.4,-1.36,0.915,3.72
10.65,58672,NA,NA,-0.84,NA,NA
10.69,58941,26.5,NA,-0.75,0.912,NA
10.73,59210,26.6,27.6,-0.77,0.913,3.81
10.75,59345,NA,NA,-0.59,NA,NA
10.79,59613,26.4,NA,-0.95,0.909,NA
10.83,59882,26.3,26.6,-0.59,0.907,3.48
10.85,60017,NA,NA,-1.09,NA,NA
10.89,60286,25.6,NA,-1.1,0.894,NA
10.93,60555,26.2,NA,-0.75,0.905,NA
10.95,60689,NA,NA,-0.66,NA,NA
10.99,60958,26.1,NA,-1.25,0.903,NA
11.03,61227,26.3,NA,-1.31,0.907,NA
11.05,61361,NA,NA,-1.17,NA,NA
11.09,61630,26.3,NA,-1.34,0.908,NA
11.13,61899,26.4,NA,-1.32,0.909,NA
11.15,62034,NA,NA,-1.23,NA,NA
11.19,62303,26.4,NA,-1.86,0.909,NA
11.23,62571,26.5,NA,-1.68,0.911,NA
11.25,62706,NA,NA,-1.54,NA,NA
11.27,62840,26.4,NA,NA,0.91,NA
11.28,62908,26.2,NA,-1.75,0.906,NA
11.3,63042,26.5,NA,NA,0.911,NA
11.34,63311,NA,NA,-1.44,NA,NA
11.37,63513,26.3,NA,-1.22,0.908,NA
11.4,63714,25.8,NA,NA,0.899,NA
11.44,63983,26.2,NA,-0.99,0.906,NA
11.49,64319,26.3,NA,NA,0.908,NA
11.51,64454,26.1,NA,-1.7,0.903,NA
11.6,65059,26.5,NA,NA,0.911,NA
11.64,65328,25.5,NA,NA,0.893,NA
11.65,65395,26.2,NA,NA,0.905,NA
11.69,65664,NA,NA,-1.3,NA,NA
11.74,66000,25.4,NA,-1.63,0.891,NA
11.8,66603,26.2,NA,-1.26,0.906,NA
11.84,67005,25.7,NA,-1.49,0.896,NA
11.9,67608,26.3,NA,-1.66,0.908,NA
11.94,68010,26.4,NA,-1.28,0.909,NA
12,68612,25.9,NA,-1.64,0.9,NA
12.04,69014,26.5,NA,-1.81,0.912,NA
12.1,69617,26.3,NA,NA,0.908,NA
12.14,70019,26.5,NA,-1.85,0.912,NA
12.2,70622,26.9,NA,NA,0.919,NA
12.24,71024,26.1,NA,-1.65,0.903,NA
12.3,71627,25.4,NA,NA,0.89,NA
12.34,72029,25.7,NA,NA,0.896,NA
12.4,72632,26.6,NA,-1.79,0.914,NA
12.44,73033,26.3,NA,-0.88,0.907,NA
12.5,73636,26.4,NA,NA,0.909,NA
12.54,74038,26.8,NA,-1.71,0.917,NA
12.6,74641,26.8,NA,NA,0.917,NA
12.64,75043,26.4,NA,-1.85,0.909,NA
12.7,75646,26.7,NA,NA,0.916,NA
12.75,76148,26.8,NA,-1.6,0.917,NA
12.79,76550,NA,NA,-1.76,NA,NA
12.83,76952,26.9,NA,NA,0.92,NA
12.89,77555,NA,NA,-2.35,NA,NA
12.93,77957,26.9,NA,-1.57,0.92,NA
12.99,78560,NA,NA,-2.08,NA,NA
13.03,78962,26.6,NA,-1.66,0.914,NA
13.09,79565,NA,NA,-1.79,NA,NA
13.13,79967,26.5,NA,-1.47,0.912,NA
13.23,80971,26.8,NA,-1.7,0.918,NA
13.29,81574,NA,NA,-1.75,NA,NA
13.34,82077,26.8,NA,-1.95,0.918,NA
13.39,82579,NA,NA,-1.62,NA,NA
13.43,82981,27,NA,-1.87,0.921,NA
13.49,83584,NA,NA,-1.43,NA,NA
13.53,83986,28.1,NA,-1.76,0.941,NA
13.59,84589,NA,NA,-2.15,NA,NA
13.63,84990,27.7,NA,-1.19,0.935,NA
13.69,85593,NA,NA,-1.29,NA,NA
13.73,85995,27.2,NA,-1.41,0.925,NA
13.79,86598,NA,NA,-2.11,NA,NA
13.83,87000,27.4,NA,-1.71,0.929,NA
13.89,87700,NA,NA,-1.33,NA,NA
13.93,88167,27,NA,-1.87,0.921,NA
14.03,89334,28.3,NA,NA,0.945,NA
