depth (m),age (BP),temperature (degC),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.d18O (permil),note (missing)
1.661,NA,NA,NA,NA,NA,NA,NA,-1.73,NA,0.92,NA,165.6-166.7
1.683,NA,NA,NA,NA,NA,NA,NA,-1.85,NA,0.76,NA,167.8-168.9
1.727,NA,NA,NA,NA,NA,NA,NA,-1.25,NA,0.67,NA,172.1-173.2
1.749,NA,NA,NA,NA,NA,NA,NA,-1.22,NA,1.04,NA,174.3-175.4
1.76,13550,15.6,21.08,2.48,3.44,0.1,3.88,NA,NA,NA,NA,", 175.4-176.5"
1.782,NA,NA,NA,NA,NA,NA,NA,-1.39,NA,1.03,NA,177.6-178.7  177.6-178.7
1.815,NA,NA,NA,NA,NA,-0.18,3.92,-1.44,NA,1.03,NA,180.9-182.0
1.836,NA,NA,NA,NA,NA,NA,NA,-1.48,NA,1.35,NA,183.1-184.2
1.869,14250,14.4,18.9,1.94,2.11,-0.01,4.13,-1.48,NA,1.24,NA,", 186.4-187.5"
1.891,NA,NA,NA,NA,NA,NA,NA,-1.26,NA,1.14,NA,188.6-189.7
1.924,NA,NA,NA,NA,NA,-0.03,4.14,-1.31,NA,1.29,NA,"191.9-193.0, 191.9-193.0  191.9-193.0"
1.946,NA,NA,NA,NA,NA,NA,NA,-1.14,NA,1.2,NA,194.0-195.1
1.979,14470,13.74,18.31,1.46,1.68,-0.06,4.16,-1.57,NA,1.29,NA,", 197.3-198.4"
2.001,NA,NA,NA,NA,NA,NA,NA,-1.28,NA,1.13,NA,199.5-200.6
2.079,14710,13.63,17.92,2.19,2.95,-0.07,4.11,-1.35,NA,1.27,NA,", 207.5-208.3, 207.5-208.3  207.5-208.3"
2.116,14830,14.17,18.75,2,2.18,-0.1,4.32,-1.74,NA,1.42,NA,", 211.3-212.0"
2.173,15030,11.99,15.96,4.01,4.02,-0.22,4.44,-1.75,NA,1.24,NA,", 216.7-217.9"
2.232,15220,14.36,19.68,3.22,2.69,-0.18,4.34,NA,NA,NA,NA,", 222.6-223.7"
2.29,15420,13.84,18.71,2.23,2.35,-0.11,4.44,NA,NA,NA,NA,", 228.4-229.6"
2.292,NA,NA,NA,NA,NA,NA,NA,-1.18,NA,1.69,NA,228.4-229.6
2.349,NA,NA,NA,NA,NA,-0.29,4.37,-1.65,NA,1.46,NA,"234.3-235.5, 234.3-235.5  234.3-235.5"
2.419,15850,14.28,19.73,3.41,3.02,-0.08,4.44,-1.32,NA,1.62,NA,", 241.4-242.5"
2.466,NA,NA,NA,NA,NA,-0.13,4.41,-1.49,NA,1.47,NA,246.1-247.2
2.525,16210,14.42,20.02,3.2,2.46,NA,NA,-1.39,NA,1.53,NA,", 251.9-253.1"
2.584,NA,NA,NA,NA,NA,-0.1,4.43,-1.63,NA,1.5,NA,"257.8-259.0, 257.8-259.0  257.8-259.0"
