year (AD) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3]
1914,-15.79,-17.06,-17.54,-17.92,1986.917,-17.05,-17.18,-5950,-16.61
1913,-17.99,-17.16,-18.2,-17.76,1986.833,-16.37,-16.58,-6050,-16.68
1912,-17.59,-17.1,-16.24,-16.81,1986.75,-14.03,-14.46,-6150,-16.68
1911,-18.33,-18.96,-18.23,-17.8,1986.667,-13.89,-13.32,-6250,-16.77
1910,-18.41,-17.19,-18.27,-17.85,1986.583,-13.75,-14,-6350,-16.79
1909,-15.86,-16.86,-15.17,-16.7,1986.5,-16.93,-16.92,-6450,-16.84
1908,-18.77,-17.84,-19.25,-18.89,1986.417,-19.84,-19.75,-6550,-16.82
1907,-21.37,-19.94,-20.35,-19.67,1986.333,-23.64,-22.85,-6650,-16.8
1906,-17.83,-18.79,-19.06,-19.44,1986.25,-25.63,-27.41,-6750,-16.48
1905,-17.52,-18.72,-17.98,-19.19,1986.167,-26.18,-27.11,-6850,-16.13
1904,-14.53,-13.93,-14.49,-14.52,1986.083,-23.01,-22.24,-6950,-16.18
1903,-15.93,-16.58,-12.77,-13.27,1986,-16.96,-18.07,-7050,-16.18
1902,-21.17,-19.64,-20.49,-18.57,1985.917,-15.45,-15.74,-7150,-16.01
1901,-15.02,-16.3,-17,-17.64,1985.833,-14.81,-14.9,-7250,-16.04
1900,-19.54,-19.67,-18,-18.98,1985.75,-13.69,-13.34,-7350,-15.9
1899,-16.86,-15.96,-16.77,-17.46,1985.667,-11.94,-12.4,-7450,-16.12
1898,-17.08,-17.47,-15.6,-15.19,1985.583,-12.06,-12.54,-7550,-15.93
1897,-22.63,-22.29,-19.92,-19.94,1985.5,-14.33,-12.38,-7650,-15.97
1896,-20.2,-20.24,-18.81,-18.36,1985.417,-15.96,-16.47,-7750,-16.2
1895,-16.8,-17.99,-15.86,-15.9,1985.333,-18.24,-19.35,-7850,-16.15
1894,-20.23,-18.62,-18.91,-17.77,1985.25,-18.3,-18.06,-7950,-16.2
NA,NA,NA,NA,NA,1985.167,-16.73,-15.84,-8050,-16.2
NA,NA,NA,NA,NA,1985.083,-15.69,-15.18,-8150,-16.21
NA,NA,NA,NA,NA,1985,-13.86,-13.72,-8250,-16.33
NA,NA,NA,NA,NA,1984.917,-13.48,-16.05,-8350,-16.24
NA,NA,NA,NA,NA,1984.833,-16.8,-19.98,-8450,-16.35
NA,NA,NA,NA,NA,1984.75,-19.55,-19.68,-8550,-16.49
NA,NA,NA,NA,NA,1984.667,-19.25,-16.55,-8650,-16.83
NA,NA,NA,NA,NA,1984.583,-16.02,-14.61,-8750,-17.09
NA,NA,NA,NA,NA,1984.5,-18.93,-18.96,-8850,-17.25
NA,NA,NA,NA,NA,1984.417,-22.51,-23.61,-8950,-17.79
NA,NA,NA,NA,NA,1984.333,-24,-23.62,-9050,-18.5
NA,NA,NA,NA,NA,1984.25,-24.02,-24.29,-9150,-18.76
NA,NA,NA,NA,NA,1984.167,-25.53,-26.05,-9250,-18.8
NA,NA,NA,NA,NA,1984.083,-26.17,-26.72,-9350,-18.82
NA,NA,NA,NA,NA,1984,-26.03,-24.36,-9450,-19
NA,NA,NA,NA,NA,1983.917,-23.85,-17.14,-9550,-19.13
NA,NA,NA,NA,NA,1983.833,-19.51,-17.93,-9650,-19.34
NA,NA,NA,NA,NA,1983.75,-16.58,-15.79,-9750,-19.64
NA,NA,NA,NA,NA,1983.667,-13.55,-11.85,-9850,-20.01
NA,NA,NA,NA,NA,1983.583,-10.73,-10.42,-9950,-20.35
NA,NA,NA,NA,NA,1983.5,-10.72,-12.65,-10050,-20.61
NA,NA,NA,NA,NA,1983.417,-13.74,-21.16,-10150,-20.79
NA,NA,NA,NA,NA,1983.333,-15.47,-16.55,-10250,-20.94
NA,NA,NA,NA,NA,1983.25,-13.6,-14.44,-10350,-21.01
NA,NA,NA,NA,NA,1983.167,-12.66,-12.27,-10450,-21.08
NA,NA,NA,NA,NA,1983.083,-11.72,-12.22,-10550,-21.07
NA,NA,NA,NA,NA,1983,-14.18,-15.06,-10650,-21.19
NA,NA,NA,NA,NA,1982.917,-15.89,-16.79,-10750,-21.19
NA,NA,NA,NA,NA,1982.833,-17.6,-18.37,-10850,-21.29
NA,NA,NA,NA,NA,1982.75,-18.97,-18.82,-10950,-21.44
NA,NA,NA,NA,NA,1982.667,-17.39,-17.6,-11050,-21.55
NA,NA,NA,NA,NA,1982.583,-14.94,-14.65,-11150,-21.39
NA,NA,NA,NA,NA,1982.5,-16.45,-15.97,-11250,-21.12
NA,NA,NA,NA,NA,1982.417,-18.69,-19,-11350,-20.99
NA,NA,NA,NA,NA,1982.333,-20.55,-20.69,-11450,-20.88
NA,NA,NA,NA,NA,1982.25,-18.27,-18.42,-11550,-20.75
NA,NA,NA,NA,NA,1982.167,-15.99,-17.4,-11650,-20.55
NA,NA,NA,NA,NA,1982.083,-16.43,-16.76,-11750,-20.52
NA,NA,NA,NA,NA,1982,-17.02,-16.91,-11850,-20.49
NA,NA,NA,NA,NA,1981.917,-17.94,-18.01,-11950,-20.27
NA,NA,NA,NA,NA,1981.833,-17.73,-18.22,-12050,-20.18
NA,NA,NA,NA,NA,1981.75,-16.34,-16.79,-12150,-20.15
NA,NA,NA,NA,NA,1981.667,-15.53,-16.02,-12250,-20.2
NA,NA,NA,NA,NA,1981.583,-14.54,-15.87,-12350,-20.27
NA,NA,NA,NA,NA,1981.5,-18.19,-17.43,-12450,-20.32
NA,NA,NA,NA,NA,1981.417,-19.68,-19.24,-12550,-20.33
NA,NA,NA,NA,NA,1981.333,-20.1,-20.14,-12650,-20.63
NA,NA,NA,NA,NA,1981.25,-19.15,-19.24,-12750,-20.83
NA,NA,NA,NA,NA,1981.167,-16.25,-16.05,-12850,-21.56
NA,NA,NA,NA,NA,1981.083,-15.28,-15.4,-12950,-21.98
NA,NA,NA,NA,NA,1981,-16.46,-14.75,-13050,-22.15
NA,NA,NA,NA,NA,1980.917,-19.38,-17.17,-13150,-22.04
NA,NA,NA,NA,NA,1980.833,-19.3,-20.6,-13250,-22.11
NA,NA,NA,NA,NA,1980.75,-17.62,-18.31,-13350,-22.21
NA,NA,NA,NA,NA,1980.667,-18.24,-18.11,-13450,-22.45
NA,NA,NA,NA,NA,1980.583,-17.68,-17.91,-13550,-22.43
NA,NA,NA,NA,NA,1980.5,-16.38,-18.59,-13650,-22.29
NA,NA,NA,NA,NA,1980.417,-16.85,-16.87,-13750,-22.16
NA,NA,NA,NA,NA,1980.333,-16.47,-16.68,-13850,-22.12
NA,NA,NA,NA,NA,1980.25,-16.09,-16.49,-13950,-22.14
NA,NA,NA,NA,NA,1980.167,-13.98,-15.98,-14050,-22.45
NA,NA,NA,NA,NA,1980.083,-14.75,-15.47,-14150,-22.78
NA,NA,NA,NA,NA,1980,-15.51,-13.59,-14250,-23.22
NA,NA,NA,NA,NA,1979.917,-15.81,-15.31,-14350,-23.35
NA,NA,NA,NA,NA,1979.833,-16.1,-15.24,-14450,-23.34
NA,NA,NA,NA,NA,1979.75,-15.89,-12.26,-14550,-23.33
NA,NA,NA,NA,NA,1979.667,-14.04,-9.27,-14650,-23.42
NA,NA,NA,NA,NA,1979.583,-12.19,-12.93,-14750,-23.49
NA,NA,NA,NA,NA,1979.5,-15.47,-16.59,-14850,-23.43
NA,NA,NA,NA,NA,1979.417,-21.23,-23.17,-14950,-23.3
NA,NA,NA,NA,NA,1979.333,-23.72,-24.3,-15050,-23.27
NA,NA,NA,NA,NA,1979.25,-23.12,-21.48,-15150,-23.4
NA,NA,NA,NA,NA,1979.167,-19.66,-17.96,-15250,-23.96
NA,NA,NA,NA,NA,1979.083,-16.7,-15.43,-15350,-24.61
NA,NA,NA,NA,NA,1979,-15.13,-12.9,-15450,-24.94
NA,NA,NA,NA,NA,1978.917,-13.55,-13.25,-15550,-25.01
NA,NA,NA,NA,NA,1978.833,-12.98,-15.15,-15650,-24.88
NA,NA,NA,NA,NA,1978.75,-14.19,-16.91,-15750,-24.5
NA,NA,NA,NA,NA,1978.667,-16.1,-15.87,-15850,-24.25
NA,NA,NA,NA,NA,1978.583,-14.32,-16.34,-15950,-23.67
NA,NA,NA,NA,NA,1978.5,-14.52,-15.15,-16050,-23
NA,NA,NA,NA,NA,1978.417,-14.71,-15.11,-16150,-22.28
NA,NA,NA,NA,NA,1978.333,-13.83,-15.07,-16250,-22.08
NA,NA,NA,NA,NA,1978.25,-14.11,-15.24,-16350,-22.19
NA,NA,NA,NA,NA,1978.167,-14.26,-15.16,-16450,-22.31
NA,NA,NA,NA,NA,1978.083,-14.4,-15.08,-16550,-22.36
NA,NA,NA,NA,NA,1978,-16.22,-17.51,-16650,-22.43
NA,NA,NA,NA,NA,1977.917,-18.18,-18.81,-16750,-22.35
NA,NA,NA,NA,NA,1977.833,-20.14,-20.1,-16850,-22.07
NA,NA,NA,NA,NA,1977.75,-19.51,-14.22,-16950,-21.65
NA,NA,NA,NA,NA,1977.667,-16.2,-14.8,-17050,-21.74
NA,NA,NA,NA,NA,1977.583,-15.78,-15.37,-17150,-21.7
NA,NA,NA,NA,NA,1977.5,-15.36,-17.38,NA,NA
NA,NA,NA,NA,NA,1977.417,-19.06,-19.38,NA,NA
NA,NA,NA,NA,NA,1977.333,-20.22,-20.35,NA,NA
NA,NA,NA,NA,NA,1977.25,-21.37,-21.31,NA,NA
NA,NA,NA,NA,NA,1977.167,-20.34,-20.71,NA,NA
NA,NA,NA,NA,NA,1977.083,-19.3,-20.1,NA,NA
NA,NA,NA,NA,NA,1977,-17.54,-15.61,NA,NA
NA,NA,NA,NA,NA,1976.917,-15.77,-14.83,NA,NA
NA,NA,NA,NA,NA,1976.833,-14.68,-14.05,NA,NA
NA,NA,NA,NA,NA,1976.75,-13.58,-13.54,NA,NA
NA,NA,NA,NA,NA,1976.667,-13.85,-13.03,NA,NA
NA,NA,NA,NA,NA,1976.583,-14.12,-14.43,NA,NA
NA,NA,NA,NA,NA,1976.5,-19.15,-15.83,NA,NA
NA,NA,NA,NA,NA,1976.417,-21.85,-22.91,NA,NA
NA,NA,NA,NA,NA,1976.333,-24.54,-25.08,NA,NA
NA,NA,NA,NA,NA,1976.25,-23.82,-22.09,NA,NA
NA,NA,NA,NA,NA,1976.167,-22.53,-20.8,NA,NA
NA,NA,NA,NA,NA,1976.083,-21.25,-20.28,NA,NA
NA,NA,NA,NA,NA,1976,-20.29,-20.49,NA,NA
NA,NA,NA,NA,NA,1975.917,-19.91,-19.52,NA,NA
NA,NA,NA,NA,NA,1975.833,-19.52,-18.96,NA,NA
NA,NA,NA,NA,NA,1975.75,-18.32,-18.4,NA,NA
NA,NA,NA,NA,NA,1975.667,-16.46,-16.27,NA,NA
NA,NA,NA,NA,NA,1975.583,-14.55,-13.5,NA,NA
NA,NA,NA,NA,NA,1975.5,-16.79,-17.86,NA,NA
NA,NA,NA,NA,NA,1975.417,-19.02,-23.27,NA,NA
NA,NA,NA,NA,NA,1975.333,-23.25,-24.66,NA,NA
NA,NA,NA,NA,NA,1975.25,-24.9,-26.05,NA,NA
NA,NA,NA,NA,NA,1975.167,-24.14,-24.52,NA,NA
NA,NA,NA,NA,NA,1975.083,-23.38,-19.94,NA,NA
NA,NA,NA,NA,NA,1975,-19.24,-15.54,NA,NA
NA,NA,NA,NA,NA,1974.917,-15.21,-15.16,NA,NA
NA,NA,NA,NA,NA,1974.833,-15.08,-15.26,NA,NA
NA,NA,NA,NA,NA,1974.75,-14.73,-14.27,NA,NA
NA,NA,NA,NA,NA,1974.667,-12.83,-13.28,NA,NA
NA,NA,NA,NA,NA,1974.583,-13.06,-14.66,NA,NA
NA,NA,NA,NA,NA,1974.5,-13.29,-16.04,NA,NA
NA,NA,NA,NA,NA,1974.417,-23.61,-23.9,NA,NA
NA,NA,NA,NA,NA,1974.333,-20.63,-25.29,NA,NA
NA,NA,NA,NA,NA,1974.25,-20.48,-20.85,NA,NA
NA,NA,NA,NA,NA,1974.167,-20.33,-20.2,NA,NA
NA,NA,NA,NA,NA,1974.083,-20.84,-21.34,NA,NA
NA,NA,NA,NA,NA,1974,-20.43,-21.71,NA,NA
NA,NA,NA,NA,NA,1973.917,-20.01,-20.55,NA,NA
NA,NA,NA,NA,NA,1973.833,-17.61,-17.97,NA,NA
NA,NA,NA,NA,NA,1973.75,-16.49,-15.24,NA,NA
NA,NA,NA,NA,NA,1973.667,-15.37,-13.6,NA,NA
NA,NA,NA,NA,NA,1973.583,-15,-13.95,NA,NA
NA,NA,NA,NA,NA,1973.5,-16.69,-13.95,NA,NA
NA,NA,NA,NA,NA,1973.417,-18.37,-17.8,NA,NA
NA,NA,NA,NA,NA,1973.333,-21.1,-21.64,NA,NA
NA,NA,NA,NA,NA,1973.25,-20.81,-20.56,NA,NA
NA,NA,NA,NA,NA,1973.167,-22.55,-20.42,NA,NA
NA,NA,NA,NA,NA,1973.083,-24.2,-20.02,NA,NA
NA,NA,NA,NA,NA,1973,-20.13,-19.16,NA,NA
NA,NA,NA,NA,NA,1972.917,-19.34,-18.48,NA,NA
NA,NA,NA,NA,NA,1972.833,-18.34,-17.8,NA,NA
NA,NA,NA,NA,NA,1972.75,-17.02,-18.76,NA,NA
NA,NA,NA,NA,NA,1972.667,-16.49,-17.32,NA,NA
NA,NA,NA,NA,NA,1972.583,-15.96,-16.4,NA,NA
NA,NA,NA,NA,NA,1972.5,-17.4,-21.1,NA,NA
NA,NA,NA,NA,NA,1972.417,-22.1,-25.79,NA,NA
NA,NA,NA,NA,NA,1972.333,-25.83,-27.71,NA,NA
NA,NA,NA,NA,NA,1972.25,-24.53,-24.73,NA,NA
NA,NA,NA,NA,NA,1972.167,-21.31,-20.75,NA,NA
NA,NA,NA,NA,NA,1972.083,-19.1,-18.32,NA,NA
NA,NA,NA,NA,NA,1972,-17.8,-17.7,NA,NA
NA,NA,NA,NA,NA,1971.917,-17.84,-19.39,NA,NA
NA,NA,NA,NA,NA,1971.833,-19.05,-19.39,NA,NA
NA,NA,NA,NA,NA,1971.75,-19.68,-18.34,NA,NA
NA,NA,NA,NA,NA,1971.667,-14.87,-14.22,NA,NA
NA,NA,NA,NA,NA,1971.583,-11.34,-11.44,NA,NA
NA,NA,NA,NA,NA,1971.5,-11.78,-17.68,NA,NA
NA,NA,NA,NA,NA,1971.417,-14.92,-22.18,NA,NA
NA,NA,NA,NA,NA,1971.333,-19.86,-23.06,NA,NA
NA,NA,NA,NA,NA,1971.25,-22.82,-23.01,NA,NA
NA,NA,NA,NA,NA,1971.167,-23.06,-23.21,NA,NA
NA,NA,NA,NA,NA,1971.083,-24.01,-24.6,NA,NA
NA,NA,NA,NA,NA,1971,-23.99,-23.3,NA,NA
NA,NA,NA,NA,NA,1970.917,-16.13,-15.52,NA,NA
NA,NA,NA,NA,NA,1970.833,-14.25,-14.24,NA,NA
NA,NA,NA,NA,NA,1970.75,-14.61,-14.24,NA,NA
NA,NA,NA,NA,NA,1970.667,-15.99,-14.84,NA,NA
NA,NA,NA,NA,NA,1970.583,-12.02,-12.77,NA,NA
NA,NA,NA,NA,NA,1970.5,-15.48,-14.71,NA,NA
NA,NA,NA,NA,NA,1970.417,-19.36,-18.05,NA,NA
NA,NA,NA,NA,NA,1970.333,-18.75,-19.89,NA,NA
NA,NA,NA,NA,NA,1970.25,-15.44,-19.03,NA,NA
NA,NA,NA,NA,NA,1970.167,-15.52,-14.39,NA,NA
NA,NA,NA,NA,NA,1970.083,-20.07,-17.01,NA,NA
NA,NA,NA,NA,NA,1970,-19.81,-20.81,NA,NA
NA,NA,NA,NA,NA,1969.917,-18.09,-20.68,NA,NA
NA,NA,NA,NA,NA,1969.833,-16.73,-17.71,NA,NA
NA,NA,NA,NA,NA,1969.75,-17.8,-19.54,NA,NA
NA,NA,NA,NA,NA,1969.667,-18.86,-16.83,NA,NA
NA,NA,NA,NA,NA,1969.583,-16.13,-16.81,NA,NA
NA,NA,NA,NA,NA,1969.5,-14.03,-16.78,NA,NA
NA,NA,NA,NA,NA,1969.417,-16.56,-17.9,NA,NA
NA,NA,NA,NA,NA,1969.333,-17.34,-17.73,NA,NA
NA,NA,NA,NA,NA,1969.25,-17.53,-17.96,NA,NA
NA,NA,NA,NA,NA,1969.167,-15.29,-16.61,NA,NA
NA,NA,NA,NA,NA,1969.083,-13.5,-15.27,NA,NA
NA,NA,NA,NA,NA,1969,-11.13,-12.71,NA,NA
NA,NA,NA,NA,NA,1968.917,-12.01,-11.31,NA,NA
NA,NA,NA,NA,NA,1968.833,-13.78,-12.66,NA,NA
NA,NA,NA,NA,NA,1968.75,-13.02,-13.93,NA,NA
NA,NA,NA,NA,NA,1968.667,-11.86,-14.81,NA,NA
NA,NA,NA,NA,NA,1968.583,-11.85,-12.09,NA,NA
NA,NA,NA,NA,NA,1968.5,-13.98,-11.46,NA,NA
NA,NA,NA,NA,NA,1968.417,-17.95,-15.55,NA,NA
NA,NA,NA,NA,NA,1968.333,-20.04,-19.06,NA,NA
NA,NA,NA,NA,NA,1968.25,-17.38,-18.83,NA,NA
NA,NA,NA,NA,NA,1968.167,-17.2,-17.81,NA,NA
NA,NA,NA,NA,NA,1968.083,-16.79,-17.11,NA,NA
NA,NA,NA,NA,NA,1968,-15.06,-14.77,NA,NA
NA,NA,NA,NA,NA,1967.917,-13.59,-13.5,NA,NA
NA,NA,NA,NA,NA,1967.833,-13.9,-14.42,NA,NA
NA,NA,NA,NA,NA,1967.75,-13.08,-12.97,NA,NA
NA,NA,NA,NA,NA,1967.667,-12.72,-12.75,NA,NA
NA,NA,NA,NA,NA,1967.583,-14.18,-11.34,NA,NA
NA,NA,NA,NA,NA,1967.5,-17.37,-13.37,NA,NA
NA,NA,NA,NA,NA,1967.417,-20.52,-18.83,NA,NA
NA,NA,NA,NA,NA,1967.333,-21.98,-21.75,NA,NA
NA,NA,NA,NA,NA,1967.25,-22.52,-22.6,NA,NA
NA,NA,NA,NA,NA,1967.167,-20.31,-21.37,NA,NA
NA,NA,NA,NA,NA,1967.083,-18.95,-19.45,NA,NA
NA,NA,NA,NA,NA,1967,-17.72,-18.05,NA,NA
NA,NA,NA,NA,NA,1966.917,-15.91,-16.62,NA,NA
NA,NA,NA,NA,NA,1966.833,-15.71,-16.01,NA,NA
NA,NA,NA,NA,NA,1966.75,-14.59,-14.76,NA,NA
NA,NA,NA,NA,NA,1966.667,-15.6,-15.48,NA,NA
NA,NA,NA,NA,NA,1966.583,-14.06,-15.28,NA,NA
NA,NA,NA,NA,NA,1966.5,-14.9,-13.18,NA,NA
NA,NA,NA,NA,NA,1966.417,-15.75,-16.08,NA,NA
NA,NA,NA,NA,NA,1966.333,-16.22,-17.56,NA,NA
NA,NA,NA,NA,NA,1966.25,-15.5,-14.65,NA,NA
NA,NA,NA,NA,NA,1966.167,-16.22,-15.36,NA,NA
NA,NA,NA,NA,NA,1966.083,-16.94,-18.58,NA,NA
NA,NA,NA,NA,NA,1966,-19.63,-18.86,NA,NA
NA,NA,NA,NA,NA,1965.917,-17.8,-16.37,NA,NA
NA,NA,NA,NA,NA,1965.833,-16.74,-15.13,NA,NA
NA,NA,NA,NA,NA,1965.75,-15.67,-12.46,NA,NA
NA,NA,NA,NA,NA,1965.667,-12.65,-12.76,NA,NA
NA,NA,NA,NA,NA,1965.583,-11.09,-13.05,NA,NA
NA,NA,NA,NA,NA,1965.5,-10.62,-12.19,NA,NA
NA,NA,NA,NA,NA,1965.417,-11.46,-10.76,NA,NA
NA,NA,NA,NA,NA,1965.333,-12.29,-11.73,NA,NA
NA,NA,NA,NA,NA,1965.25,-17.19,-16.48,NA,NA
NA,NA,NA,NA,NA,1965.167,-18.1,-17.99,NA,NA
NA,NA,NA,NA,NA,1965.083,-17.6,-18.03,NA,NA
NA,NA,NA,NA,NA,1965,-18.76,-18.07,NA,NA
NA,NA,NA,NA,NA,1964.917,-19.08,-19.41,NA,NA
NA,NA,NA,NA,NA,1964.833,-19.39,-18.5,NA,NA
NA,NA,NA,NA,NA,1964.75,-17.17,-16.34,NA,NA
NA,NA,NA,NA,NA,1964.667,-16.04,-15.2,NA,NA
NA,NA,NA,NA,NA,1964.583,-14.96,-14.26,NA,NA
