year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
-2950,4900,329.618,236.59,422.646
-3000,4950,343.874,246.019,441.729
-3050,5000,345.941,247.27,444.612
-3100,5050,338.193,232.087,444.299
-3150,5100,338.962,225.16,452.763
-3200,5150,345.332,234.902,455.762
-3250,5200,353.441,253.055,453.827
-3300,5250,350.368,262.953,437.783
-3350,5300,349.979,264.439,435.518
-3400,5350,344.634,254.476,434.791
-3450,5400,342.785,238.199,447.371
-3500,5450,345.415,230.725,460.105
-3550,5500,324.843,198.472,451.213
-3600,5550,298.509,163.027,433.991
-3650,5600,266.818,127.579,406.057
-3700,5650,283.779,159.167,408.392
-3750,5700,304.174,197.621,410.726
-3800,5750,288.513,188.431,388.595
-3850,5800,252.062,147.964,356.16
-3900,5850,222.618,109.668,335.569
-3950,5900,235.591,109.747,361.436
-4000,5950,264.174,125.979,402.369
-4050,6000,272.652,136.626,408.678
-4100,6050,273.903,136.705,411.101
-4150,6100,253.581,120.631,386.532
-4200,6150,253.483,110.142,396.824
-4250,6200,260.876,110.222,411.53
-4300,6250,267.962,110.301,425.623
-4350,6300,274.665,110.38,438.951
-4400,6350,263.116,110.459,415.772
-4450,6400,264.29,121.664,406.915
-4500,6450,275.465,166.293,384.636
-4550,6500,316.213,233.266,399.16
-4600,6550,350.578,289.18,411.976
-4650,6600,369.404,311.738,427.07
-4700,6650,370.97,312.021,429.92
-4750,6700,372.537,312.305,432.769
-4800,6750,365.012,301.382,428.642
-4850,6800,348.241,279.232,417.251
-4900,6850,312.826,234.602,391.049
-4950,6900,295.516,212.372,378.66
-5000,6950,306.02,223.838,388.203
-5050,7000,344.569,269.035,420.104
-5100,7050,374.103,303.037,445.17
-5150,7100,385.069,314.571,455.567
-5200,7150,386.636,314.854,458.417
-5250,7200,388.202,315.137,461.267
-5300,7250,389.769,315.421,464.117
-5350,7300,391.335,315.704,466.966
-5400,7350,392.902,315.987,469.816
-5450,7400,394.468,316.271,472.666
-5500,7450,396.035,316.554,475.516
-5550,7500,397.601,316.837,478.365
-5600,7550,399.168,317.12,481.215
-5650,7600,400.734,317.404,484.065
-5700,7650,402.301,317.687,486.915
-5750,7700,403.858,317.97,489.747
-5800,7750,405.195,318.254,492.136
-5850,7800,406.31,318.537,494.083
-5900,7850,416.232,318.82,513.644
-5950,7900,426.135,319.103,533.166
-6000,7950,436.017,319.387,552.647
-6050,8000,427.9,319.67,536.13
-6100,8050,419.803,319.953,519.652
-6150,8100,420.646,320.237,521.055
-6200,8150,421.548,320.52,522.577
-6250,8200,431.331,320.803,541.86
-6300,8250,432.174,321.086,543.262
-6350,8300,441.917,321.37,562.465
-6400,8350,442.76,321.653,563.867
-6450,8400,434.802,321.936,547.669
-6500,8450,426.865,322.22,531.51
-6550,8500,418.947,322.503,515.391
-6600,8550,419.849,322.786,516.913
-6650,8600,420.752,323.069,518.435
-6700,8650,421.655,323.353,519.957
-6750,8700,422.557,323.636,521.479
-6800,8750,423.46,323.919,523.001
-6850,8800,424.363,324.203,524.523
-6900,8850,435.209,335.752,534.666
-6950,8900,444.713,336.036,553.391
-7000,8950,454.197,336.319,572.076
-7050,9000,462.522,325.336,599.709
-7100,9050,482.405,325.619,639.191
-7150,9100,515.066,349.124,681.009
-7200,9150,518.316,349.407,687.225
-7250,9200,501.953,349.69,654.216
-7300,9250,473.215,326.752,619.677
-7350,9300,492.256,339.165,645.346
-7400,9350,515.394,339.448,691.339
-7450,9400,563.704,389.312,738.095
-7500,9450,560.835,377.466,744.203
-7550,9500,618.629,474.342,762.916
-7600,9550,623.789,474.491,773.088
-7650,9600,641.159,499.197,783.121
-7700,9650,604.023,427.635,780.41
-7750,9700,586.862,391.27,782.455
-7800,9750,575.884,367.13,784.638
-7850,9800,571.555,342.666,800.444
-7900,9850,578.05,330.152,825.947
-7950,9900,603.71,356.8,850.62
-8000,9950,635.719,410.46,860.978
-8050,10000,691.692,518.791,864.594
-8100,10050,720.969,573.728,868.209
-8150,10100,736.731,601.637,871.825
-8200,10150,725.149,574.857,875.441
-8250,10200,727.073,575.09,879.056
-8300,10250,728.997,575.323,882.672
-8350,10300,730.921,575.555,886.288
-8400,10350,739.514,589.125,889.903
-8450,10400,768.3,643.081,893.519
-8500,10450,797.126,697.117,897.135
-8550,10500,826.068,751.387,900.75
-8600,10550,834.834,765.301,904.366
-8650,10600,843.177,779.168,907.187
-8700,10650,845.501,779.495,911.508
-8750,10700,848.576,779.821,917.33
-8800,10750,852.798,780.148,925.447
-8850,10800,854.642,780.474,928.809
-8900,10850,853.25,767.039,939.46
-8950,10900,865.369,780.472,950.267
-9000,10950,878.614,793.857,963.371
-9050,11000,893.803,820.955,966.651
-9100,11050,894.167,821.136,967.197
-9150,11100,894.47,821.318,967.621
-9200,11150,894.751,821.5,968.003
-9250,11200,895.033,821.682,968.384
-9300,11250,895.314,821.864,968.765
-9350,11300,895.596,822.045,969.147
-9400,11350,895.878,822.227,969.528
-9450,11400,896.159,822.409,969.909
-9500,11450,896.441,822.591,970.291
-9550,11500,896.722,822.773,970.672
-9600,11550,897.004,822.955,971.054
-9650,11600,897.286,823.136,971.435
-9700,11650,897.567,823.318,971.816
-9750,11700,897.849,823.5,972.198
-9800,11750,898.13,823.682,972.579
-9850,11800,898.412,823.864,972.96
-9900,11850,898.694,824.045,973.342
-9950,11900,898.975,824.227,973.723
