depth (m),age (BP),planktic.d18O (degC),depth (m),age (BP),d13C (permil)
3.62,2910,25.5,NA,NA,NA
3.64,2924,26.1,NA,NA,NA
3.66,2939,26,NA,NA,NA
3.68,2953,26.2,NA,NA,NA
3.7,2967,26.1,NA,NA,NA
3.72,2982,26.3,NA,NA,NA
3.74,2996,26.1,NA,NA,NA
3.76,3011,26.3,NA,NA,NA
3.78,3027,26.5,NA,NA,NA
3.8,3043,26.3,NA,NA,NA
3.82,3059,26.1,NA,NA,NA
3.84,3075,25.6,NA,NA,NA
3.86,3091,26,NA,NA,NA
3.88,3107,26.6,NA,NA,NA
3.9,3123,26.5,NA,NA,NA
3.92,3139,26.8,NA,NA,NA
3.94,3155,27.2,NA,NA,NA
3.96,3171,26.1,NA,NA,NA
3.98,3187,27.6,NA,NA,NA
4.02,3219,26.1,NA,NA,NA
4.04,3235,27.3,NA,NA,NA
4.06,3251,25.7,NA,NA,NA
4.08,3267,26,NA,NA,NA
4.1,3283,25.7,NA,NA,NA
4.12,3299,26.8,NA,NA,NA
4.14,3314,25.8,NA,NA,NA
4.16,3330,26.7,NA,NA,NA
4.18,3346,26,NA,NA,NA
4.2,3362,26.3,NA,NA,NA
4.27,3418,25.4,NA,NA,NA
4.29,3434,26.3,NA,NA,NA
4.31,3450,25.4,NA,NA,NA
4.36,3490,24.8,NA,NA,NA
4.38,3506,25,NA,NA,NA
4.42,3538,24.9,NA,NA,NA
4.44,3554,25.6,NA,NA,NA
4.46,3570,25.4,NA,NA,NA
4.48,3583,25.9,NA,NA,NA
4.52,3607,25.8,NA,NA,NA
4.54,3620,25.5,NA,NA,NA
4.56,3632,25.6,NA,NA,NA
4.58,3645,25.6,NA,NA,NA
4.63,3676,25.9,NA,NA,NA
4.65,3689,25.8,NA,NA,NA
4.72,3732,25.4,NA,NA,NA
4.74,3745,25.4,NA,NA,NA
4.76,3760,25.3,NA,NA,NA
4.78,3776,26.4,NA,NA,NA
4.85,3836,26.1,NA,NA,NA
4.87,3853,25.6,NA,NA,NA
4.91,3887,25.4,NA,NA,NA
4.93,3904,25.3,NA,NA,NA
4.95,3921,25.1,NA,NA,NA
4.97,3938,25.5,NA,NA,NA
4.99,3954,25.3,NA,NA,NA
5.02,3980,25.3,NA,NA,NA
5.06,4014,25.3,NA,NA,NA
5.08,4031,24.8,NA,NA,NA
5.1,4048,25.7,NA,NA,NA
5.12,4065,25.7,NA,NA,NA
5.14,4077,26.2,NA,NA,NA
5.2,4133,26.5,NA,NA,NA
5.22,4149,26.2,NA,NA,NA
5.29,4209,26.1,NA,NA,NA
5.31,4228,26.1,NA,NA,NA
5.35,4268,26,NA,NA,NA
5.37,4288,26,NA,NA,NA
5.44,4359,25.6,NA,NA,NA
5.52,4439,25.3,NA,NA,NA
5.59,4504,25.2,NA,NA,NA
5.63,4544,25.8,NA,NA,NA
5.66,4579,26.2,NA,NA,NA
5.68,4599,26,NA,NA,NA
5.7,4620,26,NA,NA,NA
5.72,4639,26.4,NA,NA,NA
5.78,4700,26.5,NA,NA,NA
5.8,4720,26.6,NA,NA,NA
5.82,4740,26.1,NA,NA,NA
5.86,4779,26.3,NA,NA,NA
5.88,4796,26.5,NA,NA,NA
5.9,4814,26.7,NA,NA,NA
5.92,4831,26.5,NA,NA,NA
5.94,4848,26.4,NA,NA,NA
5.96,4866,26.1,NA,NA,NA
5.98,4883,25.6,NA,NA,NA
