year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),d18O (missing),d18O (missing),d18O (missing),d18O (missing),d13C (missing),d13C (missing),d13C (missing),d13C (missing),d18O (missing)
-1017,2967,-1017,2967,-1017,2967,-1017,2967,1070,880,-2.98,-2.98,-2.98,-2.98,-5.44,-5.44,-5.44,-5.44,-3.62
-1153,3103,-1153,3103,-1153,3103,-1153,3103,1040,910,-2.86,-2.86,-2.86,-2.86,-6.53,-6.53,-6.53,-6.53,-3.98
-1289,3239,-1289,3239,-1289,3239,-1289,3239,1000,950,-3.22,-3.22,-3.22,-3.22,-6.34,-6.34,-6.34,-6.34,-4.03
-1425,3375,-1425,3375,-1425,3375,-1425,3375,960,990,-2.56,-2.56,-2.56,-2.56,-6.29,-6.29,-6.29,-6.29,-4.04
-1561,3511,-1561,3511,-1561,3511,-1561,3511,930,1020,-3.74,-3.74,-3.74,-3.74,-6.16,-6.16,-6.16,-6.16,-3.54
-1697,3647,-1697,3647,-1697,3647,-1697,3647,890,1060,-2.17,-2.17,-2.17,-2.17,-5.63,-5.63,-5.63,-5.63,-3.37
-1833,3783,-1833,3783,-1833,3783,-1833,3783,850,1100,-3.28,-3.28,-3.28,-3.28,-6.56,-6.56,-6.56,-6.56,-3.91
-1969,3919,-1969,3919,-1969,3919,-1969,3919,810,1140,-2.83,-2.83,-2.83,-2.83,-6.17,-6.17,-6.17,-6.17,-3.88
-2105,4055,-2105,4055,-2105,4055,-2105,4055,780,1170,-2.99,-2.99,-2.99,-2.99,-6.4,-6.4,-6.4,-6.4,-3.97
-2241,4191,-2241,4191,-2241,4191,-2241,4191,740,1210,-2.87,-2.87,-2.87,-2.87,-6.5,-6.5,-6.5,-6.5,-3.73
-2377,4327,-2377,4327,-2377,4327,-2377,4327,700,1250,-3.01,-3.01,-3.01,-3.01,-6.67,-6.67,-6.67,-6.67,-3.44
-2513,4463,-2513,4463,-2513,4463,-2513,4463,660,1290,-2.56,-2.56,-2.56,-2.56,-6.44,-6.44,-6.44,-6.44,-3.82
-2649,4599,-2649,4599,-2649,4599,-2649,4599,630,1320,-2.99,-2.99,-2.99,-2.99,-6.55,-6.55,-6.55,-6.55,-3.51
-2785,4735,-2785,4735,-2785,4735,-2785,4735,590,1360,-2.85,-2.85,-2.85,-2.85,-6.11,-6.11,-6.11,-6.11,-3.32
-2921,4871,-2921,4871,-2921,4871,-2921,4871,550,1400,-2.78,-2.78,-2.78,-2.78,-6.17,-6.17,-6.17,-6.17,-3.39
-3057,5007,-3057,5007,-3057,5007,-3057,5007,520,1430,-2.52,-2.52,-2.52,-2.52,-6.05,-6.05,-6.05,-6.05,-3.31
-3194,5144,-3194,5144,-3194,5144,-3194,5144,480,1470,-3.6,-3.6,-3.6,-3.6,-6.16,-6.16,-6.16,-6.16,-3.59
-3330,5280,-3330,5280,-3330,5280,-3330,5280,440,1510,-3.68,-3.68,-3.68,-3.68,-5.34,-5.34,-5.34,-5.34,-3.6
-3466,5416,-3466,5416,-3466,5416,-3466,5416,400,1550,-2.87,-2.87,-2.87,-2.87,-5.86,-5.86,-5.86,-5.86,-3.55
-3602,5552,-3602,5552,-3602,5552,-3602,5552,370,1580,-2.87,-2.87,-2.87,-2.87,-5.37,-5.37,-5.37,-5.37,-3.35
-3738,5688,-3738,5688,-3738,5688,-3738,5688,330,1620,-2.9,-2.9,-2.9,-2.9,-5.23,-5.23,-5.23,-5.23,-3.67
-3874,5824,-3874,5824,-3874,5824,-3874,5824,280,1670,-2.67,-2.67,-2.67,-2.67,-5.39,-5.39,-5.39,-5.39,-3.66
-4010,5960,-4010,5960,-4010,5960,-4010,5960,240,1710,-3.07,-3.07,-3.07,-3.07,-5.59,-5.59,-5.59,-5.59,-3.6
-4146,6096,-4146,6096,-4146,6096,-4146,6096,200,1750,-3.09,-3.09,-3.09,-3.09,-5.29,-5.29,-5.29,-5.29,-3.71
-4282,6232,-4282,6232,-4282,6232,-4282,6232,150,1800,-2.35,-2.35,-2.35,-2.35,-5.54,-5.54,-5.54,-5.54,-3.7
-4398,6348,-4398,6348,-4398,6348,-4398,6348,110,1840,-2.79,-2.79,-2.79,-2.79,-6,-6,-6,-6,-3.48
-4496,6446,-4496,6446,-4496,6446,-4496,6446,60,1890,-2.49,-2.49,-2.49,-2.49,-5.9,-5.9,-5.9,-5.9,-3.4
-4593,6543,-4593,6543,-4593,6543,-4593,6543,20,1930,-2.71,-2.71,-2.71,-2.71,-5.82,-5.82,-5.82,-5.82,-3.65
-4690,6640,-4690,6640,-4690,6640,-4690,6640,-20,1970,-2.49,-2.49,-2.49,-2.49,-5.89,-5.89,-5.89,-5.89,-3.74
-4787,6737,-4787,6737,-4787,6737,-4787,6737,-70,2020,-2.8,-2.8,-2.8,-2.8,-5.89,-5.89,-5.89,-5.89,-3.56
-4885,6835,-4885,6835,-4885,6835,-4885,6835,-110,2060,-2.31,-2.31,-2.31,-2.31,-5.87,-5.87,-5.87,-5.87,-3.46
-4982,6932,-4982,6932,-4982,6932,-4982,6932,-160,2110,-2.75,-2.75,-2.75,-2.75,-5.93,-5.93,-5.93,-5.93,-3.41
-5079,7029,-5079,7029,-5079,7029,-5079,7029,-200,2150,-2.05,-2.05,-2.05,-2.05,-5.62,-5.62,-5.62,-5.62,-3.7
-5176,7126,-5176,7126,-5176,7126,-5176,7126,-240,2190,-2.42,-2.42,-2.42,-2.42,-5.74,-5.74,-5.74,-5.74,-3.46
-5273,7223,-5273,7223,-5273,7223,-5273,7223,-290,2240,-2.32,-2.32,-2.32,-2.32,-5.83,-5.83,-5.83,-5.83,-3.53
-5371,7321,-5371,7321,-5371,7321,-5371,7321,-330,2280,-2.19,-2.19,-2.19,-2.19,-5.85,-5.85,-5.85,-5.85,-3.45
-5468,7418,-5468,7418,-5468,7418,-5468,7418,-380,2330,-2.79,-2.79,-2.79,-2.79,-6.01,-6.01,-6.01,-6.01,-3.53
-5565,7515,-5565,7515,-5565,7515,-5565,7515,-420,2370,-1.57,-1.57,-1.57,-1.57,-5.64,-5.64,-5.64,-5.64,-3.46
-5662,7612,-5662,7612,-5662,7612,-5662,7612,-460,2410,-2.37,-2.37,-2.37,-2.37,-5.99,-5.99,-5.99,-5.99,-3.65
-5760,7710,-5760,7710,-5760,7710,-5760,7710,-500,2450,-1.68,-1.68,-1.68,-1.68,-6.14,-6.14,-6.14,-6.14,-3.82
-5857,7807,-5857,7807,-5857,7807,-5857,7807,-540,2490,-1.51,-1.51,-1.51,-1.51,-5.58,-5.58,-5.58,-5.58,-3.68
-5954,7904,-5954,7904,-5954,7904,-5954,7904,-580,2530,-2.06,-2.06,-2.06,-2.06,-5.93,-5.93,-5.93,-5.93,-3.88
-6051,8001,-6051,8001,-6051,8001,-6051,8001,-620,2570,-2.83,-2.83,-2.83,-2.83,-5.67,-5.67,-5.67,-5.67,-3.2
-6148,8098,-6148,8098,-6148,8098,-6148,8098,-660,2610,-2,-2,-2,-2,-6.1,-6.1,-6.1,-6.1,-3.54
-6246,8196,-6246,8196,-6246,8196,-6246,8196,-700,2650,-1.27,-1.27,-1.27,-1.27,-5.23,-5.23,-5.23,-5.23,-3.5
-6343,8293,-6343,8293,-6343,8293,-6343,8293,-740,2690,-1.84,-1.84,-1.84,-1.84,-6,-6,-6,-6,-3.65
-6440,8390,-6440,8390,-6440,8390,-6440,8390,-780,2730,-2.05,-2.05,-2.05,-2.05,-5.85,-5.85,-5.85,-5.85,-3.65
-6537,8487,-6537,8487,-6537,8487,-6537,8487,-820,2770,-1.71,-1.71,-1.71,-1.71,-6.27,-6.27,-6.27,-6.27,-3.48
-6634,8584,-6634,8584,-6634,8584,-6634,8584,-860,2810,-1.53,-1.53,-1.53,-1.53,-5.99,-5.99,-5.99,-5.99,-3.7
-6732,8682,-6732,8682,-6732,8682,-6732,8682,-900,2850,-1.65,-1.65,-1.65,-1.65,-5.66,-5.66,-5.66,-5.66,-3.76
-6829,8779,-6829,8779,-6829,8779,-6829,8779,-940,2890,-1.82,-1.82,-1.82,-1.82,-5.55,-5.55,-5.55,-5.55,-3.43
-6926,8876,-6926,8876,-6926,8876,-6926,8876,-980,2930,-2.15,-2.15,-2.15,-2.15,-5.99,-5.99,-5.99,-5.99,-3.29
-7023,8973,-7023,8973,-7023,8973,-7023,8973,-1020,2970,-2.92,-2.92,-2.92,-2.92,-6.24,-6.24,-6.24,-6.24,-3.38
-7121,9071,-7121,9071,-7121,9071,-7121,9071,-1070,3020,-1.99,-1.99,-1.99,-1.99,-5.74,-5.74,-5.74,-5.74,-3.86
-7213,9163,-7213,9163,-7213,9163,-7213,9163,-1110,3060,-1.74,-1.74,-1.74,-1.74,-5.92,-5.92,-5.92,-5.92,-3.63
-7302,9252,-7302,9252,-7302,9252,-7302,9252,-1150,3100,-2.13,-2.13,-2.13,-2.13,-5.32,-5.32,-5.32,-5.32,-3.45
-7392,9342,-7392,9342,-7392,9342,-7392,9342,-1190,3140,-2.05,-2.05,-2.05,-2.05,-5.4,-5.4,-5.4,-5.4,-3.61
-7481,9431,-7481,9431,-7481,9431,-7481,9431,-1230,3180,-1.52,-1.52,-1.52,-1.52,-5.2,-5.2,-5.2,-5.2,-3.1
-7571,9521,-7571,9521,-7571,9521,-7571,9521,-1270,3220,-2.08,-2.08,-2.08,-2.08,-5.6,-5.6,-5.6,-5.6,-3.5
-7660,9610,-7660,9610,-7660,9610,-7660,9610,-1310,3260,-2,-2,-2,-2,-5.18,-5.18,-5.18,-5.18,-3.24
-7750,9700,-7750,9700,-7750,9700,-7750,9700,-1350,3300,-2.29,-2.29,-2.29,-2.29,-5.74,-5.74,-5.74,-5.74,-3.86
-7839,9789,-7839,9789,-7839,9789,-7839,9789,-1390,3340,-2.25,-2.25,-2.25,-2.25,-6.02,-6.02,-6.02,-6.02,-3.39
-7929,9879,-7929,9879,-7929,9879,-7929,9879,-1430,3380,-1.89,-1.89,-1.89,-1.89,-6.26,-6.26,-6.26,-6.26,-3.44
-8018,9968,-8018,9968,-8018,9968,-8018,9968,-1470,3420,-2.16,-2.16,-2.16,-2.16,-5.88,-5.88,-5.88,-5.88,-3.25
-8108,10058,-8108,10058,-8108,10058,-8108,10058,-1510,3460,-2.19,-2.19,-2.19,-2.19,-6.23,-6.23,-6.23,-6.23,-3.25
-8197,10147,-8197,10147,-8197,10147,-8197,10147,-1550,3500,-2.32,-2.32,-2.32,-2.32,-6.18,-6.18,-6.18,-6.18,-3.38
-8287,10237,-8287,10237,-8287,10237,-8287,10237,-1590,3540,-1.98,-1.98,-1.98,-1.98,-6.09,-6.09,-6.09,-6.09,-3.41
-8376,10326,-8376,10326,-8376,10326,-8376,10326,-1630,3580,-2.75,-2.75,-2.75,-2.75,-5.75,-5.75,-5.75,-5.75,-3.65
-8466,10416,-8466,10416,-8466,10416,-8466,10416,-1670,3620,-3.15,-3.15,-3.15,-3.15,-5.72,-5.72,-5.72,-5.72,-3.34
-8556,10506,-8556,10506,-8556,10506,-8556,10506,-1720,3670,-3.37,-3.37,-3.37,-3.37,-5.64,-5.64,-5.64,-5.64,-3.14
-8645,10595,-8645,10595,-8645,10595,-8645,10595,-1760,3710,-3.64,-3.64,-3.64,-3.64,-5.67,-5.67,-5.67,-5.67,-3.07
-8735,10685,-8735,10685,-8735,10685,-8735,10685,-1800,3750,-3.53,-3.53,-3.53,-3.53,-5.71,-5.71,-5.71,-5.71,-3.13
-8824,10774,-8824,10774,-8824,10774,-8824,10774,-1840,3790,-3.41,-3.41,-3.41,-3.41,-5.68,-5.68,-5.68,-5.68,-3.14
-8914,10864,-8914,10864,-8914,10864,-8914,10864,-1880,3830,-2.99,-2.99,-2.99,-2.99,-5.27,-5.27,-5.27,-5.27,-3.19
-9003,10953,-9003,10953,-9003,10953,-9003,10953,-1920,3870,-3.33,-3.33,-3.33,-3.33,-5.19,-5.19,-5.19,-5.19,-3.39
-9093,11043,-9093,11043,-9093,11043,-9093,11043,-1960,3910,-3.07,-3.07,-3.07,-3.07,-5.09,-5.09,-5.09,-5.09,-3.61
-9272,11222,-9272,11222,-9272,11222,-9272,11222,-2010,3960,-2.03,-2.03,-2.03,-2.03,-5.03,-5.03,-5.03,-5.03,-3.16
-9361,11311,-9361,11311,-9361,11311,-9361,11311,-2060,4010,-2.39,-2.39,-2.39,-2.39,-5.62,-5.62,-5.62,-5.62,-3.4
-9451,11401,-9451,11401,-9451,11401,-9451,11401,-2110,4060,-2.27,-2.27,-2.27,-2.27,-5.64,-5.64,-5.64,-5.64,-3.43
-9721,11671,-9721,11671,-9721,11671,-9721,11671,-2170,4120,-2.04,-2.04,-2.04,-2.04,-5.1,-5.1,-5.1,-5.1,-3.21
-10011,11961,-10011,11961,-10011,11961,-10011,11961,-2220,4170,-1.82,-1.82,-1.82,-1.82,-5.08,-5.08,-5.08,-5.08,-3.42
-10301,12251,-10301,12251,-10301,12251,-10301,12251,-2270,4220,-1.97,-1.97,-1.97,-1.97,-5.03,-5.03,-5.03,-5.03,-3.46
-10591,12541,-10591,12541,-10591,12541,-10591,12541,-2320,4270,-2.2,-2.2,-2.2,-2.2,-5.15,-5.15,-5.15,-5.15,-3.33
-10881,12831,-10881,12831,-10881,12831,-10881,12831,-2370,4320,-2.55,-2.55,-2.55,-2.55,-5.71,-5.71,-5.71,-5.71,-3.17
-11171,13121,-11171,13121,-11171,13121,-11171,13121,-2420,4370,-2.32,-2.32,-2.32,-2.32,-6.1,-6.1,-6.1,-6.1,-3.38
-11461,13411,-11461,13411,-11461,13411,-11461,13411,-2470,4420,-2.54,-2.54,-2.54,-2.54,-5.79,-5.79,-5.79,-5.79,-3.47
-11751,13701,-11751,13701,-11751,13701,-11751,13701,-2530,4480,-2.82,-2.82,-2.82,-2.82,-5.98,-5.98,-5.98,-5.98,-3.34
-12041,13991,-12041,13991,-12041,13991,-12041,13991,-2580,4530,-4.25,-4.25,-4.25,-4.25,-6.27,-6.27,-6.27,-6.27,-3.13
-12331,14281,-12331,14281,-12331,14281,-12331,14281,-2630,4580,-4.37,-4.37,-4.37,-4.37,-6.36,-6.36,-6.36,-6.36,-2.88
-12621,14571,-12621,14571,-12621,14571,-12621,14571,-2680,4630,-4.38,-4.38,-4.38,-4.38,-6.24,-6.24,-6.24,-6.24,-3.2
-12831,14781,-12831,14781,-12831,14781,-12831,14781,-2730,4680,-4.41,-4.41,-4.41,-4.41,-6.58,-6.58,-6.58,-6.58,-3.02
-13032,14982,-13032,14982,-13032,14982,-13032,14982,-2780,4730,-4.45,-4.45,-4.45,-4.45,-5.92,-5.92,-5.92,-5.92,-2.86
-13233,15183,-13233,15183,-13233,15183,-13233,15183,-2830,4780,-4.32,-4.32,-4.32,-4.32,-6.2,-6.2,-6.2,-6.2,-3.24
-13434,15384,-13434,15384,-13434,15384,-13434,15384,-2890,4840,-4.49,-4.49,-4.49,-4.49,-5.88,-5.88,-5.88,-5.88,-3.24
-13635,15585,-13635,15585,-13635,15585,-13635,15585,-2940,4890,-4.36,-4.36,-4.36,-4.36,-5.54,-5.54,-5.54,-5.54,-3.08
-13836,15786,-13836,15786,-13836,15786,-13836,15786,-2990,4940,-4.83,-4.83,-4.83,-4.83,-5.91,-5.91,-5.91,-5.91,-3.14
-14037,15987,-14037,15987,-14037,15987,-14037,15987,-3040,4990,-4.35,-4.35,-4.35,-4.35,-5.31,-5.31,-5.31,-5.31,-3.24
-14238,16188,-14238,16188,-14238,16188,-14238,16188,-3090,5040,-4.38,-4.38,-4.38,-4.38,-5.67,-5.67,-5.67,-5.67,-2.96
-14439,16389,-14439,16389,-14439,16389,-14439,16389,-3140,5090,-4.45,-4.45,-4.45,-4.45,-5.66,-5.66,-5.66,-5.66,-2.74
-14640,16590,-14640,16590,-14640,16590,-14640,16590,-3200,5150,-4.17,-4.17,-4.17,-4.17,-5.21,-5.21,-5.21,-5.21,-3.26
-14841,16791,-14841,16791,-14841,16791,-14841,16791,-3250,5200,-4.29,-4.29,-4.29,-4.29,-5.26,-5.26,-5.26,-5.26,-2.94
-15042,16992,-15042,16992,-15042,16992,-15042,16992,-3260,5210,-4.08,-4.08,-4.08,-4.08,-4.85,-4.85,-4.85,-4.85,-2.9
-15243,17193,-15243,17193,-15243,17193,-15243,17193,-3270,5220,-3.77,-3.77,-3.77,-3.77,-5.18,-5.18,-5.18,-5.18,-3.04
-15444,17394,-15444,17394,-15444,17394,-15444,17394,-3280,5230,-3.88,-3.88,-3.88,-3.88,-5.21,-5.21,-5.21,-5.21,-3.02
-15645,17595,-15645,17595,-15645,17595,-15645,17595,-3290,5240,-4.58,-4.58,-4.58,-4.58,-5.14,-5.14,-5.14,-5.14,-3.18
-15846,17796,-15846,17796,-15846,17796,-15846,17796,-3300,5250,-3.74,-3.74,-3.74,-3.74,-5.07,-5.07,-5.07,-5.07,-3.25
-16047,17997,-16047,17997,-16047,17997,-16047,17997,-3310,5260,-3.49,-3.49,-3.49,-3.49,-5.07,-5.07,-5.07,-5.07,-2.47
-16248,18198,-16248,18198,-16248,18198,-16248,18198,-3330,5280,-3.44,-3.44,-3.44,-3.44,-4.93,-4.93,-4.93,-4.93,-3.06
-16449,18399,-16449,18399,-16449,18399,-16449,18399,-3340,5290,-3.41,-3.41,-3.41,-3.41,-4.99,-4.99,-4.99,-4.99,-2.86
-16650,18600,-16650,18600,-16650,18600,-16650,18600,-3350,5300,-3.28,-3.28,-3.28,-3.28,-5.19,-5.19,-5.19,-5.19,-3.03
-16832,18782,-16832,18782,-16832,18782,-16832,18782,-3360,5310,-3.35,-3.35,-3.35,-3.35,-5.5,-5.5,-5.5,-5.5,-2.88
-17006,18956,-17006,18956,-17006,18956,-17006,18956,-3370,5320,-3.31,-3.31,-3.31,-3.31,-4.61,-4.61,-4.61,-4.61,-3
-17180,19130,-17180,19130,-17180,19130,-17180,19130,-3380,5330,-3.06,-3.06,-3.06,-3.06,-4.38,-4.38,-4.38,-4.38,-2.64
-17354,19304,-17354,19304,-17354,19304,-17354,19304,-3390,5340,-2.78,-2.78,-2.78,-2.78,-3.6,-3.6,-3.6,-3.6,-2.97
-17527,19477,-17527,19477,-17527,19477,-17527,19477,-3400,5350,-3.23,-3.23,-3.23,-3.23,-3.92,-3.92,-3.92,-3.92,-3.08
-17701,19651,-17701,19651,-17701,19651,-17701,19651,-3420,5370,-3.32,-3.32,-3.32,-3.32,-3.98,-3.98,-3.98,-3.98,-3
-17875,19825,-17875,19825,-17875,19825,-17875,19825,-3430,5380,-3.7,-3.7,-3.7,-3.7,-4.92,-4.92,-4.92,-4.92,-3.13
-18049,19999,-18049,19999,-18049,19999,-18049,19999,-3440,5390,-3.09,-3.09,-3.09,-3.09,-4.67,-4.67,-4.67,-4.67,-2.98
-18223,20173,-18223,20173,-18223,20173,-18223,20173,-3450,5400,-2.87,-2.87,-2.87,-2.87,-4.22,-4.22,-4.22,-4.22,-3.06
-18397,20347,-18397,20347,-18397,20347,-18397,20347,-3460,5410,-3.12,-3.12,-3.12,-3.12,-4.7,-4.7,-4.7,-4.7,-2.65
-18571,20521,-18571,20521,-18571,20521,-18571,20521,-3470,5420,-3.51,-3.51,-3.51,-3.51,-4.92,-4.92,-4.92,-4.92,-2.78
-18745,20695,-18745,20695,-18745,20695,-18745,20695,-3480,5430,-3.4,-3.4,-3.4,-3.4,-5.22,-5.22,-5.22,-5.22,-2.64
-18919,20869,-18919,20869,-18919,20869,-18919,20869,-3530,5480,-3,-3,-3,-3,-4.85,-4.85,-4.85,-4.85,-2.85
-19093,21043,-19093,21043,-19093,21043,-19093,21043,-3580,5530,-3.46,-3.46,-3.46,-3.46,-5.22,-5.22,-5.22,-5.22,-2.86
-19266,21216,-19266,21216,-19266,21216,-19266,21216,-3620,5570,-3.8,-3.8,-3.8,-3.8,-5.16,-5.16,-5.16,-5.16,-2.74
-19440,21390,-19440,21390,-19440,21390,-19440,21390,-3670,5620,-3.21,-3.21,-3.21,-3.21,-4.4,-4.4,-4.4,-4.4,-3.11
-19614,21564,-19614,21564,-19614,21564,-19614,21564,-3710,5660,-3.07,-3.07,-3.07,-3.07,-4.57,-4.57,-4.57,-4.57,-2.49
-19788,21738,-19788,21738,-19788,21738,-19788,21738,-3760,5710,-3.19,-3.19,-3.19,-3.19,-4.71,-4.71,-4.71,-4.71,-2.21
-19962,21912,-19962,21912,-19962,21912,-19962,21912,-3810,5760,-2.96,-2.96,-2.96,-2.96,-4.35,-4.35,-4.35,-4.35,-2.82
-20136,22086,-20136,22086,-20136,22086,-20136,22086,-3850,5800,-3.24,-3.24,-3.24,-3.24,-4.37,-4.37,-4.37,-4.37,-2.8
-20310,22260,-20310,22260,-20310,22260,-20310,22260,-3900,5850,-3.09,-3.09,-3.09,-3.09,-4.83,-4.83,-4.83,-4.83,-2.87
-20484,22434,-20484,22434,-20484,22434,-20484,22434,-3940,5890,-2.74,-2.74,-2.74,-2.74,-4.44,-4.44,-4.44,-4.44,-2.45
-20658,22608,-20658,22608,-20658,22608,-20658,22608,-3990,5940,-3.11,-3.11,-3.11,-3.11,-4.78,-4.78,-4.78,-4.78,-2.17
-20832,22782,-20832,22782,-20832,22782,-20832,22782,-4040,5990,-3.16,-3.16,-3.16,-3.16,-4.39,-4.39,-4.39,-4.39,-2.8
-21005,22955,-21005,22955,-21005,22955,-21005,22955,-4080,6030,-2.8,-2.8,-2.8,-2.8,-5.05,-5.05,-5.05,-5.05,-2.78
-21179,23129,-21179,23129,-21179,23129,-21179,23129,-4130,6080,-3.43,-3.43,-3.43,-3.43,-4.54,-4.54,-4.54,-4.54,-2.56
-21353,23303,-21353,23303,-21353,23303,-21353,23303,-4170,6120,-3.36,-3.36,-3.36,-3.36,-4.52,-4.52,-4.52,-4.52,-2.59
-21535,23485,-21535,23485,-21535,23485,-21535,23485,-4220,6170,-3.44,-3.44,-3.44,-3.44,-3.58,-3.58,-3.58,-3.58,-2.46
-21726,23676,-21726,23676,-21726,23676,-21726,23676,-4270,6220,-2.8,-2.8,-2.8,-2.8,-4.33,-4.33,-4.33,-4.33,-2.68
-21916,23866,-21916,23866,-21916,23866,-21916,23866,-4310,6260,-3.28,-3.28,-3.28,-3.28,-4.49,-4.49,-4.49,-4.49,-2.35
-22107,24057,-22107,24057,-22107,24057,-22107,24057,-4360,6310,-2.98,-2.98,-2.98,-2.98,-4.58,-4.58,-4.58,-4.58,-2.85
-22297,24247,-22297,24247,-22297,24247,-22297,24247,-4400,6350,-3,-3,-3,-3,-4.27,-4.27,-4.27,-4.27,-2.4
-22488,24438,-22488,24438,-22488,24438,-22488,24438,-4450,6400,-3.05,-3.05,-3.05,-3.05,-4.88,-4.88,-4.88,-4.88,-2.32
-22678,24628,-22678,24628,-22678,24628,-22678,24628,-4500,6450,-3.19,-3.19,-3.19,-3.19,-4.92,-4.92,-4.92,-4.92,-2.45
-22869,24819,-22869,24819,-22869,24819,-22869,24819,-4540,6490,-2.79,-2.79,-2.79,-2.79,-4.64,-4.64,-4.64,-4.64,-2.59
-23059,25009,-23059,25009,-23059,25009,-23059,25009,-4590,6540,-3.49,-3.49,-3.49,-3.49,-4.77,-4.77,-4.77,-4.77,-2.9
-23249,25199,-23249,25199,-23249,25199,-23249,25199,-4630,6580,-3.89,-3.89,-3.89,-3.89,-4.96,-4.96,-4.96,-4.96,-2.34
-23440,25390,-23440,25390,-23440,25390,-23440,25390,-4680,6630,-3.43,-3.43,-3.43,-3.43,-4.72,-4.72,-4.72,-4.72,-2.41
-23630,25580,-23630,25580,-23630,25580,-23630,25580,-4730,6680,-2.79,-2.79,-2.79,-2.79,-4.49,-4.49,-4.49,-4.49,-2.59
-23821,25771,-23821,25771,-23821,25771,-23821,25771,-4770,6720,-2.76,-2.76,-2.76,-2.76,-4.21,-4.21,-4.21,-4.21,-2.62
-24011,25961,-24011,25961,-24011,25961,-24011,25961,-4820,6770,-2.95,-2.95,-2.95,-2.95,-4.9,-4.9,-4.9,-4.9,-2.78
-24202,26152,-24202,26152,-24202,26152,-24202,26152,-4860,6810,-2.76,-2.76,-2.76,-2.76,-5.33,-5.33,-5.33,-5.33,-2.43
-24392,26342,-24392,26342,-24392,26342,-24392,26342,-4910,6860,-2.82,-2.82,-2.82,-2.82,-5.13,-5.13,-5.13,-5.13,-2.28
