depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],age (BP) [1-2],temperature (degC) [1-2],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],d18O (permil) [2-1],age (BP) [3-1],temperature (degC) [3-1]
26,1256,2.84,4971.85,-0.289,51,2244,5.6,2.82,5809,7.1
27,1309,2.87,4782.35,-1.422,52,2314.8,4,2.94,6101,7.2
28,1362,2.9,4592.85,-0.422,53,2385.5,4.3,2.86,6392,7.1
29,1415,2.76,4403.35,-1.089,54,2456,3.7,NA,6653,7.8
30,1468,2.99,4213.85,-0.63,55,2527,3.6,NA,6866,7.2
31,1521,2.72,4024.35,-0.405,56,2597.8,3.6,2.95,7080,6.7
32,1573,2.72,3834.85,-0.514,57,2668.5,3.9,2.89,7294,7.4
33,1626,2.61,3645.35,-0.839,58,2739.2,4,2.92,7508,6.9
34,1679,2.82,3455.85,-1.189,59,2810,3.8,2.91,7721,7.2
35,1732,2.87,3266.35,-0.68,60,2880.8,4.5,2.88,7935,7.1
36,1785,2.7,3076.85,-0.972,61,2951.5,3.8,2.85,8140,6.9
37,1838,2.75,2887.35,-0.689,62,3022.2,3.5,2.88,8311,7
38,1891,2.36,2697.85,-1.13,63,3093,3.7,2.84,8482,7.2
39,1944,2.82,2508.35,-1.389,64,3163.8,2.6,2.8,8653,6.9
NA,NA,NA,2318.85,-0.739,65,3234.5,3.7,2.99,8824,6.1
NA,NA,NA,2129.35,0.945,66,3305.2,3.8,2.82,8968,6.5
NA,NA,NA,1939.85,-0.739,67,3376,4,3.06,9094,6.2
NA,NA,NA,1750.35,-0.48,68,3442.7,2.2,2.94,NA,NA
NA,NA,NA,1560.85,0.678,69,3509.4,2.9,2.84,NA,NA
NA,NA,NA,1371.35,-0.955,70,3576.1,2.9,2.87,NA,NA
NA,NA,NA,1181.85,-0.855,71,3642.8,2.4,2.96,NA,NA
NA,NA,NA,992.35,-0.825,72,3709.5,3.2,2.95,NA,NA
NA,NA,NA,802.85,-0.142,73,3776.2,3.6,3.04,NA,NA
NA,NA,NA,NA,NA,74,3842.8,3.8,2.89,NA,NA
NA,NA,NA,NA,NA,75,3909.5,2.6,2.85,NA,NA
NA,NA,NA,NA,NA,76,3976.2,3.9,2.9,NA,NA
NA,NA,NA,NA,NA,77,4042.9,NA,2.89,NA,NA
NA,NA,NA,NA,NA,78,4109.6,2.9,2.66,NA,NA
NA,NA,NA,NA,NA,79,4176.3,3.6,2.65,NA,NA
NA,NA,NA,NA,NA,80,4243,3.3,2.88,NA,NA
NA,NA,NA,NA,NA,81,4309.7,2.4,2.88,NA,NA
NA,NA,NA,NA,NA,82,4376.4,3.4,2.92,NA,NA
NA,NA,NA,NA,NA,83,4443.1,3.3,2.96,NA,NA
NA,NA,NA,NA,NA,84,4509.8,3.6,2.82,NA,NA
NA,NA,NA,NA,NA,85,4576.5,3.7,2.83,NA,NA
NA,NA,NA,NA,NA,86,4643.2,2.8,2.79,NA,NA
NA,NA,NA,NA,NA,87,4709.8,3.9,2.9,NA,NA
NA,NA,NA,NA,NA,88,4776.5,2.8,2.89,NA,NA
NA,NA,NA,NA,NA,89,4843.2,2.9,2.83,NA,NA
NA,NA,NA,NA,NA,90,4909.9,4.2,2.96,NA,NA
NA,NA,NA,NA,NA,91,4976.6,3.1,3.06,NA,NA
NA,NA,NA,NA,NA,92,5043.3,2.4,2.92,NA,NA
NA,NA,NA,NA,NA,93,5110,3.5,3.07,NA,NA
NA,NA,NA,NA,NA,94,5168.3,3.8,2.94,NA,NA
NA,NA,NA,NA,NA,95,5226.6,3.6,2.89,NA,NA
NA,NA,NA,NA,NA,96,5284.8,3.7,2.79,NA,NA
NA,NA,NA,NA,NA,97,5343.1,4.1,2.81,NA,NA
NA,NA,NA,NA,NA,98,5401.4,3.8,2.85,NA,NA
NA,NA,NA,NA,NA,99,5459.7,3.8,2.87,NA,NA
NA,NA,NA,NA,NA,100,5518,4.6,2.93,NA,NA
NA,NA,NA,NA,NA,101,5576.2,4.8,2.95,NA,NA
NA,NA,NA,NA,NA,102,5634.5,4.8,2.81,NA,NA
NA,NA,NA,NA,NA,103,5692.8,4.6,2.77,NA,NA
NA,NA,NA,NA,NA,104,5751.1,3.9,2.86,NA,NA
NA,NA,NA,NA,NA,105,5809.4,4.6,2.83,NA,NA
NA,NA,NA,NA,NA,106,5867.6,6.7,2.87,NA,NA
NA,NA,NA,NA,NA,107,5925.9,4.6,2.75,NA,NA
NA,NA,NA,NA,NA,108,5984.2,4.6,2.73,NA,NA
NA,NA,NA,NA,NA,109,6042.5,4.6,2.77,NA,NA
NA,NA,NA,NA,NA,110,6100.8,3.6,2.86,NA,NA
NA,NA,NA,NA,NA,111,6159,3.9,2.7,NA,NA
NA,NA,NA,NA,NA,112,6217.3,3.9,2.76,NA,NA
NA,NA,NA,NA,NA,113,6275.6,3.8,2.75,NA,NA
NA,NA,NA,NA,NA,114,6333.9,3.8,2.68,NA,NA
NA,NA,NA,NA,NA,115,6392.2,3.8,2.79,NA,NA
NA,NA,NA,NA,NA,116,6450.4,2.7,2.89,NA,NA
NA,NA,NA,NA,NA,117,6508.7,2.8,2.85,NA,NA
NA,NA,NA,NA,NA,118,6567,3.6,2.77,NA,NA
NA,NA,NA,NA,NA,119,6609.8,2.7,2.81,NA,NA
NA,NA,NA,NA,NA,120,6652.5,2.6,2.81,NA,NA
NA,NA,NA,NA,NA,121,6695.2,2.2,2.84,NA,NA
NA,NA,NA,NA,NA,122,6738,2.4,2.85,NA,NA
NA,NA,NA,NA,NA,123,6780.8,2.2,2.63,NA,NA
NA,NA,NA,NA,NA,124,6823.5,2.1,2.82,NA,NA
NA,NA,NA,NA,NA,125,6866.2,4,2.77,NA,NA
NA,NA,NA,NA,NA,126,6909,4.5,2.81,NA,NA
NA,NA,NA,NA,NA,127,6951.8,3.7,2.73,NA,NA
NA,NA,NA,NA,NA,128,6994.5,3.9,2.63,NA,NA
NA,NA,NA,NA,NA,129,7037.2,3.6,2.77,NA,NA
NA,NA,NA,NA,NA,130,7080,4,2.84,NA,NA
NA,NA,NA,NA,NA,131,7122.8,4.8,2.67,NA,NA
NA,NA,NA,NA,NA,132,7165.5,5.1,2.8,NA,NA
NA,NA,NA,NA,NA,133,7208.2,4.8,2.77,NA,NA
NA,NA,NA,NA,NA,134,7251,3.6,2.84,NA,NA
NA,NA,NA,NA,NA,135,7293.8,3.6,2.86,NA,NA
NA,NA,NA,NA,NA,136,7336.5,4,2.67,NA,NA
NA,NA,NA,NA,NA,137,7379.2,4.4,2.67,NA,NA
NA,NA,NA,NA,NA,138,7422,3.9,2.68,NA,NA
NA,NA,NA,NA,NA,139,7464.8,3.8,2.71,NA,NA
NA,NA,NA,NA,NA,140,7507.5,2.1,2.59,NA,NA
NA,NA,NA,NA,NA,141,7550.2,2.4,2.57,NA,NA
NA,NA,NA,NA,NA,142,7593,3.8,2.74,NA,NA
NA,NA,NA,NA,NA,143,7635.8,4.6,2.69,NA,NA
NA,NA,NA,NA,NA,144,7678.5,4.5,2.56,NA,NA
NA,NA,NA,NA,NA,145,7721.2,7.5,2.72,NA,NA
NA,NA,NA,NA,NA,146,7764,4.6,2.73,NA,NA
NA,NA,NA,NA,NA,147,7806.8,4.6,2.76,NA,NA
NA,NA,NA,NA,NA,148,7849.5,7.5,2.81,NA,NA
NA,NA,NA,NA,NA,149,7892.2,7.6,2.51,NA,NA
NA,NA,NA,NA,NA,150,7935,3.8,2.82,NA,NA
NA,NA,NA,NA,NA,151,7977.8,5.6,2.85,NA,NA
NA,NA,NA,NA,NA,152,8020.5,7.5,2.85,NA,NA
NA,NA,NA,NA,NA,153,8063.2,5.2,2.98,NA,NA
NA,NA,NA,NA,NA,154,8106,7.8,2.9,NA,NA
NA,NA,NA,NA,NA,155,8140.2,5.4,2.78,NA,NA
NA,NA,NA,NA,NA,156,8174.4,4.8,2.91,NA,NA
NA,NA,NA,NA,NA,157,8208.5,3.9,2.77,NA,NA
NA,NA,NA,NA,NA,158,8242.7,3.9,2.9,NA,NA
NA,NA,NA,NA,NA,159,8276.9,3.6,2.76,NA,NA
NA,NA,NA,NA,NA,160,8311,4.6,3.03,NA,NA
NA,NA,NA,NA,NA,161,8345.2,4.9,2.72,NA,NA
NA,NA,NA,NA,NA,162,8379.4,3.6,2.85,NA,NA
NA,NA,NA,NA,NA,163,8413.6,3.6,2.96,NA,NA
NA,NA,NA,NA,NA,164,8447.7,3.6,2.65,NA,NA
NA,NA,NA,NA,NA,165,8481.9,3.4,2.77,NA,NA
NA,NA,NA,NA,NA,166,8516.1,3.4,2.66,NA,NA
NA,NA,NA,NA,NA,167,8550.3,3.9,2.75,NA,NA
NA,NA,NA,NA,NA,168,8584.4,5.3,NA,NA,NA
NA,NA,NA,NA,NA,169,8618.6,5.2,3.01,NA,NA
NA,NA,NA,NA,NA,170,8652.8,4.1,2.83,NA,NA
NA,NA,NA,NA,NA,171,8687,3.8,2.82,NA,NA
NA,NA,NA,NA,NA,172,8721.1,4.3,2.72,NA,NA
NA,NA,NA,NA,NA,173,8755.3,4.7,2.6,NA,NA
NA,NA,NA,NA,NA,174,8789.5,4.1,2.62,NA,NA
NA,NA,NA,NA,NA,175,8823.6,4.8,2.6,NA,NA
NA,NA,NA,NA,NA,176,8857.8,7.8,2.72,NA,NA
NA,NA,NA,NA,NA,177,8892,7.7,2.6,NA,NA
NA,NA,NA,NA,NA,178,8917.3,5.4,2.63,NA,NA
NA,NA,NA,NA,NA,179,8942.5,5.2,2.65,NA,NA
NA,NA,NA,NA,NA,180,8967.8,7.6,2.81,NA,NA
NA,NA,NA,NA,NA,181,8993.1,7.8,2.56,NA,NA
NA,NA,NA,NA,NA,182,9018.3,7.8,2.7,NA,NA
NA,NA,NA,NA,NA,183,9043.6,7.6,2.69,NA,NA
NA,NA,NA,NA,NA,184,9068.9,7.8,2.62,NA,NA
NA,NA,NA,NA,NA,185,9094.1,8,2.64,NA,NA
NA,NA,NA,NA,NA,186,9119.4,8.5,2.69,NA,NA
NA,NA,NA,NA,NA,187,9144.7,8.2,2.66,NA,NA
NA,NA,NA,NA,NA,188,9169.9,8.5,2.67,NA,NA
NA,NA,NA,NA,NA,189,9195.2,8.1,2.56,NA,NA
NA,NA,NA,NA,NA,190,9220.5,7.9,2.79,NA,NA
NA,NA,NA,NA,NA,191,9245.7,8.4,2.77,NA,NA
NA,NA,NA,NA,NA,192,9271,8.3,2.58,NA,NA
NA,NA,NA,NA,NA,193,9290.9,8.2,2.63,NA,NA
NA,NA,NA,NA,NA,194,9310.9,8,2.74,NA,NA
NA,NA,NA,NA,NA,195,9330.8,8,2.81,NA,NA
NA,NA,NA,NA,NA,196,9350.7,7.7,2.83,NA,NA
NA,NA,NA,NA,NA,197,9370.7,8,2.76,NA,NA
NA,NA,NA,NA,NA,198,9390.6,8.3,2.8,NA,NA
NA,NA,NA,NA,NA,199,9410.5,7.8,2.82,NA,NA
NA,NA,NA,NA,NA,200,9430.5,8,2.74,NA,NA
NA,NA,NA,NA,NA,201,9450.4,7.8,2.83,NA,NA
NA,NA,NA,NA,NA,202,9470.3,8.3,2.86,NA,NA
NA,NA,NA,NA,NA,203,9490.3,8.3,2.71,NA,NA
NA,NA,NA,NA,NA,204,9510.2,8.3,2.7,NA,NA
NA,NA,NA,NA,NA,205,9530.1,8.3,2.82,NA,NA
NA,NA,NA,NA,NA,206,9550.1,7.9,2.77,NA,NA
NA,NA,NA,NA,NA,207,9570,8.3,2.19,NA,NA
NA,NA,NA,NA,NA,208,9581.6,8.3,2.65,NA,NA
NA,NA,NA,NA,NA,209,9593.2,8.3,2.81,NA,NA
NA,NA,NA,NA,NA,210,9604.8,8.1,2.89,NA,NA
NA,NA,NA,NA,NA,211,9616.5,8.2,3.04,NA,NA
NA,NA,NA,NA,NA,212,9628.1,8.3,2.89,NA,NA
NA,NA,NA,NA,NA,213,9639.7,8.2,2.93,NA,NA
NA,NA,NA,NA,NA,214,9651.3,7.9,2.85,NA,NA
NA,NA,NA,NA,NA,215,9662.9,8.3,2.96,NA,NA
NA,NA,NA,NA,NA,216,9674.6,8.3,2.98,NA,NA
NA,NA,NA,NA,NA,217,9686.2,8.3,2.78,NA,NA
NA,NA,NA,NA,NA,218,9697.8,8,2.8,NA,NA
NA,NA,NA,NA,NA,219,9709.4,7.9,2.82,NA,NA
NA,NA,NA,NA,NA,220,9721,7.9,2.76,NA,NA
NA,NA,NA,NA,NA,221,9732.6,7.9,2.65,NA,NA
NA,NA,NA,NA,NA,222,9744.3,7.9,2.85,NA,NA
NA,NA,NA,NA,NA,223,9755.9,8.3,2.86,NA,NA
NA,NA,NA,NA,NA,224,9767.5,8,2.85,NA,NA
NA,NA,NA,NA,NA,225,9779.1,8,2.81,NA,NA
NA,NA,NA,NA,NA,226,9790.7,8,2.89,NA,NA
NA,NA,NA,NA,NA,227,9802.4,8,2.91,NA,NA
NA,NA,NA,NA,NA,228,9814,7.8,2.97,NA,NA
NA,NA,NA,NA,NA,229,9825.6,7.8,2.93,NA,NA
NA,NA,NA,NA,NA,230,9837.2,7.8,3.04,NA,NA
NA,NA,NA,NA,NA,231,9848.8,7.9,2.97,NA,NA
NA,NA,NA,NA,NA,232,9860.4,7.8,2.87,NA,NA
NA,NA,NA,NA,NA,233,9872.1,7.8,2.98,NA,NA
NA,NA,NA,NA,NA,234,9883.7,7.9,2.96,NA,NA
NA,NA,NA,NA,NA,235,9895.3,7.9,3.06,NA,NA
NA,NA,NA,NA,NA,236,9906.9,7.9,3.19,NA,NA
NA,NA,NA,NA,NA,237,9918.5,7.8,2.99,NA,NA
NA,NA,NA,NA,NA,238,9930.2,7.8,3.08,NA,NA
NA,NA,NA,NA,NA,239,9941.8,7.7,3.05,NA,NA
NA,NA,NA,NA,NA,240,9953.4,7.8,3.06,NA,NA
NA,NA,NA,NA,NA,241,9965,7.7,3.1,NA,NA
NA,NA,NA,NA,NA,242,9974.5,7.5,3.03,NA,NA
NA,NA,NA,NA,NA,243,9984.1,7.8,3.07,NA,NA
NA,NA,NA,NA,NA,244,9993.6,7.9,3.13,NA,NA
NA,NA,NA,NA,NA,245,10003.1,5.9,2.9,NA,NA
NA,NA,NA,NA,NA,246,10012.7,8,3,NA,NA
NA,NA,NA,NA,NA,247,10022.2,7.9,3.07,NA,NA
NA,NA,NA,NA,NA,248,10031.7,7.7,2.93,NA,NA
NA,NA,NA,NA,NA,249,10041.2,8,2.92,NA,NA
NA,NA,NA,NA,NA,250,10057,7.9,2.95,NA,NA
NA,NA,NA,NA,NA,251,10079.1,7.5,2.93,NA,NA
NA,NA,NA,NA,NA,252,10101.1,7.7,3.09,NA,NA
NA,NA,NA,NA,NA,253,10123.2,8.2,2.96,NA,NA
NA,NA,NA,NA,NA,254,10145.2,7.8,3.18,NA,NA
NA,NA,NA,NA,NA,255,10167.2,7.8,3.13,NA,NA
NA,NA,NA,NA,NA,256,10189.3,7.8,3.12,NA,NA
NA,NA,NA,NA,NA,257,10211.3,5.1,3.1,NA,NA
NA,NA,NA,NA,NA,258,10233.4,7.8,3.02,NA,NA
NA,NA,NA,NA,NA,259,10255.4,7.8,3.13,NA,NA
NA,NA,NA,NA,NA,260,10277.5,4.8,NA,NA,NA
NA,NA,NA,NA,NA,261,10299.5,4.6,3.21,NA,NA
NA,NA,NA,NA,NA,262,10321.6,5.1,3.05,NA,NA
NA,NA,NA,NA,NA,263,10343.6,4.8,3.21,NA,NA
NA,NA,NA,NA,NA,264,10365.7,4.4,3.12,NA,NA
NA,NA,NA,NA,NA,265,10387.7,7.6,3.1,NA,NA
NA,NA,NA,NA,NA,266,10409.8,5.9,3.05,NA,NA
NA,NA,NA,NA,NA,267,10431.8,5.9,3.24,NA,NA
NA,NA,NA,NA,NA,268,10453.8,4.7,3.12,NA,NA
NA,NA,NA,NA,NA,269,10475.9,8.4,3.28,NA,NA
NA,NA,NA,NA,NA,270,10497.9,5.5,3.02,NA,NA
NA,NA,NA,NA,NA,271,10520,4.4,3.22,NA,NA
NA,NA,NA,NA,NA,272,10542,5,3.1,NA,NA
NA,NA,NA,NA,NA,273,10564.1,5.9,2.93,NA,NA
NA,NA,NA,NA,NA,274,10586.1,5.9,3.15,NA,NA
NA,NA,NA,NA,NA,275,10608.2,7.5,3.21,NA,NA
NA,NA,NA,NA,NA,276,10630.2,8.3,3.05,NA,NA
NA,NA,NA,NA,NA,277,10652.3,7.8,2.95,NA,NA
NA,NA,NA,NA,NA,278,10674.3,3.8,3.21,NA,NA
NA,NA,NA,NA,NA,279,10696.4,5.4,3.24,NA,NA
NA,NA,NA,NA,NA,280,10718.4,8.3,3.16,NA,NA
NA,NA,NA,NA,NA,281,10740.4,5.2,3.21,NA,NA
NA,NA,NA,NA,NA,282,10762.5,4.6,3.16,NA,NA
NA,NA,NA,NA,NA,283,10784.5,4.1,3.41,NA,NA
NA,NA,NA,NA,NA,284,10806.6,3.7,3.29,NA,NA
NA,NA,NA,NA,NA,285,10828.6,5.4,3.29,NA,NA
NA,NA,NA,NA,NA,286,10850.7,4.5,3.44,NA,NA
NA,NA,NA,NA,NA,287,10872.7,4.6,3.18,NA,NA
NA,NA,NA,NA,NA,288,10894.8,4.8,3.37,NA,NA
NA,NA,NA,NA,NA,289,10916.8,5.4,3.42,NA,NA
NA,NA,NA,NA,NA,290,10938.9,3.9,3.21,NA,NA
NA,NA,NA,NA,NA,291,10960.9,3.9,3.27,NA,NA
NA,NA,NA,NA,NA,292,10983,3.8,3.35,NA,NA
NA,NA,NA,NA,NA,293,11005,3.9,3.41,NA,NA
NA,NA,NA,NA,NA,294,11027,3.8,3.1,NA,NA
NA,NA,NA,NA,NA,295,11049.1,3.9,3.14,NA,NA
NA,NA,NA,NA,NA,296,11071.1,3.6,3.42,NA,NA
NA,NA,NA,NA,NA,297,11093.2,2.7,3.27,NA,NA
NA,NA,NA,NA,NA,298,11115.2,2.5,3.44,NA,NA
NA,NA,NA,NA,NA,299,11137.3,NA,3.54,NA,NA
NA,NA,NA,NA,NA,300,11159.3,NA,3.24,NA,NA
NA,NA,NA,NA,NA,301,11181.4,NA,3.32,NA,NA
NA,NA,NA,NA,NA,302,11203.4,NA,3.26,NA,NA
NA,NA,NA,NA,NA,303,11225.5,NA,3.28,NA,NA
NA,NA,NA,NA,NA,304,11247.5,NA,3.31,NA,NA
NA,NA,NA,NA,NA,305,11269.5,3.3,3.22,NA,NA
NA,NA,NA,NA,NA,306,11291.6,NA,3.3,NA,NA
NA,NA,NA,NA,NA,307,11313.6,NA,3.22,NA,NA
NA,NA,NA,NA,NA,308,11335.7,NA,3.3,NA,NA
NA,NA,NA,NA,NA,309,11357.7,NA,3.29,NA,NA
NA,NA,NA,NA,NA,310,11379.8,2.4,3.33,NA,NA
NA,NA,NA,NA,NA,311,11401.8,NA,3.37,NA,NA
NA,NA,NA,NA,NA,312,11423.9,NA,3.35,NA,NA
NA,NA,NA,NA,NA,313,11445.9,NA,3.37,NA,NA
NA,NA,NA,NA,NA,314,11468,NA,3.34,NA,NA
NA,NA,NA,NA,NA,315,11490,2.5,3.3,NA,NA
NA,NA,NA,NA,NA,316,11512,NA,3.3,NA,NA
NA,NA,NA,NA,NA,317,11534,NA,3.25,NA,NA
NA,NA,NA,NA,NA,318,11556,NA,3.25,NA,NA
NA,NA,NA,NA,NA,319,11578,1.2,3.39,NA,NA
NA,NA,NA,NA,NA,325,11875.7,3.1,3.67,NA,NA
NA,NA,NA,NA,NA,326,11930.9,NA,3.81,NA,NA
NA,NA,NA,NA,NA,327,11986,NA,3.93,NA,NA
NA,NA,NA,NA,NA,328,12041.1,NA,3.79,NA,NA
NA,NA,NA,NA,NA,329,12096.3,NA,3.83,NA,NA
NA,NA,NA,NA,NA,330,12151.4,3.3,3.76,NA,NA
NA,NA,NA,NA,NA,331,12206.6,NA,3.73,NA,NA
NA,NA,NA,NA,NA,332,12261.7,NA,3.78,NA,NA
NA,NA,NA,NA,NA,333,12316.9,NA,3.85,NA,NA
NA,NA,NA,NA,NA,334,12372,NA,3.72,NA,NA
NA,NA,NA,NA,NA,335,12427.1,2.5,3.87,NA,NA
NA,NA,NA,NA,NA,336,12482.3,NA,3.72,NA,NA
NA,NA,NA,NA,NA,337,12537.4,NA,3.63,NA,NA
NA,NA,NA,NA,NA,338,12592.6,NA,3.82,NA,NA
NA,NA,NA,NA,NA,339,12647.7,NA,3.75,NA,NA
NA,NA,NA,NA,NA,340,12702.9,NA,3.77,NA,NA
NA,NA,NA,NA,NA,341,12758,NA,3.63,NA,NA
NA,NA,NA,NA,NA,342,12813.1,NA,3.64,NA,NA
NA,NA,NA,NA,NA,343,12868.3,NA,3.8,NA,NA
NA,NA,NA,NA,NA,344,12923.4,NA,3.81,NA,NA
NA,NA,NA,NA,NA,345,12978.6,2.6,3.8,NA,NA
NA,NA,NA,NA,NA,346,13033.7,NA,3.77,NA,NA
NA,NA,NA,NA,NA,347,13088.9,NA,3.8,NA,NA
NA,NA,NA,NA,NA,348,13144,NA,3.8,NA,NA
NA,NA,NA,NA,NA,349,13199.1,NA,3.76,NA,NA
NA,NA,NA,NA,NA,350,13254.3,NA,3.72,NA,NA
NA,NA,NA,NA,NA,351,13309.4,NA,3.82,NA,NA
NA,NA,NA,NA,NA,352,13364.6,NA,3.81,NA,NA
NA,NA,NA,NA,NA,353,13419.7,NA,3.73,NA,NA
NA,NA,NA,NA,NA,354,13474.9,NA,3.85,NA,NA
NA,NA,NA,NA,NA,355,13530,2.5,3.76,NA,NA
NA,NA,NA,NA,NA,356,13539.8,NA,3.76,NA,NA
NA,NA,NA,NA,NA,357,13549.5,NA,3.87,NA,NA
NA,NA,NA,NA,NA,358,13559.3,NA,3.73,NA,NA
NA,NA,NA,NA,NA,359,13569.1,NA,3.8,NA,NA
NA,NA,NA,NA,NA,360,13578.8,NA,3.76,NA,NA
NA,NA,NA,NA,NA,361,13588.6,NA,4.05,NA,NA
NA,NA,NA,NA,NA,362,13598.4,NA,3.94,NA,NA
NA,NA,NA,NA,NA,363,13608.2,NA,3.79,NA,NA
NA,NA,NA,NA,NA,364,13617.9,NA,3.96,NA,NA
NA,NA,NA,NA,NA,365,13627.7,NA,3.78,NA,NA
NA,NA,NA,NA,NA,366,13637.5,NA,3.84,NA,NA
NA,NA,NA,NA,NA,367,13647.2,NA,3.89,NA,NA
NA,NA,NA,NA,NA,368,13657,NA,3.83,NA,NA
NA,NA,NA,NA,NA,369,13666.8,NA,3.87,NA,NA
NA,NA,NA,NA,NA,370,13676.5,NA,3.81,NA,NA
NA,NA,NA,NA,NA,371,13686.3,NA,4,NA,NA
NA,NA,NA,NA,NA,372,13696.1,NA,3.79,NA,NA
NA,NA,NA,NA,NA,373,13705.8,NA,3.86,NA,NA
NA,NA,NA,NA,NA,374,13715.6,NA,3.97,NA,NA
NA,NA,NA,NA,NA,375,13725.4,2.5,3.88,NA,NA
NA,NA,NA,NA,NA,376,13735.2,NA,4.04,NA,NA
NA,NA,NA,NA,NA,377,13744.9,NA,3.86,NA,NA
NA,NA,NA,NA,NA,378,13754.7,NA,3.79,NA,NA
NA,NA,NA,NA,NA,379,13764.5,NA,3.84,NA,NA
NA,NA,NA,NA,NA,380,13774.2,NA,4.02,NA,NA
NA,NA,NA,NA,NA,381,13784,NA,3.89,NA,NA
NA,NA,NA,NA,NA,382,13793.8,NA,3.92,NA,NA
NA,NA,NA,NA,NA,383,13803.5,NA,3.98,NA,NA
NA,NA,NA,NA,NA,384,13813.3,NA,3.89,NA,NA
NA,NA,NA,NA,NA,385,13823.1,NA,4.02,NA,NA
NA,NA,NA,NA,NA,386,13832.9,NA,3.98,NA,NA
NA,NA,NA,NA,NA,387,13842.6,NA,3.88,NA,NA
NA,NA,NA,NA,NA,388,13852.4,NA,3.91,NA,NA
NA,NA,NA,NA,NA,389,13862.1,NA,3.94,NA,NA
NA,NA,NA,NA,NA,390,13871.9,NA,3.79,NA,NA
NA,NA,NA,NA,NA,391,13881.7,NA,3.85,NA,NA
NA,NA,NA,NA,NA,392,13891.5,NA,3.97,NA,NA
NA,NA,NA,NA,NA,393,13901.2,NA,3.81,NA,NA
NA,NA,NA,NA,NA,394,13911,2.9,3.68,NA,NA
NA,NA,NA,NA,NA,395,13914.8,NA,3.69,NA,NA
NA,NA,NA,NA,NA,396,13918.6,NA,3.75,NA,NA
NA,NA,NA,NA,NA,397,13922.4,NA,3.8,NA,NA
NA,NA,NA,NA,NA,398,13926.2,NA,3.96,NA,NA
NA,NA,NA,NA,NA,399,13930,NA,3.79,NA,NA
NA,NA,NA,NA,NA,400,13933.8,NA,3.85,NA,NA
NA,NA,NA,NA,NA,401,13937.6,NA,3.97,NA,NA
NA,NA,NA,NA,NA,402,13941.5,NA,3.91,NA,NA
NA,NA,NA,NA,NA,403,13945.3,NA,3.86,NA,NA
NA,NA,NA,NA,NA,404,13949.1,NA,4.03,NA,NA
NA,NA,NA,NA,NA,405,13952.9,NA,4.04,NA,NA
NA,NA,NA,NA,NA,406,13956.7,NA,3.95,NA,NA
NA,NA,NA,NA,NA,407,13960.5,NA,4.03,NA,NA
NA,NA,NA,NA,NA,408,13964.3,NA,3.95,NA,NA
NA,NA,NA,NA,NA,409,13968.1,NA,3.97,NA,NA
NA,NA,NA,NA,NA,410,13971.9,NA,3.89,NA,NA
NA,NA,NA,NA,NA,411,13975.7,NA,4.05,NA,NA
NA,NA,NA,NA,NA,412,13979.5,NA,3.96,NA,NA
NA,NA,NA,NA,NA,414,13987.1,2.9,3.77,NA,NA
