year (yr ce),age (BP),d18O (permil),d13C (permil)
743.929,1206.071,-9.437,-6.375
725.714,1224.286,-8.958,-6.124
707.5,1242.5,-8.938,-6.939
689.286,1260.714,-9.096,-7.924
671.071,1278.929,-9.268,-7.838
652.857,1297.143,-9.319,-7.77
634.643,1315.357,-9.059,-6.873
616.429,1333.571,-9.114,-7.41
598.214,1351.786,-8.918,-7.115
580,1370,-9.1,-5.274
561.786,1388.214,-9.289,-6.799
543.571,1406.429,-9.354,-6.878
525.357,1424.643,-9.055,-6.704
507.143,1442.857,-9.093,-6.38
488.929,1461.071,-9.228,-6.403
470.714,1479.286,-9.18,-6.62
452.5,1497.5,-9.156,-6.605
434.286,1515.714,-9.064,-6.665
416.071,1533.929,-8.972,-6.725
397.857,1552.143,-9.021,-6.631
379.643,1570.357,-9.157,-6.788
361.429,1588.571,-9.169,-6.79
343.214,1606.786,-9.282,-7.677
325,1625,-9.095,-6.672
306.786,1643.214,-9.174,-6.354
288.571,1661.429,-9.272,-6.176
270.357,1679.643,-9.186,-6.101
252.143,1697.857,-9.131,-6.103
233.929,1716.071,-9.132,-6.301
215.714,1734.286,-9.153,-6.268
197.5,1752.5,-9.063,-6.105
179.286,1770.714,-9.232,-6.032
161.071,1788.929,-9.151,-6.038
142.857,1807.143,-9.182,-5.981
124.643,1825.357,-9.066,-6.075
106.429,1843.571,-9.067,-6.012
88.214,1861.786,-9.069,-5.948
70,1880,-9.225,-6.013
60.93,1889.07,-9.29,-6.126
51.86,1898.14,-9.178,-6.27
42.79,1907.21,-9.166,-6.285
33.72,1916.28,-9.087,-6.292
24.65,1925.35,-9.046,-6.352
15.58,1934.42,-9.134,-6.523
6.51,1943.49,-9.232,-6.63
-2.56,1952.56,-9.325,-6.717
-11.63,1961.63,-9.267,-6.801
-20.7,1970.7,-9.23,-6.719
-29.77,1979.77,-9.193,-6.636
-38.84,1988.84,-9.117,-6.716
-47.91,1997.91,-9.04,-6.795
-56.98,2006.98,-9.2,-6.733
-66.05,2016.05,-8.988,-6.803
-75.12,2025.12,-9.069,-6.591
-84.19,2034.19,-8.932,-6.169
-93.26,2043.26,-8.973,-5.943
-102.33,2052.33,-9.243,-7.414
-111.4,2061.4,-9.22,-7.151
-120.47,2070.47,-9.326,-7.505
-129.54,2079.54,-9.144,-7.338
-138.61,2088.61,-9.025,-6.655
-147.68,2097.68,-8.864,-6.778
-156.75,2106.75,-8.718,-6.295
-165.82,2115.82,-8.843,-6.727
-174.89,2124.89,-8.692,-6.136
-183.96,2133.96,-8.491,-5.707
-193.03,2143.03,-8.389,-5.989
-202.1,2152.1,-8.226,-5.386
-211.17,2161.17,-8.27,-5.516
-220.24,2170.24,-8.638,-6.864
-229.31,2179.31,-8.68,-7.074
-238.38,2188.38,-8.423,-6.614
-247.45,2197.45,-8.53,-6.176
-256.52,2206.52,-8.807,-6.01
-265.59,2215.59,-8.771,-6.068
-274.66,2224.66,-8.927,-6.145
-283.73,2233.73,-9.178,-6.344
-292.8,2242.8,-9.156,-6.342
-301.87,2251.87,-9.289,-6.788
-310.94,2260.94,-9.123,-5.92
-320.01,2270.01,-8.805,-5.78
-329.08,2279.08,-8.92,-6.336
-338.15,2288.15,-8.952,-6.386
-347.22,2297.22,-9.057,-6.326
-356.29,2306.29,-9.271,-6.387
-365.36,2315.36,-9.248,-7.047
-374.43,2324.43,-8.965,-7.016
-383.5,2333.5,-9.128,-6.649
-392.57,2342.57,-9.466,-6.011
-401.64,2351.64,-9.44,-6.462
-410.71,2360.71,-9.195,-6.831
-419.78,2369.78,-9.375,-7.603
-428.85,2378.85,-9.259,-7.421
-437.92,2387.92,-9.279,-7.333
-446.99,2396.99,-9.287,-7.785
-456.06,2406.06,-9.295,-7.954
-465.13,2415.13,-9.28,-7.596
-474.2,2424.2,-9.512,-7.417
-483.27,2433.27,-9.272,-7.204
-492.34,2442.34,-9.283,-7.031
-501.41,2451.41,-9.294,-6.857
-510.48,2460.48,-9.388,-7.22
-519.55,2469.55,-9.316,-7.417
-528.62,2478.62,-9.451,-7.705
-537.69,2487.69,-9.418,-7.639
-546.76,2496.76,-9.338,-7.78
-555.83,2505.83,-9.566,-8.451
-564.9,2514.9,-9.703,-8.891
-573.97,2523.97,-9.625,-9.199
-583.04,2533.04,-9.504,-9.21
-592.11,2542.11,-9.519,-9.3
-601.18,2551.18,-9.595,-8.975
-610.25,2560.25,-9.568,-7.891
-619.32,2569.32,-9.407,-8.003
-628.39,2578.39,-9.399,-8.215
-637.46,2587.46,-9.169,-8.496
-646.53,2596.53,-9.052,-8.793
-655.6,2605.6,-9.23,-8.588
-664.67,2614.67,-9.235,-8.19
-673.74,2623.74,-9.224,-7.824
-682.81,2632.81,-9.207,-7.694
-691.88,2641.88,-9.23,-7.462
-700.95,2650.95,-9.281,-7.335
-710.02,2660.02,-9.142,-7.068
-719.09,2669.09,-9.078,-6.749
-728.16,2678.16,-9.151,-6.742
-737.23,2687.23,-9.127,-6.98
-746.3,2696.3,-9.332,-6.872
-755.37,2705.37,-9.245,-6.956
-764.44,2714.44,-9.211,-7.001
-773.51,2723.51,-9.315,-7.439
-782.58,2732.58,-9.361,-7.566
-791.65,2741.65,-9.365,-7.894
-800.72,2750.72,-9.45,-7.931
-809.79,2759.79,-9.378,-8.076
-818.86,2768.86,-9.403,-8.082
-827.93,2777.93,-9.44,-8.234
-837,2787,-9.434,-8.315
-841.74,2791.74,-9.434,-8.245
-846.48,2796.48,-9.39,-8.29
-851.22,2801.22,-9.477,-8.382
-855.96,2805.96,-9.475,-8.294
-860.7,2810.7,-9.402,-8.231
-865.44,2815.44,-9.515,-8.317
-870.18,2820.18,-9.463,-8.215
-874.92,2824.92,-9.411,-8.113
-879.66,2829.66,-9.437,-7.979
-884.4,2834.4,-9.467,-7.885
-889.14,2839.14,-9.418,-7.667
-893.88,2843.88,-9.416,-7.584
-898.62,2848.62,-9.373,-7.523
-903.36,2853.36,-9.363,-7.517
-908.1,2858.1,-9.265,-7.298
-912.84,2862.84,-9.223,-7.26
-917.58,2867.58,-9.35,-7.396
-922.32,2872.32,-9.227,-7.382
-927.06,2877.06,-9.23,-7.376
-931.8,2881.8,-9.22,-7.111
-936.54,2886.54,-9.264,-7.02
-941.28,2891.28,-9.541,-7.071
-946.02,2896.02,-9.818,-7.122
-950.76,2900.76,-9.804,-7.445
-955.5,2905.5,-9.489,-7.5
-960.24,2910.24,-9.919,-7.428
-964.98,2914.98,-10.033,-7.61
-969.72,2919.72,-9.763,-7.618
-974.46,2924.46,-10.39,-7.739
-979.2,2929.2,-9.934,-7.606
-983.94,2933.94,-10.16,-7.295
-988.68,2938.68,-9.959,-7.675
-993.42,2943.42,-9.686,-8.12
-998.16,2948.16,-9.882,-7.63
-1002.9,2952.9,-10.127,-7.767
-1007.64,2957.64,-9.785,-6.835
-1012.38,2962.38,-9.603,-7.393
-1017.12,2967.12,-9.802,-7.896
-1021.86,2971.86,-9.876,-7.989
-1026.6,2976.6,-10.048,-8.21
-1031.34,2981.34,-9.85,-8.682
-1036.08,2986.08,-9.431,-8.726
-1040.82,2990.82,-9.421,-8.642
-1045.56,2995.56,-9.45,-8.628
-1050.3,3000.3,-9.4,-8.933
-1055.04,3005.04,-9.474,-8.646
-1059.78,3009.78,-10.159,-8.329
-1064.52,3014.52,-9.614,-8.459
-1069.26,3019.26,-9.596,-7.886
-1074,3024,-9.466,-7.695
-1078.74,3028.74,-9.752,-6.769
-1083.48,3033.48,-9.581,-6.889
-1088.22,3038.22,-9.75,-7.243
-1092.96,3042.96,-9.44,-7.089
-1097.7,3047.7,-9.37,-7.291
-1102.44,3052.44,-9.299,-7.493
-1107.18,3057.18,-9.117,-7.462
-1111.92,3061.92,-9.257,-5.534
-1116.66,3066.66,-9.32,-5.961
-1121.4,3071.4,-9.492,-6.496
-1126.14,3076.14,-9.328,-6.598
-1130.88,3080.88,-9.36,-6.365
-1135.62,3085.62,-9.633,-6.11
-1140.36,3090.36,-9.696,-6.991
-1145.1,3095.1,-9.7,-7.678
-1149.84,3099.84,-10.118,-7.767
-1154.58,3104.58,-9.828,-7.093
-1159.32,3109.32,-9.659,-6.705
-1164.06,3114.06,-9.656,-6.393
-1168.8,3118.8,-9.611,-6.457
-1173.54,3123.54,-9.376,-5.72
-1178.28,3128.28,-9.551,-6.485
-1183.02,3133.02,-9.447,-7.094
-1187.76,3137.76,-9.094,-8.008
-1192.5,3142.5,-9.098,-8.53
-1197.24,3147.24,-9.171,-7.619
-1201.98,3151.98,-9.105,-7.017
-1206.72,3156.72,-9.151,-7.052
-1211.46,3161.46,-9.278,-7.628
-1216.2,3166.2,-9.231,-7.894
-1220.94,3170.94,-9.178,-7.591
-1225.68,3175.68,-9.176,-7.457
-1230.42,3180.42,-9.111,-6.661
-1235.16,3185.16,-9.031,-6.92
-1239.9,3189.9,-9.125,-7.326
-1244.64,3194.64,-9.398,-7.151
-1249.38,3199.38,-9.295,-6.075
-1254.12,3204.12,-9.306,-5.733
-1258.86,3208.86,-9.272,-6.783
-1263.6,3213.6,-9.548,-8.747
-1268.34,3218.34,-9.746,-10.04
-1273.08,3223.08,-9.629,-9.986
-1277.82,3227.82,-9.435,-9.952
-1282.56,3232.56,-9.382,-9.865
-1287.3,3237.3,-9.56,-9.888
-1292.04,3242.04,-9.297,-9.962
-1296.78,3246.78,-9.601,-10.101
-1301.52,3251.52,-9.307,-9.877
-1306.26,3256.26,-9.207,-9.862
-1311,3261,-9.123,-9.639
-1315.74,3265.74,-8.927,-9.113
-1320.48,3270.48,-8.942,-9.209
-1325.22,3275.22,-8.961,-8.992
-1329.96,3279.96,-9.13,-9.345
-1334.7,3284.7,-9.306,-9.545
-1339.44,3289.44,-9.217,-9.267
-1344.18,3294.18,-9.308,-9.619
-1348.92,3298.92,-9.337,-9.963
-1353.66,3303.66,-9.401,-10.267
-1358.4,3308.4,-9.45,-10.182
-1363.14,3313.14,-9.465,-9.963
-1367.88,3317.88,-9.437,-10.221
-1372.62,3322.62,-9.387,-10.167
-1377.36,3327.36,-9.206,-10.012
-1382.1,3332.1,-9.29,-10.115
-1386.84,3336.84,-9.184,-10.414
-1391.58,3341.58,-9.193,-10.43
-1396.32,3346.32,-9.203,-10.201
-1401.06,3351.06,-9.324,-8.555
-1405.8,3355.8,-9.208,-7.266
-1410.54,3360.54,-9.067,-7.486
-1415.28,3365.28,-9.087,-7.11
-1420.02,3370.02,-9.304,-5.826
-1424.76,3374.76,-9.416,-6.168
-1429.5,3379.5,-9.612,-5.61
-1434.24,3384.24,-9.422,-6.118
-1438.98,3388.98,-9.454,-7.251
-1443.72,3393.72,-9.555,-7.564
-1448.46,3398.46,-9.833,-7.855
-1453.2,3403.2,-9.772,-8.303
-1457.94,3407.94,-9.765,-8.339
-1462.68,3412.68,-9.701,-7.912
-1467.42,3417.42,-9.709,-7.753
-1472.16,3422.16,-9.739,-9.092
-1476.9,3426.9,-9.592,-9.307
-1481.64,3431.64,-9.446,-9.522
-1486.38,3436.38,-9.441,-8.827
-1491.12,3441.12,-9.402,-8.175
-1495.86,3445.86,-9.677,-7.651
-1500.6,3450.6,-9.778,-7.12
-1505.34,3455.34,-9.218,-6.497
-1510.08,3460.08,-9.378,-6.016
-1514.82,3464.82,-9.941,-7.491
-1519.56,3469.56,-10.107,-8.459
-1524.3,3474.3,-10.273,-9.426
-1529.04,3479.04,-9.618,-8.026
-1533.78,3483.78,-9.648,-7.2
-1538.52,3488.52,-9.486,-6.759
-1543.26,3493.26,-9.412,-6.709
-1548,3498,-9.293,-7.503
-1552.74,3502.74,-9.172,-7.233
-1557.48,3507.48,-9.158,-7.272
-1562.22,3512.22,-9.371,-7.853
-1566.96,3516.96,-9.336,-7.901
-1571.7,3521.7,-9.19,-8.025
-1576.44,3526.44,-9.127,-7.431
-1581.18,3531.18,-9.162,-7.312
-1585.92,3535.92,-9.197,-7.194
-1590.66,3540.66,-9.306,-7.046
-1595.4,3545.4,-9.478,-7.005
-1600.14,3550.14,-9.447,-7.081
-1604.88,3554.88,-9.563,-7.303
-1609.62,3559.62,-9.73,-7.634
-1614.36,3564.36,-10.1,-7.846
-1619.1,3569.1,-9.872,-8.319
-1623.84,3573.84,-9.755,-8.52
-1628.58,3578.58,-9.408,-7.776
-1633.32,3583.32,-9.476,-6.869
-1638.06,3588.06,-9.406,-6.751
-1642.8,3592.8,-9.339,-6.742
-1647.54,3597.54,-9.124,-6.84
-1652.28,3602.28,-9.218,-6.747
-1657.02,3607.02,-9.401,-7.264
-1661.76,3611.76,-9.405,-7.712
-1666.5,3616.5,-9.409,-7.982
-1671.24,3621.24,-9.413,-8.252
-1675.98,3625.98,-9.181,-8.432
-1680.72,3630.72,-9.371,-9.14
-1685.46,3635.46,-9.236,-9.07
-1690.2,3640.2,-9.202,-8.844
-1694.94,3644.94,-9.219,-9.008
-1699.68,3649.68,-9.154,-9.326
-1704.42,3654.42,-9.205,-9.056
-1709.16,3659.16,-9.114,-8.075
-1713.9,3663.9,-9.185,-7.355
-1718.64,3668.64,-9.14,-6.969
-1723.38,3673.38,-9.196,-7.203
-1728.12,3678.12,-9.124,-7.576
-1732.86,3682.86,-9.083,-7.532
-1737.6,3687.6,-9.32,-7.542
-1742.34,3692.34,-9.427,-7.634
-1747.08,3697.08,-9.422,-8.029
-1751.82,3701.82,-9.287,-8.61
-1756.56,3706.56,-9.234,-8.453
-1761.3,3711.3,-9.111,-7.845
-1766.04,3716.04,-9.16,-7.202
-1770.78,3720.78,-9.239,-7.406
-1775.52,3725.52,-9.361,-8.282
-1780.26,3730.26,-9.581,-9.228
-1785,3735,-9.425,-8.902
-1789.74,3739.74,-9.133,-8.049
-1794.48,3744.48,-9.126,-8.154
-1799.22,3749.22,-8.984,-7.886
-1803.96,3753.96,-8.957,-7.769
-1808.7,3758.7,-9.347,-8.738
-1813.44,3763.44,-9.468,-9.072
-1818.18,3768.18,-9.325,-9.017
-1822.92,3772.92,-9.371,-9.117
-1827.66,3777.66,-9.356,-9.239
-1832.4,3782.4,-9.277,-9.169
-1837.14,3787.14,-9.286,-8.841
-1841.88,3791.88,-9.157,-9.049
