year (AD),age (BP),depth (m),dust (percent),AlProp (missing),SiProp (missing),KProp (missing),CaProp (missing),TiProp (missing),FeProp (missing),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
-4660,6610,0.57,1,0.172,0.435,0.025,0.232,0.014,0.122,9.8,0.1
-4770,6720,0.58,0.8,0.205,0.429,0.024,0.209,0.014,0.119,0,0
-4880,6830,0.59,0.8,0.213,0.441,0.024,0.193,0.015,0.115,0,0
-4990,6940,0.6,0.9,0.176,0.396,0.024,0.274,0.014,0.117,0.1,0.1
-5180,7130,0.61,1.8,0.19,0.45,0.028,0.203,0.014,0.114,9.4,1
-5370,7320,0.62,0.9,0.168,0.427,0.028,0.224,0.015,0.139,5.4,0.1
-5760,7710,0.64,0.8,0.195,0.421,0.025,0.233,0.015,0.112,0,0.1
-5950,7900,0.65,6.3,0.166,0.447,0.029,0.214,0.015,0.129,10,5.4
-6150,8100,0.66,5.4,0.188,0.458,0.027,0.193,0.014,0.119,8.6,4.6
-6340,8290,0.67,5.2,0.178,0.448,0.026,0.222,0.015,0.112,10.4,4.3
-6920,8870,0.7,6.9,0.185,0.461,0.028,0.192,0.013,0.122,8.4,6
-7110,9060,0.71,14,0.186,0.476,0.028,0.184,0.014,0.114,7.5,9.7
-7310,9260,0.72,6.9,0.196,0.464,0.026,0.191,0.014,0.11,8.3,6
-7500,9450,0.73,6,0.179,0.454,0.027,0.205,0.015,0.121,9.3,5.1
-7690,9640,0.74,0.9,0.183,0.442,0.025,0.213,0.015,0.121,8.9,0.1
-7880,9830,0.75,11,0.156,0.45,0.027,0.225,0.015,0.126,10.4,10
-8080,10030,0.76,14.8,0.19,0.477,0.025,0.192,0.012,0.104,7.9,10.2
-8270,10220,0.77,2.9,0.195,0.456,0.027,0.193,0.014,0.116,8.6,2
-8460,10410,0.78,2.8,0.204,0.462,0.027,0.18,0.014,0.113,7.9,2
-8660,10610,0.79,0.9,0.203,0.455,0.027,0.183,0.014,0.118,7.3,0
-8850,10800,0.8,9.4,0.192,0.471,0.024,0.181,0.014,0.119,7.6,8.5
-8940,10890,0.81,2.7,0.192,0.453,0.025,0.204,0.014,0.112,9.4,1.8
-9020,10970,0.82,2.5,0.181,0.448,0.027,0.205,0.016,0.125,9.6,1.6
-9100,11050,0.83,3,0.199,0.459,0.028,0.185,0.014,0.115,8.2,2.1
-9190,11140,0.84,7.5,0.175,0.455,0.03,0.2,0.015,0.124,9,6.6
-9270,11220,0.85,0.9,0.21,0.439,0.023,0.212,0.013,0.103,1.7,0
-9360,11310,0.86,12.2,0.188,0.471,0.025,0.194,0.013,0.109,8.2,10.7
-9440,11390,0.87,1.8,0.204,0.461,0.028,0.173,0.015,0.12,7.6,1
-9530,11480,0.88,1,0.18,0.438,0.023,0.234,0.015,0.111,10,0.1
-9610,11560,0.89,3.2,0.172,0.444,0.028,0.215,0.016,0.125,10.2,2.3
-9700,11650,0.9,1.7,0.214,0.465,0.029,0.165,0.015,0.112,7.1,0.8
-9780,11730,0.91,11.1,0.21,0.482,0.025,0.172,0.014,0.098,6.9,8.9
-9870,11820,0.92,10.5,0.199,0.472,0.025,0.192,0.013,0.099,8.1,9.6
-9950,11900,0.93,8.4,0.217,0.48,0.024,0.167,0.014,0.099,6.7,7.5
-10030,11980,0.94,9.5,0.203,0.475,0.026,0.178,0.013,0.105,7.3,8.7
-10120,12070,0.95,23.3,0.168,0.485,0.029,0.189,0.014,0.115,7.4,9.5
-10200,12150,0.96,12.5,0.199,0.48,0.028,0.173,0.014,0.106,7,8.9
-10290,12240,0.97,8,0.211,0.477,0.027,0.163,0.014,0.107,6.6,7.1
-10370,12320,0.98,5,0.22,0.476,0.027,0.155,0.015,0.106,6.3,4.2
-10460,12410,0.99,6.7,0.208,0.474,0.028,0.161,0.015,0.114,6.6,5.8
-10540,12490,1,8,0.197,0.467,0.027,0.187,0.015,0.108,8,7.1
-10630,12580,1.01,6.2,0.214,0.476,0.025,0.162,0.015,0.109,6.6,5.4
-10800,12750,1.03,13.3,0.213,0.491,0.023,0.157,0.013,0.103,6,7.6
-10880,12830,1.04,17.3,0.209,0.496,0.025,0.161,0.013,0.096,6,7.6
-10970,12920,1.05,15,0.215,0.496,0.023,0.154,0.015,0.098,5.7,7.3
-11050,13000,1.06,13.9,0.231,0.503,0.021,0.139,0.014,0.092,5,6.3
-11130,13080,1.07,8,0.243,0.494,0.023,0.142,0.013,0.086,5.3,6.7
-11220,13170,1.08,10.5,0.244,0.5,0.021,0.14,0.013,0.083,5.1,6.4
-11300,13250,1.09,14.1,0.237,0.506,0.022,0.135,0.013,0.087,4.7,6
-11390,13340,1.1,12.8,0.235,0.502,0.022,0.142,0.012,0.087,5.1,6.5
-11490,13440,1.11,9.2,0.244,0.497,0.023,0.141,0.012,0.083,5.2,6.6
-11590,13540,1.12,19.1,0.229,0.513,0.021,0.143,0.012,0.084,4.9,6.2
-11690,13640,1.13,6.2,0.238,0.488,0.021,0.15,0.012,0.091,5.8,5.4
-11790,13740,1.14,6.1,0.234,0.484,0.022,0.158,0.012,0.09,6.2,5.3
-11900,13850,1.15,9.4,0.24,0.497,0.022,0.141,0.012,0.088,5.2,6.6
-12000,13950,1.16,8.4,0.235,0.49,0.023,0.151,0.013,0.088,5.8,7.4
-12100,14050,1.17,10.7,0.236,0.496,0.024,0.145,0.013,0.087,5.4,6.8
-12200,14150,1.18,17.2,0.224,0.504,0.022,0.153,0.012,0.084,5.5,6.9
-12300,14250,1.19,13.9,0.227,0.497,0.022,0.16,0.011,0.082,6,7.6
-12400,14350,1.2,14.1,0.23,0.5,0.021,0.154,0.012,0.083,5.6,7.2
-12510,14460,1.21,21.3,0.218,0.51,0.022,0.155,0.012,0.084,5.4,6.9
-12610,14560,1.22,13.8,0.225,0.496,0.022,0.159,0.012,0.086,5.9,7.5
-12710,14660,1.23,11.1,0.23,0.494,0.022,0.152,0.012,0.089,5.7,7.3
-12810,14760,1.24,11.2,0.225,0.491,0.022,0.159,0.013,0.091,6.1,7.8
-12910,14860,1.25,26.4,0.193,0.504,0.022,0.182,0.011,0.088,6.5,8.5
-12950,14900,1.26,26.3,0.207,0.513,0.022,0.166,0.011,0.081,5.7,7.3
-12980,14930,1.27,25.1,0.205,0.509,0.021,0.17,0.011,0.084,5.9,7.6
-13010,14960,1.28,43,0.193,0.546,0.023,0.152,0.011,0.075,4.2,5.7
-13040,14990,1.29,25.8,0.214,0.518,0.024,0.151,0.012,0.081,5,6.4
-13080,15030,1.3,34,0.209,0.535,0.022,0.147,0.012,0.075,4.5,5.8
-13110,15060,1.31,50,0.209,0.582,0.022,0.111,0.012,0.064,2.4,3.3
-13140,15090,1.32,40.7,0.219,0.562,0.022,0.118,0.012,0.068,2.9,4
-13170,15120,1.33,28.8,0.204,0.513,0.022,0.178,0.011,0.073,6.1,7.9
-13210,15160,1.34,30.1,0.201,0.512,0.021,0.187,0.01,0.069,6.5,8.5
-13240,15190,1.35,26.3,0.205,0.507,0.021,0.184,0.011,0.072,6.5,8.5
-13270,15220,1.36,31.4,0.204,0.518,0.021,0.179,0.011,0.068,6,7.8
-13310,15260,1.37,55.9,0.21,0.601,0.021,0.099,0.012,0.058,1.8,2.6
-13340,15290,1.38,49.1,0.222,0.591,0.021,0.096,0.011,0.059,1.9,2.6
-13370,15320,1.39,46.5,0.193,0.553,0.023,0.153,0.011,0.066,4.1,5.6
-13440,15390,1.41,61.4,0.231,0.647,0.02,0.037,0.013,0.051,0.1,0.2
-13470,15420,1.42,68.5,0.229,0.671,0.021,0.022,0.012,0.045,0.6,0.3
-13500,15450,1.43,49.3,0.226,0.597,0.022,0.082,0.013,0.062,1.4,2.1
-13530,15480,1.44,59.4,0.232,0.639,0.02,0.046,0.013,0.05,0.1,0.5
-13570,15520,1.45,61.7,0.231,0.649,0.02,0.036,0.013,0.051,0.2,0.2
-13600,15550,1.46,58.1,0.217,0.622,0.023,0.065,0.013,0.061,0.7,1.3
-13630,15580,1.47,61.2,0.208,0.619,0.022,0.081,0.012,0.058,1.1,1.8
-13670,15620,1.48,65.9,0.208,0.638,0.024,0.064,0.012,0.055,0.5,1
-13700,15650,1.49,58.7,0.207,0.609,0.023,0.091,0.012,0.058,1.4,2.2
-13730,15680,1.5,58.3,0.199,0.599,0.025,0.103,0.012,0.062,1.9,2.7
-13760,15710,1.51,57.2,0.229,0.63,0.022,0.049,0.014,0.056,0.2,0.7
-13800,15750,1.52,55.3,0.193,0.584,0.026,0.118,0.011,0.067,2.5,3.5
-13830,15780,1.53,39.5,0.192,0.53,0.023,0.176,0.011,0.068,5.5,7.2
-13860,15810,1.54,44.8,0.186,0.541,0.026,0.165,0.012,0.07,4.8,6.4
-13890,15840,1.55,52.9,0.19,0.573,0.026,0.13,0.011,0.07,3,4.1
-13930,15880,1.56,41.6,0.197,0.544,0.024,0.151,0.011,0.072,4.3,5.7
-13960,15910,1.57,44.3,0.194,0.551,0.026,0.145,0.011,0.074,3.9,5.3
-13990,15940,1.58,39.3,0.199,0.541,0.026,0.148,0.012,0.075,4.3,5.6
-14030,15980,1.59,50.4,0.175,0.552,0.027,0.157,0.012,0.077,4.3,5.6
-14060,16010,1.6,43.8,0.184,0.54,0.027,0.161,0.012,0.077,4.7,6.2
-14090,16040,1.61,47.5,0.172,0.535,0.025,0.186,0.01,0.071,5.6,7.5
-14120,16070,1.62,51.4,0.187,0.564,0.025,0.144,0.011,0.069,3.6,4.8
-14160,16110,1.63,49.5,0.178,0.551,0.027,0.157,0.011,0.076,4.3,5.7
-14190,16140,1.64,47.3,0.18,0.547,0.028,0.158,0.011,0.076,4.4,5.8
-14250,16200,1.66,42.7,0.195,0.544,0.027,0.154,0.01,0.07,4.3,5.8
-14290,16240,1.67,42.3,0.194,0.543,0.026,0.153,0.011,0.073,4.4,5.8
-14320,16270,1.68,47.5,0.191,0.557,0.025,0.143,0.012,0.072,3.8,5
-14350,16300,1.69,34.1,0.203,0.53,0.027,0.154,0.011,0.077,4.8,6.2
-14390,16340,1.7,42.2,0.188,0.536,0.025,0.169,0.011,0.072,5,6.7
-14430,16380,1.71,43.2,0.19,0.542,0.024,0.16,0.011,0.073,4.6,6.1
-14480,16430,1.72,42.3,0.18,0.529,0.025,0.181,0.011,0.074,5.6,7.5
-14520,16470,1.73,35.2,0.192,0.523,0.027,0.169,0.011,0.078,5.4,7.1
-14570,16520,1.74,37,0.192,0.531,0.026,0.158,0.011,0.082,4.8,6.4
-14610,16560,1.75,39.2,0.177,0.518,0.024,0.194,0.01,0.077,6.4,8.5
-14660,16610,1.76,39.7,0.194,0.538,0.026,0.153,0.011,0.078,4.5,5.9
-14700,16650,1.77,42.9,0.188,0.538,0.024,0.17,0.011,0.07,5,6.7
-14750,16700,1.78,35.8,0.201,0.529,0.024,0.167,0.01,0.068,5.2,6.9
-14790,16740,1.79,35.8,0.195,0.528,0.024,0.165,0.011,0.078,5.2,6.8
-14840,16790,1.8,32.7,0.2,0.524,0.026,0.161,0.011,0.079,5.2,6.7
-14880,16830,1.81,41.8,0.184,0.533,0.025,0.172,0.011,0.076,5.2,6.9
-14930,16880,1.82,25.6,0.211,0.512,0.024,0.167,0.01,0.075,5.7,7.4
-14970,16920,1.83,24.4,0.208,0.507,0.023,0.173,0.011,0.078,6.1,7.9
-15020,16970,1.84,26.2,0.2,0.507,0.023,0.176,0.01,0.084,6.2,8
-15060,17010,1.85,23.9,0.207,0.505,0.024,0.176,0.011,0.078,6.3,8.1
-15110,17060,1.86,29.8,0.195,0.513,0.023,0.176,0.011,0.083,6,7.9
-15160,17110,1.87,39.8,0.182,0.528,0.024,0.174,0.011,0.081,5.4,7.2
-15200,17150,1.88,30.1,0.205,0.519,0.021,0.169,0.01,0.075,5.6,7.3
-15250,17200,1.89,27.9,0.198,0.51,0.022,0.176,0.011,0.083,6.1,8
-15290,17240,1.9,32.6,0.185,0.513,0.025,0.179,0.011,0.088,6,7.9
-15340,17290,1.91,24.1,0.205,0.508,0.022,0.168,0.011,0.087,5.9,7.6
-15380,17330,1.92,28.1,0.198,0.511,0.022,0.173,0.011,0.085,5.9,7.8
-15430,17380,1.93,32.6,0.191,0.515,0.023,0.179,0.011,0.081,6,7.9
-15470,17420,1.94,27.7,0.199,0.509,0.024,0.177,0.012,0.079,6.2,8.1
-15760,17710,1.97,29.5,0.196,0.514,0.025,0.17,0.011,0.085,5.7,7.5
-15880,17830,1.98,19.9,0.21,0.499,0.023,0.173,0.012,0.083,6.4,8.2
-16000,17950,1.99,15.2,0.221,0.496,0.022,0.165,0.01,0.086,6.2,7.9
-16120,18070,2,22.3,0.207,0.503,0.024,0.173,0.011,0.082,6.2,8
-16250,18200,2.01,31.5,0.195,0.518,0.023,0.169,0.011,0.085,5.6,7.3
-16980,18930,2.07,35.2,0.176,0.517,0.026,0.17,0.013,0.099,5.6,7.3
-17100,19050,2.08,28.1,0.181,0.505,0.026,0.171,0.013,0.104,6.1,7.8
-17220,19170,2.09,33.2,0.183,0.516,0.026,0.169,0.013,0.094,5.6,7.3
-17340,19290,2.1,35.9,0.177,0.52,0.027,0.166,0.013,0.098,5.3,7
-17460,19410,2.11,29.8,0.181,0.508,0.027,0.171,0.013,0.1,5.9,7.8
-17580,19530,2.12,28.2,0.177,0.502,0.028,0.175,0.014,0.105,6.2,8.1
-17700,19650,2.13,27,0.186,0.506,0.027,0.164,0.012,0.104,5.8,7.4
-17830,19780,2.14,28.5,0.19,0.511,0.026,0.164,0.013,0.097,5.6,7.2
-17950,19900,2.15,25.6,0.19,0.503,0.027,0.172,0.013,0.096,6.2,7.9
-18070,20020,2.16,32,0.171,0.506,0.028,0.177,0.014,0.105,6.1,8
-18190,20140,2.17,35.5,0.174,0.518,0.028,0.164,0.014,0.103,5.3,7
-18310,20260,2.18,32.6,0.179,0.514,0.026,0.168,0.013,0.1,5.6,7.4
-18430,20380,2.19,34,0.184,0.522,0.025,0.158,0.012,0.098,5,6.6
-18550,20500,2.2,40.7,0.172,0.529,0.027,0.163,0.013,0.097,5,6.6
-18680,20630,2.21,36.9,0.181,0.527,0.026,0.157,0.013,0.097,4.9,6.5
-18800,20750,2.22,33.3,0.181,0.517,0.027,0.163,0.013,0.099,5.4,7
-18920,20870,2.23,23.5,0.205,0.508,0.026,0.158,0.012,0.091,5.5,7
-19040,20990,2.24,40.7,0.17,0.527,0.027,0.167,0.013,0.097,5.1,6.8
-19160,21110,2.25,33.3,0.187,0.52,0.027,0.162,0.012,0.092,5.3,6.9
-19280,21230,2.26,29,0.2,0.518,0.025,0.156,0.012,0.09,5.1,6.7
-20010,21960,2.32,29.1,0.2,0.52,0.026,0.147,0.013,0.095,4.7,6.2
-20130,22080,2.33,36.7,0.187,0.531,0.026,0.149,0.013,0.095,4.5,6
-20250,22200,2.34,22.5,0.217,0.517,0.024,0.134,0.013,0.095,4.4,5.6
-20380,22330,2.35,25.1,0.201,0.512,0.026,0.151,0.013,0.098,5.2,6.6
-20500,22450,2.36,28.6,0.201,0.522,0.026,0.139,0.013,0.099,4.4,5.7
-20620,22570,2.37,35.2,0.178,0.523,0.028,0.151,0.015,0.105,4.8,6.3
-20740,22690,2.38,34.1,0.181,0.522,0.028,0.15,0.014,0.105,4.8,6.2
-20860,22810,2.39,26.3,0.184,0.504,0.028,0.163,0.014,0.107,5.8,7.4
-21470,23420,2.44,24.6,0.2,0.508,0.025,0.16,0.013,0.094,5.6,7.2
-21590,23540,2.45,34.4,0.175,0.514,0.027,0.172,0.014,0.098,5.7,7.5
-21710,23660,2.46,24.8,0.19,0.501,0.028,0.169,0.015,0.098,6.1,7.8
-21830,23780,2.47,14.8,0.204,0.488,0.027,0.164,0.014,0.103,6.4,8.1
-21960,23910,2.48,24.3,0.186,0.501,0.029,0.16,0.015,0.109,5.8,7.4
-22080,24030,2.49,27.3,0.188,0.512,0.032,0.142,0.015,0.11,4.8,6.1
-22200,24150,2.5,33.3,0.189,0.526,0.029,0.141,0.014,0.101,4.4,5.7
-22250,24200,2.51,29.2,0.197,0.522,0.031,0.132,0.014,0.103,4.2,5.4
-22310,24260,2.52,26.7,0.22,0.53,0.027,0.12,0.012,0.09,3.6,4.7
-22360,24310,2.53,35.1,0.21,0.543,0.026,0.128,0.011,0.083,3.7,4.7
-22420,24370,2.54,33.1,0.216,0.541,0.025,0.125,0.012,0.08,3.6,4.6
-22470,24420,2.55,39.9,0.198,0.547,0.028,0.131,0.012,0.084,3.6,4.7
-22530,24480,2.56,37.5,0.214,0.555,0.027,0.111,0.012,0.081,2.9,3.8
-22580,24530,2.57,34.9,0.223,0.554,0.028,0.104,0.012,0.079,2.7,3.5
-22630,24580,2.58,36.4,0.221,0.556,0.027,0.105,0.012,0.078,2.7,3.5
-22690,24640,2.59,37.4,0.224,0.563,0.028,0.093,0.013,0.079,2.2,2.9
-22740,24690,2.6,31.6,0.234,0.553,0.029,0.093,0.013,0.079,2.4,3.1
-22800,24750,2.61,37.5,0.214,0.554,0.028,0.112,0.012,0.081,2.9,3.8
-22850,24800,2.62,39,0.223,0.568,0.03,0.085,0.013,0.081,1.9,2.6
-22910,24860,2.63,37.8,0.223,0.565,0.028,0.089,0.014,0.082,2.1,2.8
-22960,24910,2.64,41,0.219,0.571,0.03,0.086,0.014,0.08,1.8,2.6
-23020,24970,2.65,37.8,0.219,0.56,0.03,0.097,0.013,0.081,2.4,3.2
-23120,25070,2.67,36.1,0.204,0.547,0.028,0.112,0.014,0.095,3,4
-23180,25130,2.68,34.8,0.197,0.537,0.027,0.127,0.014,0.098,3.7,4.8
-23230,25180,2.69,26.9,0.197,0.514,0.028,0.147,0.014,0.1,4.9,6.3
-23290,25240,2.7,31.3,0.189,0.523,0.03,0.138,0.015,0.105,4.4,5.7
-23340,25290,2.71,27.9,0.181,0.509,0.03,0.149,0.016,0.115,5.1,6.5
-23620,25570,2.76,28.2,0.189,0.51,0.025,0.165,0.014,0.098,5.7,7.4
-23670,25620,2.77,21.7,0.193,0.499,0.026,0.162,0.014,0.106,5.9,7.5
-23720,25670,2.78,34.5,0.165,0.514,0.031,0.16,0.014,0.117,5.2,6.9
-23780,25730,2.79,20.1,0.191,0.496,0.03,0.153,0.014,0.116,5.7,7.1
-23890,25840,2.81,30.4,0.178,0.515,0.028,0.148,0.014,0.118,4.9,6.3
-23940,25890,2.82,23,0.179,0.497,0.03,0.157,0.014,0.123,5.8,7.3
-24000,25950,2.83,35.6,0.159,0.511,0.031,0.168,0.015,0.117,5.6,7.3
-24050,26000,2.84,11.6,0.204,0.483,0.027,0.16,0.014,0.113,6.3,8.1
-24110,26060,2.85,24.5,0.183,0.5,0.028,0.162,0.014,0.113,5.9,7.5
-24160,26110,2.86,29.2,0.173,0.505,0.031,0.163,0.016,0.113,5.7,7.3
-24210,26160,2.87,23.1,0.181,0.496,0.032,0.162,0.015,0.115,6,7.6
-24270,26220,2.88,25.7,0.19,0.511,0.03,0.14,0.014,0.115,4.8,6
-24380,26330,2.9,34.3,0.178,0.524,0.031,0.14,0.014,0.113,4.4,5.7
-24490,26440,2.92,20.7,0.197,0.503,0.03,0.14,0.016,0.115,5,6.2
-24540,26490,2.93,24.3,0.187,0.507,0.033,0.136,0.017,0.121,4.7,5.9
-24600,26550,2.94,24,0.188,0.506,0.031,0.14,0.017,0.119,4.9,6.2
-24650,26600,2.95,19.5,0.186,0.492,0.031,0.155,0.016,0.121,5.8,7.3
-25080,27030,3,23.5,0.209,0.518,0.027,0.124,0.015,0.107,4.1,5.1
-25160,27110,3.01,32.4,0.191,0.531,0.027,0.123,0.016,0.113,3.7,4.8
-25250,27200,3.02,32,0.208,0.539,0.027,0.113,0.015,0.099,3.2,4.2
-25330,27280,3.03,24.8,0.224,0.531,0.025,0.109,0.014,0.097,3.3,4.1
-25420,27370,3.04,39.5,0.182,0.546,0.027,0.115,0.015,0.115,3.1,4.1
-25500,27450,3.05,26.7,0.217,0.53,0.025,0.117,0.014,0.097,3.5,4.5
-25590,27540,3.06,29.3,0.207,0.526,0.024,0.138,0.013,0.092,4.3,5.6
-25680,27630,3.07,34.5,0.202,0.541,0.024,0.121,0.014,0.098,3.4,4.5
-25760,27710,3.08,33.5,0.216,0.548,0.025,0.107,0.013,0.091,2.9,3.7
-25850,27800,3.09,33.6,0.211,0.547,0.025,0.106,0.014,0.098,2.9,3.7
-25930,27880,3.1,37.6,0.206,0.553,0.026,0.105,0.015,0.095,2.7,3.6
-26020,27970,3.11,32.6,0.213,0.546,0.025,0.104,0.014,0.099,2.8,3.7
-26100,28050,3.12,38.4,0.205,0.557,0.024,0.101,0.014,0.099,2.5,3.3
-26190,28140,3.13,25.6,0.225,0.536,0.026,0.096,0.015,0.103,2.8,3.5
-26270,28220,3.14,35.5,0.212,0.554,0.024,0.098,0.015,0.098,2.5,3.3
-26360,28310,3.15,32.6,0.218,0.55,0.026,0.096,0.014,0.097,2.5,3.2
-26440,28390,3.16,21.4,0.235,0.531,0.024,0.097,0.014,0.1,2.9,3.6
-26530,28480,3.17,33.6,0.221,0.554,0.024,0.095,0.014,0.092,2.5,3.2
-26610,28560,3.18,30.4,0.22,0.545,0.026,0.098,0.014,0.097,2.6,3.5
-26700,28650,3.19,33.1,0.216,0.55,0.025,0.098,0.014,0.098,2.6,3.3
-26790,28740,3.2,30.5,0.218,0.544,0.026,0.1,0.014,0.098,2.7,3.6
-26870,28820,3.21,38.5,0.21,0.561,0.025,0.096,0.014,0.095,2.3,3.1
-26960,28910,3.22,30.9,0.219,0.547,0.025,0.097,0.013,0.099,2.6,3.4
-27040,28990,3.23,28.1,0.218,0.537,0.027,0.103,0.015,0.101,2.9,3.8
-27130,29080,3.24,32.2,0.22,0.549,0.026,0.099,0.014,0.093,2.6,3.4
-27210,29160,3.25,26.4,0.229,0.539,0.025,0.098,0.013,0.095,2.7,3.6
-27300,29250,3.26,30.5,0.224,0.547,0.024,0.101,0.013,0.092,2.7,3.6
-27380,29330,3.27,36.5,0.212,0.553,0.025,0.107,0.013,0.09,2.8,3.6
-27550,29500,3.29,30.3,0.222,0.543,0.024,0.109,0.013,0.09,3,4
-27640,29590,3.3,43.7,0.201,0.565,0.025,0.107,0.013,0.089,2.5,3.4
-27720,29670,3.31,35.4,0.21,0.549,0.024,0.111,0.013,0.092,3,3.9
-27810,29760,3.32,28.4,0.235,0.549,0.024,0.088,0.014,0.09,2.3,3
-27900,29850,3.33,33.2,0.217,0.549,0.026,0.102,0.013,0.094,2.7,3.5
-27980,29930,3.34,34,0.223,0.555,0.024,0.098,0.012,0.087,2.5,3.3
-28070,30020,3.35,35.1,0.215,0.554,0.026,0.097,0.014,0.095,2.5,3.2
-28150,30100,3.36,37.7,0.213,0.56,0.025,0.095,0.014,0.093,2.3,3.1
-28240,30190,3.37,37.8,0.214,0.564,0.026,0.083,0.014,0.099,1.9,2.5
-28320,30270,3.38,33.5,0.215,0.55,0.025,0.098,0.014,0.098,2.6,3.3
-28410,30360,3.39,24.5,0.227,0.532,0.025,0.106,0.013,0.097,3.2,4
-28490,30440,3.4,28.9,0.215,0.539,0.025,0.102,0.014,0.105,2.8,3.7
