depth (mm) [1-1],age (kyr BP) [1-1],sample () [1-1],238U () [1-1],238err () [1-1],232TH () [1-1],232err () [1-1],230TH/232Th () [1-1],230TH/232Th_err () [1-1],d234U () [1-1],d234U_err () [1-1],230Th/238U () [1-1],230Th/238U_err () [1-1],age_uncorrected () [1-1],age_uncorrected_err () [1-1],err () [1-1],depth (mm) [2-1],age (kyr BP) [2-1],sample () [2-1],c(Th) () [2-1],c(Th)_err () [2-1],c(U) () [2-1],c(U)_err () [2-1],234U/238U () [2-1],234U/238U_err () [2-1],230Th/232Th () [2-1],230Th/232Th_err () [2-1],230Th/234U () [2-1],230Th/234U_err () [2-1],err () [2-1]
1049,12.2,So-1-3,382.9,0.4,196.8,12.2,6747.278,420.507,960.125,1.81,0.21,0.001,12.266,0.045,0.045,568,7.075,So-1-11,0.33,0.021,452.6,0.6,1.87,0.001,49.2,0.4,0.064,0,0.09
1078,12.794,So-1-4,372.9,0.4,162.4,13.3,8468.754,696.568,993.102,1.819,0.224,0.001,12.858,0.048,0.049,624,7.279,So-1-12,0.352,0.001,416.5,0.6,1.885,0.001,442.2,2.7,0.066,0,0.081
1081,12.921,So-1-a,403.5,0.4,105.8,10.9,13667.35,1414.444,919.262,1.686,0.217,0.001,12.983,0.043,0.043,678,7.698,So-1-13,0.323,0.022,433.2,0.6,1.92,0.001,54.9,0.6,0.071,0.001,0.132
1083,12.954,So-1-6,428.7,0.5,297.7,14.1,5222.772,248.569,937.004,1.724,0.22,0.001,13.023,0.048,0.048,698,7.734,So-1-59,0.633,0.002,630.6,0.9,1.964,0.002,411.2,3.3,0.07,0.001,0.125
1102,13.248,So-1-7,440,0.5,109.8,12.5,14963.06,1704.581,953.385,1.788,0.227,0.001,13.309,0.043,0.043,734,8.226,So-1-60,0.321,0.002,412.1,0.6,1.961,0.002,560.4,4,0.074,0,0.09
1111,13.355,So-1-8,364.7,0.4,124.7,12.5,10887.798,1093.187,933.188,1.679,0.226,0.001,13.418,0.048,0.048,754,8.456,So-1-14,0.183,0.001,474.7,0.6,1.924,0.001,1141.4,7.5,0.075,0,0.076
1202,14.696,So-1-b,620.3,0.8,299.4,19.1,8885.815,567.191,1033,1.83,0.26,0.001,14.76,0.048,0.048,823,9.183,So1-22,0.439,0.006,536.1,0.7,1.928,0.001,582.1,8.2,0.082,0.001,0.122
1202,14.698,So-1-9,599.6,0.7,247.6,10.4,10390.217,438.308,1034.322,1.808,0.26,0.001,14.762,0.036,0.036,928,9.645,So1-23,0.733,0.004,312,0.4,1.91,0.001,210.2,1.7,0.086,0.001,0.127
1205,14.929,So-1-10,376.6,0.4,787.9,13.7,2137.735,37.606,1085.604,1.794,0.271,0.001,15.016,0.045,0.049,965,10.211,So-1-24,0.633,0.003,225.9,0.3,2.01,0.001,196,1.9,0.09,0.001,0.173
1344,21.405,So-1-11,372.9,0.4,479.6,11.1,4722.237,109.269,1029.142,1.768,0.368,0.001,21.481,0.054,0.056,999,10.702,So-1-25,0.339,0.002,244.8,0.3,1.985,0.001,409.7,3.2,0.095,0,0.104
1351,24.115,SO-1-M21,401.8,0.5,565.6,16.4,4697.297,136.242,982.645,1.835,0.401,0.001,24.193,0.056,0.057,1024,11.025,So-1-16,0.262,0.002,319.7,0.4,1.976,0.001,709.4,5.5,0.097,0.001,0.156
1370,25.209,So-1-12,458.2,0.4,314.8,12.1,10167.477,391.243,1012.166,1.667,0.424,0.001,25.277,0.058,0.059,1044,11.951,So-1-34,0.945,0.003,324.6,0.6,1.946,0.003,213.4,1.2,0.106,0.001,0.153
1400,27.332,SO-1-M20,536.6,0.6,311.3,18.1,12600.129,733.855,959.034,1.816,0.443,0.001,27.398,0.067,0.067,1060,12.184,So-1-35,0.16,0.001,420.7,0.7,1.959,0.003,1681.5,10.9,0.107,0.001,0.148
1423,27.9,So-1-13,426.4,0.4,199.6,15.8,16523.774,1307.336,1033.654,1.822,0.469,0.001,27.965,0.078,0.078,1092,13.091,So-1-26,0.391,0.002,439.3,0.6,1.933,0.001,757,7.3,0.115,0.001,0.22
1440,29.535,So-1-c,361.6,0.4,317.2,11.1,9273.105,325.348,1032.557,1.741,0.493,0.001,29.605,0.074,0.074,1108,12.994,So-1-36,0.789,0.002,480.3,0.8,1.936,0.002,406.4,2.1,0.114,0.001,0.126
1440,29.421,So-1-14,355.2,0.3,532.4,12.6,5405.425,127.92,1031.03,1.681,0.491,0.001,29.499,0.072,0.074,1150,13.311,So-1-38,0.545,0.002,765.1,1.2,2.008,0.002,996.6,4.8,0.117,0,0.102
1454,30.106,So-1-15,619.7,1,379.9,10.5,13620.553,378.596,1051.281,2.437,0.506,0.001,30.172,0.089,0.089,1165,14.295,So-1-17,0.195,0.001,682.2,0.9,2.06,0.001,2752.8,22,0.124,0.001,0.162
1468,30.873,So-1-d,431.4,0.4,162.8,14.9,22137.877,2022.605,1008.373,1.635,0.507,0.001,30.937,0.08,0.08,1195,14.585,So-1-39,0.432,0.002,501.2,0.7,2.017,0.016,902,5.9,0.127,0.001,0.296
1469,30.885,So-1-16,482,0.5,121.6,10,33171.67,2718.626,1010.976,1.89,0.508,0.001,30.946,0.075,0.075,1223,17.032,So-1-27,1.033,0.005,1112.1,1.5,2.073,0.001,993.8,6.8,0.147,0.001,0.178
1490,32.281,SO-1-M18,373.1,0.5,992.1,19.6,3279.455,64.907,1013.39,1.921,0.529,0.001,32.376,0.083,0.087,1230,17.293,So-1-41,0.377,0.002,591.4,1.1,2.018,0.002,1434.7,8.6,0.149,0.001,0.174
1496,32.405,So-1-17,482.2,0.5,375.6,8.6,11214.36,257.687,1011.44,1.733,0.53,0.001,32.474,0.07,0.071,1279,19.204,So-1-28,0.631,0.007,525.7,0.7,2.094,0.001,867.9,10.7,0.164,0.001,0.234
1505,32.869,So-1-e,487.3,0.5,264.1,14.7,17003.623,949.928,1094.152,1.788,0.559,0.001,32.934,0.085,0.085,1314,20.276,So-1-42,0.998,0.004,589.6,0.9,2.01,0.002,620.6,3.1,0.173,0.001,0.188
1513,33.352,So-1-18,403.9,0.4,289.7,12.1,12980.074,541.229,1088.751,1.832,0.565,0.001,33.42,0.073,0.073,1341,21.208,So-1-18,0.773,0.005,376.6,0.5,2.037,0.001,540.6,4,0.18,0.001,0.213
1528,34.341,So-1-19,370.7,0.4,414.9,10.4,8120.03,202.829,989.405,1.84,0.551,0.001,34.415,0.073,0.074,1364,25.265,So-1-43,0.536,0.002,417.3,0.6,1.971,0.001,982,5.7,0.211,0.001,0.246
1544,36.431,So-1-f,465.6,0.6,162.4,11.4,27577.747,1929.659,1000.92,2.058,0.583,0.001,36.494,0.095,0.095,1388,27.114,So-1-44,0.59,0.003,475.6,0.7,2.064,0.002,1136.7,7.5,0.225,0.001,0.267
1545,36.52,So-1-20,443.9,0.4,542.3,13.7,7890.679,199.9,1000.352,1.773,0.585,0.001,36.595,0.087,0.088,1450,29.427,So-1-30,1.708,0.007,356.5,0.5,2.044,0.002,311.5,1.9,0.242,0.001,0.34
1547,37.065,So-1-21,360,0.3,381.2,12,9075.363,286.072,969.791,1.718,0.583,0.001,37.138,0.09,0.09,1519,33.463,So-1-47,0.414,0.003,493.6,0.7,2.07,0.002,2038.4,19.7,0.271,0.002,0.467
1555,37.611,So-1-22,532.7,0.6,512.2,15.1,10060.062,296.825,957.881,1.755,0.587,0.001,37.682,0.097,0.097,1527,34.244,So-1-48,0.743,0.002,379.5,0.6,1.966,0.001,840.5,4.3,0.276,0.001,0.356
1562,38.012,So-1-g,481.5,0.5,909.2,15.4,5151.405,87.691,951.003,1.903,0.59,0.001,38.097,0.096,0.098,1542,35.945,So-1-49,0.32,0.001,508.7,0.8,1.993,0.002,2790.9,14.2,0.288,0.001,0.404
1567,38.234,So-1-23,763.6,0.9,208.8,12.1,35585.357,2063.878,942.768,1.74,0.59,0.001,38.296,0.095,0.095,1555,37.677,So-1-31,0.982,0.004,534.9,0.8,1.936,0.001,957.8,6.1,0.3,0.002,0.463
1585,39.448,So-1-24,343.2,0.3,881.1,14.7,4232.875,71.029,1106.721,1.741,0.659,0.001,39.539,0.095,0.098,1573,38.421,So-1-50,0.485,0.001,532.7,0.8,2.034,0.001,2078.9,9.3,0.305,0.001,0.343
1598,40.229,SO-1-M17,474.4,0.6,450.5,19.9,11079.972,488.847,1009.463,1.726,0.638,0.001,40.3,0.097,0.098,1612,41.263,So-1-32,1.932,0.006,457.8,0.6,1.979,0.001,459.5,2.2,0.324,0.001,0.417
1620,41.403,SO-1-M16,477.6,0.6,204.5,20.5,25233.67,2531.647,1013.918,2.009,0.655,0.001,41.466,0.115,0.116,1634,40.996,So-1-51,0.693,0.002,482.7,0.8,2.069,0.003,1413.4,6,0.323,0.001,0.376
1643,41.55,SO-1-M14,481.9,0.5,344.9,20,15398.998,891.815,1047.098,1.655,0.668,0.001,41.616,0.094,0.094,1646,40.827,So-1-62,1.089,0.004,405.1,0.6,2.088,0.002,758.9,4,0.322,0.002,0.409
1658,42.407,SO-1-M13,330.2,0.4,617.2,19,5808.04,178.529,983.143,1.889,0.658,0.001,42.49,0.099,0.101,1652,42.47,So-1-33,1.252,0.006,578.2,0.8,2.117,0.001,985.9,6.5,0.333,0.002,0.513
1668,44.403,SO-1-M12,323.7,0.4,3773,43.4,1021.438,11.858,1084.311,1.98,0.722,0.001,44.612,0.115,0.158,1669,44.982,So-1-52,3.572,0.01,350.1,0.5,2.12,0.002,220.2,1,0.351,0.001,0.442
1680,48.625,SO-1-M11,301.8,0.3,2573.1,32.6,1525.259,19.481,1112.454,1.818,0.789,0.002,48.791,0.125,0.146,1681,49.168,So-1-53,1.826,0.006,405.9,0.6,2.075,0.002,525,2.5,0.376,0.002,0.526
1689,49.618,SO-1-M10,530.5,0.7,782.3,22.1,8799.119,248.973,1076.89,2.219,0.787,0.002,49.694,0.133,0.134,60,3.159,So-2,1.192,0.005,383.6,0.5,1.868,0.002,55.2,0.7,0.03,0,0.092
1694,49.964,SO-1-M9,484.2,0.6,1661.2,24.9,3736.021,56.338,1040.414,2.121,0.777,0.002,50.066,0.139,0.142,107,4.73,So-2,1.564,0.006,377.6,0.5,2.147,0.002,69.8,0.5,0.045,0,0.083
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,7.507,So-2,0.35,0.003,244.3,0.3,2.021,0.003,291,3.8,0.068,0.001,0.183
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,10.928,So-2,5.424,0.036,337,0.5,2.421,0.002,45.8,0.4,0.101,0.001,0.275
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,15.257,So-2,0.735,0.002,361.4,0.6,2.604,0.003,517.6,3.2,0.134,0.001,0.184
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,19.518,So-2,0.604,0.004,431.6,0.7,2.432,0.005,882.2,7.1,0.168,0.001,0.225
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,36.236,So-2,1.083,0.004,364.2,0.5,2.056,0.003,608.9,3.1,0.291,0.001,0.373
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,37.071,So-2,0.536,0.003,866.2,1.5,2.596,0.004,3850.5,26.5,0.298,0.001,0.387
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,38.48,So-2,0.409,0.003,543.6,0.8,2.399,0.002,3006.6,28.6,0.307,0.002,0.462
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,40.618,So-2,0.353,0.003,476.7,0.8,2.62,0.004,3502.2,30.3,0.322,0.002,0.479
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,42.702,So-2,2.126,0.123,796.2,1.2,2.76,0.002,1057.5,61.5,0.337,0.002,0.618
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,854,43.824,So-2,0.799,0.012,751.1,1.3,2.719,0.003,2691.8,42.1,0.344,0.002,0.641
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,45.33,So-2,1.454,0.11,390.4,0.6,2.549,0.003,734,55.6,0.354,0.002,0.626
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,46.211,So-2,1.453,0.013,624.5,0.9,2.591,0.002,1216.6,12.9,0.36,0.002,0.636
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,985,48.041,So-2,0.789,0.002,377.2,0.6,2.412,0.004,1298.6,8.4,0.371,0.002,0.74
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034,49.198,So-2,1.255,0.006,404.4,0.6,1.973,0.002,724.3,5.3,0.376,0.002,0.713
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,50.386,So-2,0.691,0.003,335.6,0.5,2.214,0.003,1256.5,10.2,0.385,0.003,0.84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,4.472,O1-5,0.358,0.006,733.1,1,1.101,0.001,274.3,4.7,0.04,0,0.055
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,4.639,O1-6,0.247,0.004,569.7,0.8,1.098,0.001,319.3,6.4,0.042,0.001,0.127
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,5.693,O1-7,0.294,0.004,791.5,1.1,1.104,0.001,457.4,6.6,0.051,0,0.07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,6.757,O1-8,0.335,0.002,784.4,1.1,1.107,0.001,471.3,4,0.06,0,0.097
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,8.748,O1-9,0.515,0.002,663.9,0.9,1.145,0.001,344.8,3.5,0.077,0.001,0.163
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030,9.796,O-1-1,0.341,0.002,486.3,0.7,1.171,0.001,437,4.7,0.087,0.001,0.17
