year (AD),age (BP),temperature (degC)
-5855,7805,9.633
-5871,7821,9.716
-5886,7836,9.705
-5901,7851,9.518
-5916,7866,10.033
-5931,7881,9.092
-5946,7896,9.673
-5961,7911,9.305
-5977,7927,10.184
-5992,7942,9.843
-6007,7957,8.894
-6022,7972,9.651
-6037,7987,9.374
-6052,8002,11.769
-6067,8017,9.912
-6082,8032,10.145
-6098,8048,10.4
-6113,8063,10.25
-6128,8078,9.806
-6143,8093,13.518
-6158,8108,10.802
-6173,8123,10.232
-6188,8138,10.199
-6203,8153,9.975
-6218,8168,9.709
-6233,8183,9.566
-6248,8198,9.855
-6263,8213,9.987
-6282,8232,9.438
-6298,8248,10.721
-6313,8263,10.693
-6328,8278,9.693
-6345,8295,9.17
-6360,8310,9.99
-6375,8325,9.737
-6390,8340,9.861
-6405,8355,9.785
-6420,8370,10.077
-6436,8386,9.273
-6451,8401,9.882
-6466,8416,10.127
-6481,8431,10.162
-6496,8446,9.464
-6511,8461,9.013
-6526,8476,10.01
-6541,8491,10.399
-6556,8506,10.158
-6572,8522,10.268
-6587,8537,10.591
-6602,8552,11.329
-6618,8568,11.018
-6633,8583,10.255
-6648,8598,10.874
-6664,8614,12.162
-6679,8629,10.483
-6694,8644,10.922
-6709,8659,11.212
-6724,8674,12.206
-6739,8689,10.824
-6754,8704,10.334
-6769,8719,9.805
-6784,8734,11.174
-6799,8749,11.739
-6815,8765,10.846
-6830,8780,11.198
-6845,8795,11.916
-6860,8810,10.932
-6892,8842,10.2
-6943,8893,10.417
-6993,8943,10.253
-7044,8994,9.835
-7095,9045,9.546
-7145,9095,10.013
-7196,9146,9.777
-7246,9196,9.159
-7297,9247,8.607
-7347,9297,9.949
-7398,9348,9.859
-7449,9399,10.083
-7499,9449,9.332
-7558,9508,9.811
-7600,9550,10.474
-7650,9600,9.312
-7703,9653,8.879
-7752,9702,9.549
-7798,9748,9.224
-7847,9797,9.401
-7897,9847,9.851
-7947,9897,9.684
-7997,9947,9.094
-8046,9996,9.029
-8096,10046,9.431
-8143,10093,10.058
-8193,10143,8.281
-8232,10182,10.358
-8303,10253,10.339
-8352,10302,9.767
-8401,10351,10.144
-8450,10400,9.839
-8499,10449,9.705
-8548,10498,9.603
-8598,10548,10.023
-8647,10597,10.802
-8696,10646,10.696
-8745,10695,10.234
-8794,10744,10.77
