year (year ce),age (BP),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC)
1178,772,4.452,2.792,6.112
1167,783,5.644,3.984,7.304
1154,796,7.175,5.515,8.835
1144,806,6.884,5.224,8.544
1134,816,6.623,4.963,8.284
1124,826,6.69,5.03,8.35
1114,836,7.387,5.727,9.047
1104,846,7.787,6.127,9.447
1094,856,7.762,6.102,9.422
1084,866,7.344,5.684,9.004
1074,876,7.281,5.621,8.941
1064,886,7.644,5.984,9.304
1053,897,6.284,4.624,7.944
1043,907,4.826,3.166,6.486
1032,918,5.381,3.721,7.041
1022,928,6.41,4.75,8.07
1011,939,7.07,5.41,8.73
1001,949,6.814,5.154,8.474
990,960,7.375,5.715,9.036
980,970,5.42,3.76,7.08
969,981,5.436,3.776,7.096
959,991,5.862,4.202,7.522
949,1001,5.906,4.246,7.566
938,1012,7.075,5.415,8.735
927,1023,6.181,4.521,7.841
916,1034,5.655,3.995,7.315
906,1044,5.565,3.905,7.225
895,1055,5.293,3.633,6.953
884,1066,5.739,4.079,7.399
873,1077,5.291,3.631,6.951
862,1088,4.853,3.193,6.513
852,1098,4.708,3.048,6.368
841,1109,5.08,3.421,6.74
830,1120,5.996,4.336,7.656
819,1131,6.109,4.449,7.769
808,1142,5.817,4.157,7.477
797,1153,4.872,3.212,6.532
786,1164,5.333,3.673,6.993
775,1175,4.875,3.215,6.535
764,1186,5.814,4.154,7.474
753,1197,6.238,4.578,7.898
742,1208,5.916,4.256,7.576
730,1220,6.08,4.42,7.74
719,1231,6.022,4.362,7.682
707,1243,5.714,4.054,7.374
696,1254,5.682,4.022,7.342
685,1265,5.621,3.961,7.281
673,1277,5.521,3.861,7.181
662,1288,5.457,3.797,7.117
651,1299,5.313,3.653,6.973
639,1311,5.202,3.542,6.862
628,1322,5.471,3.811,7.131
617,1333,5.534,3.874,7.194
605,1345,5.31,3.65,6.97
594,1356,5.005,3.345,6.665
583,1367,4.966,3.306,6.626
571,1379,5.206,3.546,6.866
559,1391,5.021,3.361,6.681
548,1402,5.274,3.614,6.934
536,1414,4.982,3.322,6.642
524,1426,5.131,3.471,6.791
513,1437,5.638,3.978,7.298
501,1449,5.418,3.758,7.078
490,1460,5.049,3.389,6.709
478,1472,5.083,3.423,6.743
466,1484,4.452,2.792,6.112
454,1496,4.317,2.657,5.977
442,1508,5.366,3.706,7.026
431,1519,6.183,4.522,7.843
419,1531,6.008,4.348,7.668
407,1543,6.117,4.457,7.777
395,1555,5.497,3.837,7.157
383,1567,5.269,3.609,6.929
371,1579,5.952,4.292,7.612
359,1591,6.129,4.469,7.789
347,1603,6.276,4.616,7.936
335,1615,5.318,3.658,6.978
323,1627,5.671,4.011,7.331
311,1639,5.464,3.804,7.124
300,1650,5.666,4.006,7.326
288,1662,5.708,4.048,7.368
276,1674,5.513,3.853,7.173
264,1686,5.271,3.611,6.931
252,1698,5.694,4.034,7.354
240,1710,5.364,3.704,7.024
227,1723,5.849,4.189,7.509
215,1735,5.983,4.323,7.643
203,1747,6.076,4.416,7.736
191,1759,6.46,4.8,8.12
179,1771,7.303,5.643,8.963
167,1783,7.13,5.47,8.79
161,1789,6.684,5.024,8.344
155,1795,6.547,4.887,8.207
148,1802,6.242,4.582,7.902
142,1808,6.136,4.476,7.796
135,1815,6.347,4.687,8.007
129,1821,6.327,4.667,7.987
122,1828,5.959,4.299,7.619
116,1834,6.253,4.593,7.913
110,1840,6.138,4.478,7.798
103,1847,5.802,4.142,7.462
97,1853,5.32,3.66,6.98
90,1860,5.171,3.511,6.831
84,1866,6.179,4.519,7.839
77,1873,5.267,3.607,6.927
71,1879,4.868,3.208,6.528
64,1886,5.622,3.962,7.282
57,1893,5.116,3.456,6.776
51,1899,4.654,2.994,6.314
44,1906,5.262,3.602,6.922
38,1912,4.877,3.216,6.537
31,1919,5.257,3.597,6.917
25,1925,5.45,3.79,7.11
19,1931,4.891,3.231,6.551
12,1938,4.465,2.805,6.125
-7,1957,4.493,2.833,6.153
-27,1977,4.526,2.866,6.186
-46,1996,4.893,3.233,6.553
-65,2015,5.711,4.051,7.371
-84,2034,5.335,3.675,6.995
-104,2054,5.599,3.939,7.26
-123,2073,5.818,4.158,7.478
-142,2092,6.229,4.569,7.889
-161,2111,6.354,4.694,8.014
-180,2130,6.439,4.779,8.1
-200,2150,6.641,4.981,8.301
-219,2169,6.54,4.88,8.2
-239,2189,6.645,4.985,8.305
-258,2208,6.978,5.318,8.638
-277,2227,7.303,5.643,8.963
-297,2247,7.159,5.499,8.819
-316,2266,7.207,5.547,8.867
-336,2286,7.411,5.751,9.071
-355,2305,7.682,6.022,9.342
-375,2325,7.801,6.141,9.461
-394,2344,7.877,6.216,9.537
-415,2365,7.915,6.255,9.575
-454,2404,8.07,6.41,9.73
-492,2442,7.759,6.099,9.419
-531,2481,6.808,5.148,8.468
-569,2519,6.805,5.145,8.465
-607,2557,6.726,5.066,8.386
-646,2596,6.847,5.187,8.507
-684,2634,5.76,4.1,7.42
-722,2672,6.287,4.627,7.947
-761,2711,5.579,3.919,7.239
-799,2749,5.929,4.269,7.589
-837,2787,6.234,4.574,7.894
-875,2825,5.479,3.819,7.139
-913,2863,5.783,4.123,7.443
-952,2902,6.114,4.454,7.774
-990,2940,5.872,4.212,7.532
-1028,2978,5.888,4.228,7.548
-1062,3012,6.019,4.359,7.678
-1075,3025,6.403,4.743,8.063
-1088,3038,6.997,5.337,8.657
-1102,3052,7.839,6.179,9.499
-1115,3065,8.193,6.533,9.853
-1129,3079,8.047,6.387,9.707
-1142,3092,7.933,6.273,9.593
-1155,3105,7.685,6.025,9.345
-1168,3118,7.535,5.875,9.195
-1181,3131,7.864,6.204,9.524
-1194,3144,8.177,6.517,9.837
-1207,3157,8.733,7.073,10.393
-1220,3170,8.922,7.262,10.582
-1234,3184,8.383,6.723,10.043
-1247,3197,8.634,6.974,10.294
-1260,3210,8.733,7.073,10.393
-1274,3224,8.408,6.748,10.068
-1287,3237,8.649,6.989,10.309
-1300,3250,8.193,6.533,9.853
-1313,3263,8.188,6.528,9.848
-1326,3276,8.017,6.357,9.677
-1339,3289,7.928,6.268,9.588
-1352,3302,7.985,6.325,9.645
-1365,3315,8.233,6.574,9.893
-1379,3329,8.14,6.481,9.8
-1392,3342,8.195,6.535,9.855
-1405,3355,8.776,7.116,10.436
-1418,3368,8.091,6.431,9.751
-1431,3381,7.601,5.941,9.261
-1444,3394,7.866,6.206,9.526
-1457,3407,8.08,6.42,9.74
-1470,3420,7.546,5.886,9.206
-1483,3433,7.612,5.952,9.273
-1496,3446,7.692,6.032,9.352
-1509,3459,7.726,6.066,9.386
-1522,3472,7.715,6.055,9.375
-1535,3485,7.558,5.898,9.218
-1548,3498,7.442,5.782,9.102
-1561,3511,7.704,6.044,9.364
-1571,3521,7.601,5.941,9.261
-1581,3531,7.925,6.265,9.585
-1590,3540,8.589,6.929,10.249
-1599,3549,8.601,6.941,10.261
-1609,3559,8.726,7.066,10.386
-1618,3568,8.757,7.097,10.417
-1628,3578,8.596,6.936,10.256
-1637,3587,8.4,6.74,10.06
-1647,3597,8.539,6.879,10.199
-1656,3606,8.452,6.792,10.112
-1666,3616,8.523,6.863,10.183
-1675,3625,8.413,6.753,10.073
-1685,3635,8.701,7.042,10.361
-1694,3644,8.342,6.682,10.002
-1704,3654,8.157,6.497,9.817
-1713,3663,8.188,6.528,9.848
-1722,3672,8.051,6.391,9.711
-1731,3681,8.326,6.667,9.986
-1741,3691,8.469,6.809,10.129
-1750,3700,8.414,6.754,10.074
-1759,3709,8.488,6.828,10.148
-1769,3719,8.452,6.792,10.112
-1778,3728,8.547,6.887,10.207
-1788,3738,8.498,6.838,10.158
-1797,3747,7.867,6.207,9.527
-1806,3756,7.63,5.971,9.29
-1816,3766,7.442,5.782,9.102
-1825,3775,7.576,5.916,9.236
-1834,3784,7.432,5.772,9.092
-1844,3794,7.688,6.028,9.348
-1853,3803,7.338,5.678,8.998
-1862,3812,7.09,5.429,8.749
-1871,3821,6.703,5.043,8.363
-1881,3831,6.539,4.879,8.199
-1890,3840,6.956,5.296,8.616
-1899,3849,6.756,5.096,8.416
-1908,3858,6.652,4.992,8.312
-1918,3868,6.754,5.094,8.414
-1927,3877,6.933,5.273,8.593
-1936,3886,6.759,5.099,8.419
-1945,3895,6.759,5.099,8.419
-1955,3905,6.908,5.248,8.568
-1964,3914,7.386,5.726,9.046
-1973,3923,7.058,5.398,8.718
-1982,3932,6.418,4.758,8.078
-1992,3942,6.397,4.737,8.057
-2001,3951,6.332,4.672,7.992
-2010,3960,6.512,4.852,8.172
-2019,3969,6.213,4.553,7.873
-2028,3978,6.13,4.47,7.79
-2037,3987,6.236,4.576,7.896
-2046,3996,6.274,4.614,7.934
-2055,4005,6.413,4.753,8.073
-2064,4014,6.356,4.696,8.016
-2073,4023,6.566,4.906,8.226
-2082,4032,6.468,4.808,8.128
-2091,4041,6.481,4.821,8.141
-2100,4050,6.689,5.029,8.349
-2109,4059,6.196,4.536,7.856
-2118,4068,5.905,4.245,7.566
-2127,4077,5.981,4.321,7.641
-2135,4085,6.177,4.517,7.837
-2144,4094,6.094,4.434,7.754
-2153,4103,6.381,4.721,8.041
-2162,4112,6.223,4.562,7.883
-2171,4121,5.77,4.11,7.43
-2180,4130,6.027,4.367,7.687
-2189,4139,6.192,4.532,7.852
-2198,4148,6.047,4.387,7.707
-2207,4157,6.276,4.616,7.936
-2216,4166,6.119,4.459,7.779
-2225,4175,5.957,4.297,7.617
-2234,4184,6.456,4.796,8.116
-2243,4193,6.599,4.939,8.259
-2252,4202,6.61,4.95,8.27
-2260,4210,6.348,4.688,8.008
-2269,4219,6.408,4.748,8.068
-2278,4228,6.166,4.506,7.826
-2287,4237,6.104,4.444,7.764
-2295,4245,5.951,4.291,7.611
-2304,4254,5.739,4.079,7.399
-2313,4263,5.756,4.096,7.417
-2322,4272,5.832,4.172,7.492
-2330,4280,6.087,4.427,7.747
-2339,4289,6.156,4.496,7.816
-2348,4298,5.996,4.336,7.656
-2357,4307,5.73,4.07,7.39
-2365,4315,5.766,4.106,7.426
-2374,4324,6.086,4.426,7.746
-2383,4333,5.861,4.201,7.521
-2391,4341,5.764,4.104,7.424
-2400,4350,5.732,4.072,7.392
-2409,4359,5.804,4.144,7.464
-2417,4367,5.431,3.771,7.091
-2426,4376,5.226,3.566,6.886
-2434,4384,5.166,3.506,6.826
-2443,4393,5.304,3.644,6.965
-2452,4402,5.245,3.584,6.904
-2460,4410,5.189,3.529,6.849
-2469,4419,5.108,3.448,6.768
-2477,4427,5.264,3.604,6.925
-2485,4435,5.413,3.753,7.073
-2494,4444,5.217,3.557,6.877
-2502,4452,5.203,3.543,6.863
-2511,4461,5.064,3.404,6.724
-2519,4469,4.912,3.252,6.572
-2528,4478,4.919,3.259,6.579
-2540,4490,4.83,3.17,6.49
-2553,4503,4.908,3.248,6.568
-2566,4516,5.038,3.378,6.698
-2579,4529,5.27,3.61,6.93
-2592,4542,5.516,3.856,7.176
-2605,4555,5.527,3.867,7.187
-2618,4568,5.412,3.752,7.072
-2630,4580,5.272,3.612,6.932
-2643,4593,5.279,3.619,6.939
-2655,4605,5.224,3.564,6.884
-2668,4618,5.15,3.49,6.81
-2680,4630,5.154,3.494,6.814
-2693,4643,4.984,3.324,6.644
-2706,4656,4.927,3.267,6.587
-2718,4668,4.847,3.187,6.507
-2731,4681,4.878,3.218,6.538
-2743,4693,4.812,3.152,6.472
-2756,4706,4.815,3.155,6.475
-2768,4718,4.724,3.064,6.384
-2781,4731,4.668,3.008,6.328
-2793,4743,4.666,3.006,6.326
-2805,4755,4.72,3.06,6.38
-2818,4768,4.776,3.116,6.436
-2830,4780,4.793,3.133,6.453
-2842,4792,4.762,3.102,6.422
-2855,4805,4.74,3.08,6.4
-2867,4817,4.622,2.962,6.282
-2879,4829,4.547,2.887,6.207
-2891,4841,4.537,2.877,6.197
-2903,4853,4.524,2.864,6.184
-2915,4865,4.52,2.86,6.18
-2927,4877,4.516,2.856,6.176
-2939,4889,4.484,2.824,6.144
-2952,4902,4.48,2.82,6.14
-2964,4914,4.475,2.815,6.135
-2975,4925,4.484,2.824,6.144
-2987,4937,4.515,2.855,6.175
-2999,4949,4.493,2.833,6.153
-3011,4961,4.509,2.849,6.169
-3023,4973,4.533,2.873,6.193
-3035,4985,4.551,2.891,6.211
-3046,4996,4.518,2.858,6.178
-3058,5008,4.511,2.85,6.17
-3069,5019,4.535,2.875,6.195
-3081,5031,4.479,2.82,6.139
-3092,5042,4.479,2.819,6.139
-3104,5054,4.497,2.837,6.157
-3115,5065,4.493,2.833,6.153
-3127,5077,4.502,2.842,6.162
-3138,5088,4.513,2.853,6.173
-3150,5100,4.502,2.842,6.162
-3161,5111,4.503,2.843,6.163
-3173,5123,4.509,2.849,6.169
-3184,5134,4.517,2.857,6.177
-3195,5145,4.539,2.879,6.199
-3206,5156,4.535,2.875,6.195
-3217,5167,4.559,2.9,6.22
-3229,5179,4.549,2.889,6.209
-3240,5190,4.504,2.844,6.164
-3251,5201,4.54,2.88,6.2
-3262,5212,4.557,2.897,6.217
-3273,5223,4.537,2.877,6.197
-3284,5234,4.6,2.94,6.26
-3295,5245,4.532,2.872,6.192
-3306,5256,4.527,2.867,6.187
-3317,5267,4.745,3.085,6.405
-3328,5278,4.639,2.979,6.299
-3339,5289,4.564,2.904,6.224
-3350,5300,4.639,2.979,6.299
-3360,5310,4.61,2.95,6.27
-3371,5321,4.571,2.911,6.231
-3382,5332,4.537,2.877,6.197
-3393,5343,4.565,2.905,6.225
-3404,5354,4.583,2.924,6.244
-3414,5364,4.647,2.987,6.307
-3425,5375,4.693,3.033,6.353
-3435,5385,4.842,3.182,6.502
-3446,5396,5.042,3.382,6.702
-3456,5406,5.087,3.427,6.747
-3467,5417,5.195,3.535,6.855
-3477,5427,5.217,3.557,6.877
-3488,5438,5.443,3.783,7.103
-3498,5448,5.26,3.6,6.92
-3508,5458,5.426,3.766,7.086
-3519,5469,5.827,4.167,7.487
-3529,5479,5.51,3.85,7.17
-3539,5489,5.425,3.765,7.085
-3549,5499,5.935,4.275,7.595
-3559,5509,5.881,4.221,7.541
-3569,5519,5.508,3.848,7.168
-3580,5530,5.643,3.983,7.303
-3590,5540,5.657,3.997,7.317
-3600,5550,5.45,3.791,7.111
-3610,5560,5.396,3.736,7.056
-3620,5570,5.644,3.984,7.304
-3630,5580,5.807,4.147,7.467
-3640,5590,5.676,4.016,7.336
-3650,5600,5.551,3.891,7.211
-3660,5610,5.305,3.645,6.965
-3670,5620,5.159,3.499,6.819
-3680,5630,5.079,3.419,6.739
-3690,5640,4.957,3.297,6.617
-3699,5649,5.007,3.347,6.667
-3709,5659,5.225,3.565,6.885
-3719,5669,5.097,3.437,6.757
-3728,5678,4.932,3.272,6.592
-3738,5688,4.928,3.268,6.588
-3747,5697,4.916,3.256,6.576
-3757,5707,4.822,3.162,6.482
-3766,5716,4.662,3.002,6.322
-3776,5726,4.89,3.23,6.55
-3785,5735,5.291,3.631,6.951
-3795,5745,5.376,3.716,7.036
-3804,5754,5.392,3.732,7.052
-3814,5764,5.775,4.115,7.435
-3823,5773,6.223,4.563,7.883
-3833,5783,6.88,5.22,8.54
-3842,5792,6.188,4.528,7.848
-3851,5801,5.972,4.312,7.632
-3861,5811,6.397,4.737,8.057
-3870,5820,6.568,4.908,8.228
-3879,5829,5.568,3.908,7.228
-3888,5838,5.511,3.851,7.171
-3897,5847,5.282,3.622,6.942
-3906,5856,5.102,3.442,6.762
-3916,5866,5.007,3.347,6.667
-3925,5875,4.881,3.221,6.541
-3934,5884,5.077,3.417,6.737
-3943,5893,5.426,3.766,7.086
-3952,5902,5.885,4.225,7.545
-3961,5911,6.35,4.69,8.01
-3970,5920,6.363,4.703,8.023
-3979,5929,6.412,4.752,8.072
-3988,5938,6.512,4.852,8.172
-3997,5947,6.357,4.697,8.018
-4006,5956,6.121,4.461,7.781
-4015,5965,6.278,4.618,7.938
-4023,5973,6.167,4.507,7.827
-4032,5982,6.056,4.396,7.716
-4041,5991,6.167,4.507,7.827
-4050,6000,6.001,4.341,7.661
-4058,6008,6.24,4.58,7.9
-4067,6017,6.465,4.805,8.125
-4076,6026,6.664,5.004,8.324
-4084,6034,6.563,4.903,8.223
-4093,6043,6.97,5.31,8.63
-4102,6052,7.001,5.341,8.661
-4110,6060,6.667,5.007,8.327
-4119,6069,6.677,5.017,8.337
-4127,6077,7.108,5.448,8.768
-4135,6085,7.034,5.374,8.694
-4144,6094,6.314,4.654,7.973
-4152,6102,5.947,4.287,7.607
-4161,6111,5.628,3.968,7.288
-4169,6119,5.623,3.963,7.283
-4177,6127,5.667,4.007,7.327
-4186,6136,5.686,4.026,7.346
-4194,6144,5.864,4.204,7.524
-4203,6153,5.716,4.056,7.376
-4211,6161,5.874,4.214,7.534
-4219,6169,5.904,4.244,7.564
-4228,6178,6.024,4.364,7.684
-4236,6186,6.005,4.345,7.665
-4244,6194,6.3,4.64,7.96
-4253,6203,6.316,4.656,7.976
-4261,6211,6.229,4.569,7.889
-4270,6220,6.388,4.729,8.049
-4278,6228,6.232,4.572,7.892
-4286,6236,6.357,4.697,8.018
-4295,6245,6.846,5.186,8.506
-4303,6253,6.118,4.458,7.778
-4312,6262,5.912,4.252,7.572
-4320,6270,6.393,4.733,8.053
-4328,6278,6.642,4.982,8.302
-4337,6287,5.958,4.298,7.618
-4345,6295,5.96,4.3,7.62
-4353,6303,6.243,4.583,7.903
-4362,6312,6.456,4.796,8.116
-4370,6320,6.367,4.707,8.027
-4379,6329,6.09,4.43,7.75
-4387,6337,5.9,4.24,7.56
-4395,6345,5.821,4.161,7.481
-4404,6354,5.751,4.091,7.411
-4412,6362,5.402,3.742,7.062
-4421,6371,5.721,4.061,7.381
-4429,6379,5.313,3.653,6.973
-4437,6387,5.151,3.491,6.811
-4446,6396,5.134,3.474,6.794
-4454,6404,5.045,3.385,6.705
-4462,6412,4.776,3.116,6.436
-4471,6421,4.659,2.999,6.319
-4479,6429,4.667,3.007,6.327
-4488,6438,4.741,3.081,6.401
-4496,6446,4.295,2.635,5.955
-4504,6454,4.651,2.991,6.311
-4513,6463,4.648,2.988,6.308
-4521,6471,5.079,3.419,6.739
-4530,6480,4.623,2.963,6.283
-4538,6488,4.467,2.807,6.127
-4546,6496,4.511,2.851,6.171
-4555,6505,4.432,2.772,6.092
-4563,6513,4.433,2.773,6.093
-4571,6521,4.489,2.829,6.149
-4580,6530,4.521,2.861,6.181
-4588,6538,4.504,2.844,6.164
-4597,6547,4.485,2.825,6.145
-4605,6555,4.486,2.826,6.146
-4613,6563,4.497,2.837,6.157
-4622,6572,4.434,2.774,6.094
-4630,6580,4.42,2.76,6.08
-4639,6589,4.418,2.758,6.078
-4647,6597,4.424,2.764,6.084
-4655,6605,4.446,2.786,6.106
-4664,6614,4.438,2.778,6.098
-4672,6622,4.466,2.806,6.126
-4680,6630,4.442,2.782,6.102
-4689,6639,4.42,2.76,6.08
-4697,6647,4.468,2.808,6.128
-4706,6656,4.474,2.814,6.134
-4714,6664,4.431,2.771,6.091
-4722,6672,4.427,2.767,6.087
-4731,6681,4.446,2.786,6.106
-4739,6689,4.38,2.72,6.04
-4748,6698,4.396,2.736,6.056
-4756,6706,4.406,2.746,6.066
-4764,6714,4.056,2.396,5.716
-4773,6723,4.39,2.73,6.05
-4781,6731,4.468,2.808,6.128
-4789,6739,4.532,2.873,6.192
-4798,6748,4.396,2.736,6.056
-4806,6756,4.304,2.644,5.964
-4815,6765,4.249,2.589,5.909
-4823,6773,4.354,2.694,6.014
-4831,6781,4.604,2.944,6.264
-4840,6790,4.019,2.359,5.679
-4848,6798,4.202,2.542,5.862
-4857,6807,4.13,2.47,5.79
-4865,6815,3.888,2.228,5.548
-4873,6823,3.792,2.132,5.452
-4882,6832,4.211,2.551,5.871
-4890,6840,4.773,3.113,6.433
-4898,6848,4.749,3.089,6.409
-4907,6857,4.262,2.602,5.922
-4915,6865,4.652,2.992,6.312
-4924,6874,4.618,2.958,6.278
-4932,6882,4.578,2.918,6.238
-4940,6890,4.553,2.893,6.213
-4949,6899,4.526,2.866,6.186
-4957,6907,4.508,2.848,6.168
-4966,6916,4.476,2.816,6.136
-4974,6924,4.533,2.873,6.193
-4982,6932,4.536,2.876,6.196
-4991,6941,4.483,2.823,6.143
-4999,6949,4.464,2.804,6.124
