year (AD),age (BP),depth (cm),greyscale (percent),ash (percent),HIndex (missing)
-1000,2950,125,59.26,24.45,0.27
-1030,2980,126,59.27,23.74,0.26
-1050,3000,127,59.47,22.42,0.26
-1070,3020,128,59.41,24.42,0.26
-1100,3050,129,59.74,22.79,0.26
-1120,3070,130,59.66,20.74,0.27
-1140,3090,131,59.51,16.71,0.28
-1170,3120,132,59.06,14,0.29
-1190,3140,133,58.8,10.97,0.3
-1210,3160,134,58.55,13.65,0.29
-1240,3190,135,58.85,17.76,0.3
-1260,3210,136,59.28,23.44,0.32
-1280,3230,137,59.88,27.14,0.33
-1310,3260,138,60.31,28.21,0.34
-1330,3280,139,60.45,27.34,0.35
-1360,3310,140,60.44,26.06,0.35
-1380,3330,141,60.44,23.99,0.34
-1400,3350,142,60.52,23.29,0.33
-1420,3370,143,60.44,23.22,0.32
-1440,3390,144,60.48,24.02,0.32
-1450,3400,145,60.53,27.03,0.31
-1470,3420,146,60.34,29.25,0.31
-1490,3440,147,59.97,29.78,0.31
-1500,3450,148,59.63,31.82,0.31
-1520,3470,149,59.32,33.57,0.3
-1540,3490,150,58.93,31.81,0.29
-1550,3500,151,58.87,29.29,0.28
-1570,3520,152,58.76,29.71,0.27
-1580,3530,153,58.86,27.9,0.27
-1600,3550,154,58.97,27.21,0.29
-1620,3570,155,58.94,25.69,0.3
-1630,3580,156,58.83,24.26,0.3
-1650,3600,157,58.73,21.12,0.3
-1660,3610,158,58.47,19.41,0.3
-1680,3630,159,58.26,17.03,0.3
-1700,3650,160,58.27,16.02,0.29
-1710,3660,161,58.15,16.7,0.29
-1730,3680,162,57.97,17.74,0.3
-1740,3690,163,58.12,20.9,0.29
-1760,3710,164,58.16,23.41,0.29
-1780,3730,165,58.33,25.36,0.31
-1790,3740,166,58.61,25.1,0.31
-1810,3760,167,58.68,24.52,0.31
-1820,3770,168,58.55,22.1,0.3
-1840,3790,169,58.57,19.12,0.3
-1860,3810,170,58.62,16.87,0.3
-1870,3820,171,58.52,15.35,0.29
-1890,3840,172,58.55,15.34,0.29
-1910,3860,173,58.82,15.42,0.29
-1920,3870,174,58.97,15.83,0.29
-1940,3890,175,58.25,15.3,0.27
-1950,3900,176,57.84,16.1,0.27
-1970,3920,177,57.89,16.39,0.26
-1990,3940,178,57.55,16.11,0.25
-2000,3950,179,57.54,14.98,0.24
-2020,3970,180,57.92,15.61,0.25
-2030,3980,181,58.31,16.14,0.25
-2050,4000,182,58.56,16.43,0.25
-2070,4020,183,58.91,17.22,0.25
-2080,4030,184,59.08,19.31,0.26
-2100,4050,185,59.56,21.07,0.26
-2110,4060,186,59.96,22.06,0.26
-2130,4080,187,60.26,22.09,0.28
-2150,4100,188,60.44,22.68,0.29
-2160,4110,189,60.52,21.37,0.31
-2180,4130,190,60.35,18.63,0.32
-2200,4150,191,59.9,16.18,0.32
-2210,4160,192,59.23,14,0.31
-2230,4180,193,58.75,10.76,0.3
-2240,4190,194,58.07,9.66,0.28
-2260,4210,195,57.35,10.18,0.28
-2280,4230,196,56.96,10.02,0.27
-2290,4240,197,56.87,11.51,0.26
-2310,4260,198,56.98,13.61,0.26
-2320,4270,199,57.16,14.29,0.26
-2340,4290,200,57.57,14.43,0.25
-2360,4310,201,57.59,15.29,0.25
-2370,4320,202,57.63,13.82,0.24
-2390,4340,203,57.35,12.86,0.24
-2400,4350,204,57.12,13,0.24
-2420,4370,205,56.88,13.63,0.24
-2440,4390,206,56.98,13.64,0.23
-2450,4400,207,56.97,13.27,0.23
-2470,4420,208,57.06,12.22,0.24
-2490,4440,209,57.09,11.76,0.24
-2500,4450,210,57.07,10.48,0.24
-2520,4470,211,57.35,10.29,0.24
-2530,4480,212,57.64,12.77,0.24
-2550,4500,213,58.16,14.61,0.25
-2570,4520,214,58.46,15.18,0.26
-2580,4530,215,58.97,14.84,0.27
-2600,4550,216,58.65,13.89,0.26
-2610,4560,217,57.93,13.57,0.25
-2630,4580,218,57.82,13.55,0.25
-2650,4600,219,57.86,12.92,0.25
-2660,4610,220,57.57,13.33,0.24
-2680,4630,221,57.88,15.1,0.25
-2690,4640,222,57.9,14.64,0.25
-2710,4660,223,58.03,15.95,0.25
-2730,4680,224,58.21,17.72,0.25
-2740,4690,225,58.46,18.35,0.25
-2760,4710,226,58.5,17.35,0.25
-2770,4720,227,59.23,17.27,0.25
-2790,4740,228,58.75,15.13,0.25
-2810,4760,229,58.55,14.22,0.24
-2820,4770,230,58.29,14.6,0.24
-2840,4790,231,58.5,14.38,0.24
-2860,4810,232,58.36,13.07,0.25
-2870,4820,233,58.48,12.5,0.25
-2890,4840,234,58.54,12.04,0.26
-2900,4850,235,58.49,12.25,0.25
-2920,4870,236,58.11,12.97,0.25
-2940,4890,237,58.35,13.42,0.25
-2950,4900,238,58.13,13.96,0.24
-2970,4920,239,57.57,13.81,0.23
-2980,4930,240,57.16,12.95,0.23
-3000,4950,241,56.55,13.67,0.23
-3020,4970,242,55.73,14.78,0.22
-3030,4980,243,55.51,15.42,0.22
-3050,5000,244,55.6,15.6,0.22
-3060,5010,245,56.08,16.52,0.22
-3080,5030,246,56.8,16.1,0.23
-3100,5050,247,57.48,16.76,0.23
-3110,5060,248,57.86,17.64,0.24
-3130,5080,249,57.93,18.74,0.25
-3150,5100,250,57.79,18.6,0.25
-3160,5110,251,57.69,18.93,0.25
-3180,5130,252,57.68,18.73,0.25
-3190,5140,253,57.59,18.5,0.25
-3210,5160,254,57.93,18.15,0.26
-3230,5180,255,58,18.19,0.26
-3240,5190,256,58.04,16.87,0.25
-3260,5210,257,57.36,14.96,0.24
-3270,5220,258,57.06,13.81,0.23
-3290,5240,259,56.41,12.83,0.22
-3310,5260,260,56.25,11.75,0.22
-3320,5270,261,55.83,11.38,0.22
-3340,5290,262,56.47,13.16,0.22
-3350,5300,263,57.38,13.56,0.22
-3370,5320,264,58.02,13.83,0.23
-3390,5340,265,58.25,14.72,0.23
-3400,5350,266,58.91,17.3,0.25
-3420,5370,267,59.27,16.23,0.28
-3440,5390,268,59.1,15.03,0.31
-3450,5400,269,59.18,14.17,0.32
-3470,5420,270,59.42,13.67,0.33
-3480,5430,271,59.56,14.09,0.33
-3500,5450,272,59.83,16.31,0.31
-3520,5470,273,60.26,18.03,0.29
-3530,5480,274,60.29,18.79,0.28
-3550,5500,275,60.5,18.11,0.28
-3560,5510,276,60.2,16.88,0.28
-3580,5530,277,60.02,16.05,0.28
-3600,5550,278,59.99,15.72,0.29
-3610,5560,279,60.3,17.67,0.29
-3630,5580,280,60.57,18.27,0.28
-3640,5590,281,60.88,16.93,0.29
-3660,5610,282,60.78,15.94,0.3
-3680,5630,283,60.51,15.94,0.3
-3690,5640,284,60.48,14.36,0.3
-3710,5660,285,60.45,15.55,0.3
-3720,5670,286,60.87,17.92,0.31
-3740,5690,287,61.39,19.7,0.33
-3760,5710,288,61.68,20.33,0.33
-3770,5720,289,61.65,21.63,0.34
-3790,5740,290,61.67,23.82,0.34
-3810,5760,291,61.72,25.13,0.34
-3820,5770,292,61.54,26.53,0.33
-3840,5790,293,61.66,28.9,0.33
-3850,5800,294,62.08,30.4,0.34
-3870,5820,295,62.05,30.39,0.35
-3890,5840,296,61.71,29.58,0.33
-3900,5850,297,61.52,29.92,0.32
-3920,5870,298,61.04,28.07,0.31
-3930,5880,299,60.63,26.21,0.31
-3950,5900,300,60.13,25.33,0.3
-3970,5920,301,59.89,25.77,0.3
-3980,5930,302,59.82,26.35,0.31
-4000,5950,303,59.92,28.01,0.33
-4010,5960,304,59.93,29.9,0.34
-4030,5980,305,59.99,31.12,0.34
-4050,6000,306,59.94,31.99,0.34
-4060,6010,307,59.74,31.09,0.35
-4080,6030,308,59.6,31.47,0.35
-4100,6050,309,59.39,31.38,0.35
-4110,6060,310,59.38,30.62,0.37
-4130,6080,311,59.18,31.56,0.36
-4140,6090,312,59,36.17,0.35
-4160,6110,313,58.32,39.04,0.32
-4180,6130,314,57.88,42.37,0.29
-4190,6140,315,57.5,43.02,0.26
-4210,6160,316,57.73,41.11,0.26
-4220,6170,317,58.11,36.7,0.26
-4240,6190,318,59.02,32.58,0.28
-4260,6210,319,60.07,28.49,0.31
-4270,6220,320,60.73,27.34,0.33
-4290,6240,321,60.92,26.65,0.34
-4300,6250,322,61.11,24.32,0.35
-4320,6270,323,61.21,23.37,0.36
-4340,6290,324,60.88,23.53,0.35
-4350,6300,325,61.01,23.89,0.36
-4370,6320,326,61.34,26.84,0.36
-4390,6340,327,61.44,28.66,0.37
-4400,6350,328,61.29,28.34,0.37
-4420,6370,329,61.44,27.46,0.37
-4430,6380,330,61.54,25.34,0.39
-4450,6400,331,61.19,20.64,0.39
-4470,6420,332,61.14,17.77,0.39
-4480,6430,333,61.04,19.35,0.39
-4500,6450,334,61.16,20.17,0.39
-4510,6460,335,61.07,22.1,0.38
-4530,6480,336,61.27,24.36,0.37
-4550,6500,337,61.15,25.87,0.36
-4560,6510,338,61.32,24.85,0.36
-4580,6530,339,61.33,24.34,0.37
-4590,6540,340,61.14,25.18,0.35
-4610,6560,341,60.84,28.28,0.35
-4630,6580,342,60.79,29.88,0.35
-4640,6590,343,60.6,30.52,0.35
-4660,6610,344,60.22,30.94,0.35
-4670,6620,345,60.09,30.38,0.36
-4690,6640,346,60.17,28.02,0.37
-4710,6660,347,60.09,27.32,0.37
-4720,6670,348,60.22,27.65,0.37
-4740,6690,349,60.21,28.19,0.36
-4760,6710,350,60.21,27.82,0.35
-4770,6720,351,60.06,27.17,0.34
-4790,6740,352,60.17,27.36,0.34
-4800,6750,353,59.94,27.16,0.34
-4820,6770,354,60.07,26.08,0.34
-4840,6790,355,60.25,25.98,0.35
-4850,6800,356,60.41,23.96,0.35
-4870,6820,357,60.33,21.34,0.36
-4880,6830,358,60.56,18.99,0.36
-4900,6850,359,60.53,17.23,0.37
-4920,6870,360,60.67,16.1,0.38
-4930,6880,361,60.97,16.77,0.4
-4950,6900,362,61.14,16.7,0.42
-4960,6910,363,61.22,17.16,0.42
-4980,6930,364,61.37,19.29,0.42
-5000,6950,365,61.17,20.41,0.41
-5010,6960,366,60.82,20.36,0.4
-5030,6980,367,60.66,21.17,0.37
-5050,7000,368,60.52,21.27,0.39
-5060,7010,369,60.28,19.49,0.38
-5080,7030,370,60.19,18.57,0.39
-5090,7040,371,60.13,17.88,0.39
-5110,7060,372,60.12,17.6,0.4
-5130,7080,373,60.08,18.51,0.38
-5140,7090,374,59.93,18.96,0.38
-5160,7110,375,59.92,17.59,0.38
-5170,7120,376,59.99,16.77,0.4
-5190,7140,377,60.08,16.54,0.41
-5210,7160,378,59.99,15.86,0.42
-5220,7170,379,60.56,17.91,0.44
-5240,7190,380,60.73,21.05,0.45
-5250,7200,381,60.61,23.08,0.43
-5270,7220,382,60.44,24.52,0.42
-5290,7240,383,60.29,25.5,0.42
-5300,7250,384,59.78,24.39,0.4
-5320,7270,385,59.63,22.85,0.39
-5340,7290,386,59.77,21.49,0.4
-5350,7300,387,59.88,19.52,0.4
-5370,7320,388,60.12,18.09,0.39
-5380,7330,389,60.48,16.6,0.4
-5400,7350,390,60.75,15.98,0.4
-5420,7370,391,60.98,17.35,0.4
-5430,7380,392,61.1,20.01,0.4
-5450,7400,393,61.4,19.56,0.42
-5460,7410,394,61.29,18.74,0.42
-5480,7430,395,60.99,16.89,0.41
-5500,7450,396,60.59,16.5,0.4
-5510,7460,397,60.65,17.15,0.39
-5530,7480,398,60.61,19.74,0.39
-5540,7490,399,60.44,21.86,0.37
-5560,7510,400,60.54,25.35,0.39
-5580,7530,401,61.03,24.93,0.41
-5590,7540,402,60.72,22.05,0.41
-5610,7560,403,60.53,20.57,0.4
-5620,7570,404,60.67,18.73,0.42
-5640,7590,405,60.47,16.18,0.41
-5660,7610,406,60.34,15.55,0.42
-5670,7620,407,60.64,15.56,0.41
-5690,7640,408,60.83,14.48,0.43
-5710,7660,409,60.96,15.96,0.43
-5720,7670,410,61.55,17.76,0.45
-5740,7690,411,61.67,19.56,0.44
-5750,7700,412,61.56,21.17,0.44
-5770,7720,413,61.5,24.25,0.43
-5790,7740,414,61.26,25.82,0.43
-5800,7750,415,60.84,25.26,0.41
-5820,7770,416,60.6,25.33,0.41
-5830,7780,417,60.76,24.53,0.42
-5850,7800,418,60.76,22.43,0.41
-5870,7820,419,60.84,21.47,0.4
-5880,7830,420,60.83,22.15,0.39
-5900,7850,421,60.84,23.67,0.38
-5910,7860,422,60.36,25.38,0.35
-5930,7880,423,60.05,25.69,0.35
-5950,7900,424,59.7,25.64,0.34
-5960,7910,425,59.74,26.08,0.35
-5980,7930,426,59.77,26.5,0.34
-6000,7950,427,59.83,27.22,0.35
-6010,7960,428,59.82,27.68,0.34
-6030,7980,429,60.09,27.83,0.34
-6040,7990,430,59.96,27.46,0.33
-6060,8010,431,59.89,25.07,0.33
-6080,8030,432,59.97,21.76,0.33
-6090,8040,433,59.95,20.94,0.34
-6110,8060,434,59.73,20.69,0.33
-6120,8070,435,59.55,19.06,0.32
-6140,8090,436,59.56,18.31,0.31
-6160,8110,437,59.71,18.37,0.32
-6170,8120,438,59.84,17.48,0.32
-6190,8140,439,59.86,16.33,0.33
-6200,8150,440,59.95,16.43,0.34
-6220,8170,441,59.84,16.67,0.35
-6240,8190,442,59.99,16.52,0.34
-6250,8200,443,60.21,17.29,0.35
-6270,8220,444,60.64,16.94,0.36
-6290,8240,445,60.9,16.59,0.36
-6300,8250,446,61.09,16.62,0.37
-6320,8270,447,61.07,16.98,0.39
-6330,8280,448,61.08,16.65,0.39
-6350,8300,449,61.03,16.67,0.41
-6370,8320,450,61.19,17.31,0.43
-6380,8330,451,61.55,17.15,0.44
-6400,8350,452,61.65,18.33,0.44
-6410,8360,453,61.75,19.37,0.44
-6430,8380,454,62.1,20.83,0.45
-6450,8400,455,62.4,22.17,0.46
-6460,8410,456,62.32,21.84,0.45
-6480,8430,457,62.31,20.16,0.45
-6490,8440,458,62.14,18.7,0.46
-6510,8460,459,61.88,17.1,0.44
-6530,8480,460,61.6,15.37,0.44
-6540,8490,461,61.25,14.81,0.42
-6560,8510,462,61.12,14.75,0.43
-6570,8520,463,61.25,14.65,0.42
-6590,8540,464,61.11,14.4,0.42
-6610,8560,465,60.95,13.82,0.4
-6620,8570,466,61.19,13.62,0.41
-6640,8590,467,61.2,13.55,0.4
-6660,8610,468,60.98,13.62,0.4
-6670,8620,469,61.06,13.38,0.41
-6690,8640,470,61.16,13.04,0.42
-6700,8650,471,61.23,13.92,0.43
-6720,8670,472,60.98,14.15,0.42
-6740,8690,473,61.31,14.75,0.43
-6750,8700,474,61.56,15.41,0.42
-6770,8720,475,61.61,16.64,0.42
-6780,8730,476,61.61,14.93,0.41
-6800,8750,477,61.88,14.3,0.42
-6820,8770,478,61.51,13.84,0.4
-6830,8780,479,61.17,14.2,0.4
-6850,8800,480,61,14.46,0.38
-6860,8810,481,60.92,16.96,0.38
-6880,8830,482,61.12,20.03,0.41
-6900,8850,483,61.38,20.66,0.42
-6910,8860,484,61.62,20.83,0.43
-6930,8880,485,61.86,20.08,0.47
-6950,8900,486,61.77,21.72,0.45
-6960,8910,487,61.34,19.91,0.4
-6980,8930,488,61.3,19.28,0.4
-6990,8940,489,61.03,18.62,0.4
-7010,8960,490,60.69,18.47,0.39
-7030,8980,491,60.68,15.17,0.4
-7040,8990,492,60.92,15.65,0.41
-7060,9010,493,60.9,16.56,0.4
-7070,9020,494,61.19,16.64,0.4
-7090,9040,495,61.42,16.9,0.4
-7110,9060,496,61.73,17.64,0.42
-7120,9070,497,61.89,17.15,0.43
-7140,9090,498,61.86,16.72,0.43
-7150,9100,499,61.83,17.9,0.44
-7170,9120,500,62.01,18.02,0.43
-7190,9140,501,61.83,18.04,0.41
-7200,9150,502,61.53,17.64,0.4
-7220,9170,503,61.29,16.73,0.38
-7240,9190,504,61.15,16.08,0.39
-7250,9200,505,60.98,15.35,0.4
-7270,9220,506,60.84,13.76,0.4
-7280,9230,507,61,13.86,0.41
-7300,9250,508,61.31,13.92,0.41
-7320,9270,509,61.35,12.26,0.4
-7330,9280,510,61.31,11.73,0.37
-7350,9300,511,61.15,11.6,0.36
-7360,9310,512,61.04,10.89,0.35
-7380,9330,513,61.11,11.44,0.36
-7400,9350,514,61.13,12.61,0.35
-7410,9360,515,61.21,14.04,0.36
-7430,9380,516,61.51,16.3,0.37
-7440,9390,517,61.77,16.21,0.37
-7460,9410,518,61.51,15.61,0.35
-7480,9430,519,61.24,14.95,0.36
-7490,9440,520,61.07,14.13,0.34
-7510,9460,521,60.83,13.91,0.32
-7520,9470,522,60.63,14.71,0.32
-7540,9490,523,60.81,14.82,0.34
-7560,9510,524,61.03,14.72,0.34
-7570,9520,525,61.19,15.64,0.35
-7590,9540,526,61.26,14.77,0.35
-7610,9560,527,61.23,15.43,0.35
-7620,9570,528,61.24,18.65,0.35
-7640,9590,529,61.18,22.08,0.33
-7650,9600,530,60.92,22.25,0.32
-7670,9620,531,60.94,22.3,0.31
-7690,9640,532,61.04,23.51,0.32
-7700,9650,533,61.17,21.43,0.32
-7720,9670,534,61.17,18.84,0.32
-7730,9680,535,61.54,18.88,0.35
-7750,9700,536,61.81,19.82,0.38
-7770,9720,537,61.9,18.43,0.39
-7780,9730,538,61.93,18.09,0.4
-7800,9750,539,62.09,17.56,0.41
-7810,9760,540,61.99,17.36,0.4
-7830,9780,541,61.75,19.43,0.38
-7850,9800,542,61.52,19.71,0.37
-7860,9810,543,61.39,20.48,0.35
-7880,9830,544,61.35,23.18,0.35
-7900,9850,545,61.54,23.47,0.36
-7910,9860,546,61.73,20.72,0.37
-7930,9880,547,62.17,19.96,0.38
-7940,9890,548,62.4,19.96,0.4
-7960,9910,549,62.01,18.55,0.39
-7980,9930,550,61.82,18.2,0.38
-7990,9940,551,61.62,18.38,0.38
-8010,9960,552,61.26,18.98,0.37
-8020,9970,553,60.82,19.03,0.35
-8040,9990,554,61.15,19.37,0.35
-8060,10010,555,60.97,19.86,0.33
-8070,10020,556,61.1,20.73,0.33
-8090,10040,557,61.35,22.06,0.35
-8100,10050,558,61.71,22.5,0.36
-8120,10070,559,61.79,22.23,0.37
-8140,10090,560,61.82,22.22,0.37
-8150,10100,561,61.77,21.23,0.36
-8170,10120,562,61.52,19.34,0.34
-8190,10140,563,61.23,18.11,0.32
-8200,10150,564,61.43,18.05,0.32
-8220,10170,565,61.72,18.03,0.34
-8230,10180,566,61.95,17.72,0.36
-8250,10200,567,62.26,17.33,0.38
-8270,10220,568,62.49,18.02,0.4
-8280,10230,569,62.44,18.25,0.41
-8300,10250,570,62.44,15.92,0.42
-8310,10260,571,62.64,14.71,0.42
-8330,10280,572,62.53,15.08,0.42
-8350,10300,573,62.68,14.99,0.42
-8360,10310,574,62.75,15.56,0.43
-8380,10330,575,62.7,18.34,0.43
-8390,10340,576,62.49,19.14,0.43
-8410,10360,577,62.75,18.34,0.44
-8430,10380,578,62.65,17.72,0.46
-8440,10390,579,62.64,15.61,0.46
-8460,10410,580,62.67,18.06,0.47
-8470,10420,581,62.34,19.96,0.44
-8490,10440,582,62.02,20.71,0.44
-8510,10460,583,62.22,20.39,0.45
-8520,10470,584,62.22,22.96,0.45
-8540,10490,585,62.22,20.09,0.44
-8560,10510,586,62.53,19.39,0.45
-8570,10520,587,62.65,19.32,0.44
-8590,10540,588,62.64,19.78,0.43
-8600,10550,589,62.61,18.86,0.41
-8620,10570,590,62.57,19.87,0.41
-8640,10590,591,62.62,20.46,0.42
-8650,10600,592,62.63,24.66,0.41
-8670,10620,593,62.24,25.77,0.39
-8680,10630,594,62.17,25.5,0.4
-8700,10650,595,62.14,25.24,0.4
-8720,10670,596,62.11,24.76,0.39
-8730,10680,597,62.13,21.67,0.39
-8750,10700,598,62.35,20,0.4
-8760,10710,599,62.32,19.45,0.4
-8780,10730,600,62.28,17.51,0.39
-8800,10750,601,62.12,18.45,0.4
-8810,10760,602,62.01,19.55,0.39
-8830,10780,603,62.19,21.65,0.39
-8850,10800,604,62.17,23.08,0.38
-8860,10810,605,62.08,25.61,0.37
-8880,10830,606,62,24.98,0.35
-8890,10840,607,61.9,23.82,0.35
-8910,10860,608,61.81,23.19,0.36
-8930,10880,609,61.94,23.22,0.36
-8940,10890,610,62.21,21.63,0.37
-8960,10910,611,62.34,21.85,0.38
-8970,10920,612,62.44,22.52,0.38
-8990,10940,613,62.38,23.63,0.37
-9010,10960,614,62.38,24.07,0.37
-9020,10970,615,62.31,30,0.36
-9040,10990,616,62.01,31.95,0.34
-9050,11000,617,61.78,31.75,0.31
-9070,11020,618,61.73,31.28,0.3
-9090,11040,619,61.69,31.16,0.29
-9100,11050,620,61.73,24.92,0.3
-9120,11070,621,62.24,22.82,0.34
-9140,11090,622,62.61,21.92,0.38
-9150,11100,623,62.72,20.11,0.4
-9170,11120,624,62.82,17.81,0.41
-9180,11130,625,62.88,18,0.4
-9200,11150,626,62.96,20.19,0.39
-9220,11170,627,62.94,22.95,0.37
-9230,11180,628,62.92,25.04,0.35
-9250,11200,629,62.74,26.57,0.33
-9260,11210,630,62.55,26.38,0.32
-9280,11230,631,62.32,24.64,0.32
-9300,11250,632,62.27,22.83,0.33
-9310,11260,633,62.08,21.91,0.33
-9330,11280,634,62.23,22.69,0.35
-9340,11290,635,62.17,24.72,0.35
-9360,11310,636,62.16,25.11,0.34
-9380,11330,637,61.95,25.07,0.31
-9390,11340,638,61.81,24.8,0.29
-9410,11360,639,61.27,23.54,0.25
-9420,11370,640,60.96,22.2,0.25
-9440,11390,641,60.55,21.1,0.23
-9460,11410,642,60.25,19.42,0.23
-9470,11420,643,59.58,20.23,0.22
-9490,11440,644,59.5,21.78,0.22
-9510,11460,645,59.72,21.82,0.22
-9520,11470,646,59.74,22.65,0.22
-9540,11490,647,59.56,25.37,0.21
-9550,11500,648,59.58,27.92,0.22
-9570,11520,649,61.34,20.91,0.27
-9590,11540,650,60.2,24.57,0.23
